Name,ISO3,Index Year,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil Liberties,Political Rights,Legislative Constraints on the Executive,Political Freedom,Bureaucracy,Corruption,Security,Clarity of the Law,Judicial Independence and Effectiveness,Legal Freedom,Freedom score,Freedom rank,Income,Health,Inequality,Environment,Minority Rights,Education,Productivity,Crime,Prosperity score,Prosperity rank
Afghanistan,AFG,2022,19.4444444444444,10.5263157894737,,0,9.99025341130604,35.204354476104,24.3007105535667,13.3882595262615,42.5906735751295,28.8709995327654,16.7327120185851,17.6909294473216,13.1705233474991,26.7591090131287,1.64860826920968,15.2003764191488,18.0205431210734,170,25.8588025471157,63.7119928183937,,66.6238466721407,39.1471426800545,10.1350775200244,,88.9830508474577,49.0766521808644,
Albania,ALB,2022,94.4444444444444,73.6842105263158,49.2537313432836,85.5359001040583,75.7295716045255,76.8853388380722,92.4808911995147,77.9608650875386,80.3108808290154,81.9094939885352,50.1800304111581,31.0938010191258,66.6081324052303,59.0057530609234,71.8557351529306,55.7486904098737,71.1292520009781,53,61.8471272222487,88.932878656071,81.7757009345794,71.38487478696,83.9097557952151,57.3411622504761,,98.8135593220339,77.7150084239406,
Algeria,DZA,2022,51.3888888888889,31.5789473684211,33.921302578019,37.8772112382934,38.6915875184056,73.1117897198157,57.3642755246154,36.3542739443872,26.1139896373056,48.236082206531,37.518980837159,29.762312939237,46.6465146624397,41.0827555686679,23.8008141181074,35.7622756251222,40.8966484500196,144,56.773963249965,85.9036847158245,89.2523364485981,82.5710370684008,48.8533531672245,41.2866523517342,,98.9265536723164,71.9382258105805,
Angola,AGO,2022,75,31.5789473684211,28.2225237449118,55.8792924037461,47.6701908792697,67.8625827910522,59.7959620602147,63.2337796086508,21.4507772020725,53.0857754154976,28.5243485448126,28.8216055666553,49.9999806910718,42.1301076854993,46.6277010275809,39.220748703124,46.6589049992971,128,45.8933685808904,56.8323816885425,33.8785046728972,84.4762885779315,62.9478120738813,22.7192630900089,20.2122446271252,97.2316384180791,53.0239377161695,
Argentina,ARG,2022,75,57.8947368421053,43.0122116689281,32.1540062434964,52.0152386886324,94.0703139777059,82.58435810649,95.0566426364572,77.6165803108808,87.3319737578835,42.9348852837976,34.6395435115965,62.238603122384,53.0904263165658,65.9823151877485,51.7771546844185,63.7081223769781,76,68.9258056399471,85.437080596871,54.9065420560748,90.735964195996,91.8557084417999,70.2413756071759,46.9925125235098,95.5367231638418,75.578964028152,
Armenia,ARM,2022,93.0555555555556,78.9473684210526,62.550881953867,0,58.6384514826188,92.6002936774005,90.75379940551,88.8774459320288,61.139896373057,83.3428588469991,45.1313208442924,45.4478921596072,47.4740603255809,58.7697300486797,64.6468651169396,52.29397369902,64.7584280095459,73,60.2888983174439,82.4713448168022,94.8598130841121,62.2131593994894,74.0795834882856,52.1902907275587,47.5241862597374,97.1186440677966,71.3432400201532,
Australia,AUS,2022,100,84.2105263157895,91.044776119403,82.414151925078,89.4173635900676,96.5128838182908,90.9724807626783,96.086508753862,97.0984455958549,95.1675797326715,81.2748874057497,83.5079022645016,81.6220602669782,76.9435019914441,99.5610466609859,84.5818797179319,89.7222743468903,11,83.876764573482,97.3578826278963,73.5981308411215,99.0309763929081,90.2442047849262,94.7312253743018,48.587319358054,99.1525423728814,85.8223807906964,
Austria,AUT,2022,100,84.2105263157895,91.7232021709634,84.1831425598335,90.0292177616466,96.621893244524,91.9952257791558,93.5118434603501,90.5699481865284,93.1747276676396,82.4454349060632,72.8519899953644,82.9158851679699,58.0321581354182,89.0443974698286,77.0579731349289,86.7539728547384,16,85.4959634656388,93.6113929703472,83.1775700934579,91.0135490878674,72.0218172802777,69.1536597787823,46.4667562527261,99.7175141242938,80.0822778816739,
Azerbaijan,AZE,2022,66.6666666666667,73.6842105263158,48.9823609226594,72.9448491155047,65.5695218077866,53.3190973028991,51.3287994313256,27.4974253347064,5.18134715025907,34.3316673047975,55.3283180009255,24.885230166965,47.1119225849074,31.9958695972856,17.1710109853346,35.2984702670836,45.0665531265559,133,61.7237680672736,78.5500038011166,91.588785046729,71.2364704532983,52.807735217553,49.937599872976,,97.4011299435028,71.8922132003499,
Bahamas,BHS,2022,70.8333333333333,52.6315789473684,62.415196743555,54.318418314256,60.0496318346282,,,,,,59.7192343224286,70.7998927121206,82.1430284233938,,,70.8873851526477,65.4685084936379,71,75.5410416550187,80.2857711236238,,91.9744071674117,61.980909879757,57.3437156698765,,77.3446327683616,74.0784130440082,
Bahrain,BHR,2022,52.7777777777778,89.4736842105263,44.640434192673,85.952133194589,68.2110073438915,32.8322008260269,34.9876855925427,9.88671472708547,7.15025906735752,21.2142150532532,64.9552813261125,47.6421165953344,54.1652833629858,33.043221714117,21.4366086275675,44.2485023252235,44.5579082407894,134,80.6986783548164,86.5681289812144,,85.7469240747647,44.7502169331846,63.3888595876304,50.324965898746,96.6666666666667,72.5920629281462,
Bangladesh,BGD,2022,40.2777777777778,52.6315789473684,17.2320217096336,51.1966701352758,40.3345121425139,66.9083388259542,44.6241734605326,41.7095777548918,12.4352331606217,41.4193308005001,37.3825732971884,21.8132141996516,44.7494354009068,23.8235727983478,32.9596641574602,32.145691970711,37.9665116379083,150,45.9806955982776,78.0740675997839,78.0373831775701,62.1801922020215,78.0959464484939,31.9406881701728,,97.5706214689266,67.4113706664638,
Barbados,BRB,2022,62.5,73.6842105263158,58.0732700135685,62.6430801248699,64.2251401661886,95.0723682442738,92.4101527976449,94.1297631307929,72.9533678756476,88.6414130120898,61.2880518206129,72.2054838055375,87.1136871795788,67.3403156807789,92.7681715115356,76.1431419996087,76.3365650592957,42,60.5172922740385,90.0937897040274,,80.4427001869903,91.3598611627619,54.4012433485779,19.3544209677479,94.2937853107345,70.0661561364112,
Belarus,BLR,2022,80.5555555555556,31.5789473684211,52.1031207598372,75.9625390218522,60.0500406764165,56.3541852717674,27.9170858638508,6.69412976313079,1.139896373057,23.0263243179515,34.4417359132815,38.4205490071716,49.4782353502981,8.40831981118153,10.5998405662809,28.2697361296427,37.1153670413369,154,67.3912825523682,80.610208933944,96.7289719626168,69.0090266751789,57.5430767323664,64.8807678847384,,96.6101694915254,76.1105006046769,
Belgium,BEL,2022,100,89.4736842105263,79.9185888738128,83.5587929240375,88.2377665020941,98.7339574636684,94.2684550314034,97.2193614830071,91.502590673575,95.4310911629135,73.3214270959105,77.7257012909826,76.7945168726361,82.5195456557013,89.5921462615492,79.990667435356,87.8865083667879,14,84.695946100525,92.8693786153285,90.1869158878505,89.7805168513944,84.5419610759886,85.697536190784,48.0197823068973,99.4350282485876,84.4033831596695,
Belize,BLZ,2022,68.0555555555556,57.8947368421053,45.5902306648575,57.6482830385016,57.297201525255,,,,,,40.2215533129466,36.8302813636894,73.7202760471949,,,50.257370241277,53.777285883266,109,46.8021184165961,81.5941290731696,29.2056074766355,90.8146750912139,61.980909879757,40.1875602836918,,67.909604519774,59.7849435344054,
Benin,BEN,2022,69.4444444444444,52.6315789473684,42.6051560379919,59.2091571279917,55.9725841394491,79.2829139710674,86.4638594386668,68.3831101956745,29.6373056994818,65.9417973262226,46.01074501054,40.2645304854367,58.290991267513,43.6790087033485,64.2157150177715,50.4921980969219,57.4688598541979,99,35.946410097592,57.9335674092729,65.4205607476636,66.6692352519301,92.4755175405975,15.7351290392574,23.3614524672116,94.8022598870056,56.5430165550663,
Bhutan,BTN,2022,77.7777777777778,21.0526315789474,59.7014925373134,62.7471383975026,55.3197600728853,90.9897044311357,72.5928737552392,67.6622039134912,83.3160621761657,78.6402110690079,66.5794156466587,79.3082492745876,84.0951031327263,66.1749520578256,83.8917830628926,76.0099006349382,69.9899572589438,,56.0941037065777,76.6033314168424,66.3551401869159,70.0092134857574,52.2746993925871,23.5875120748112,,99.2655367231638,63.4556481409508,
Bolivia,BOL,2022,88.8888888888889,15.7894736842105,30.5291723202171,64.3080124869927,49.8788868450773,86.7971091690678,83.9508595083678,80.5355303810504,38.2383419689118,72.3804602568495,35.2393698877883,24.0506405328867,57.9422020302324,59.6105620297979,42.1777211790685,43.8040991319547,55.3544820779605,,51.594695164878,76.0266087258158,51.8691588785047,82.8941377726352,89.3764720466096,51.5765521183365,26.2398115196703,95.6497175141243,65.6533942175718,
Bosnia and Herzegovina,BIH,2022,80.5555555555556,68.4210526315789,35.820895522388,75.4422476586889,65.0599378420528,81.7279864446857,84.8479281173707,76.519052523172,46.7357512953367,72.4576795951413,28.8958955139047,29.0877942056099,56.6865901014565,49.4320696267885,54.2368149164891,43.6678328728498,60.395150103348,,63.1800577742154,86.803297457167,76.6355140186916,48.4799488326727,74.2531300359489,51.044034684927,,98.9830508474576,71.3398619501543,
