Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Afghanistan,AFG,2022,17.85,170,36.74,172,19.44,10.53,,0.00,9.99,35.20,24.30,13.39,42.59,28.87,17.21,13.17,26.76,1.65,14.70,25.86,63.71,,66.62,39.15,10.14,14.98
Afghanistan,AFG,2021,17.85,170,36.74,172,19.44,10.53,,0.00,9.99,35.20,24.30,13.39,42.59,28.87,17.21,13.17,26.76,1.65,14.70,25.86,63.71,,66.62,39.15,10.14,14.98
Afghanistan,AFG,2020,32.12,162,38.58,171,19.44,10.53,,0.00,9.99,74.95,54.36,69.10,42.59,60.25,13.85,9.62,41.51,39.45,26.11,25.86,63.71,,66.62,52.88,9.66,12.75
Afghanistan,AFG,2019,31.25,162,38.51,171,19.44,10.53,,0.00,9.99,74.44,48.52,66.94,41.24,57.79,15.60,10.63,41.51,36.17,25.98,26.70,63.08,,66.62,52.88,9.30,12.48
Afghanistan,AFG,2018,32.97,159,37.94,171,19.44,10.53,,0.00,9.99,73.68,54.34,69.82,55.03,63.22,14.83,8.43,42.65,36.95,25.72,26.43,62.43,,65.35,52.88,8.88,11.70
Afghanistan,AFG,2017,32.40,160,37.79,171,19.44,0.00,,0.00,6.48,74.59,52.02,69.82,63.21,64.91,15.69,7.68,42.65,37.25,25.82,26.64,61.77,,63.80,52.35,8.52,13.67
Afghanistan,AFG,2016,38.08,151,37.34,171,12.50,57.89,,0.00,23.46,73.46,48.88,68.80,68.60,64.93,16.63,10.31,39.34,37.08,25.84,26.63,61.08,,62.13,52.25,8.16,13.80
Afghanistan,AFG,2015,39.55,146,36.80,171,12.50,57.89,,0.00,23.46,75.61,52.12,71.37,71.71,67.70,17.75,12.33,41.50,38.37,27.49,26.73,60.36,,60.40,52.25,7.80,13.27
Afghanistan,AFG,2014,40.72,147,36.21,171,12.50,68.42,,0.00,26.97,75.50,51.62,72.81,71.71,67.91,17.46,15.58,38.53,37.53,27.28,27.03,59.59,,58.82,52.25,7.61,11.96
Afghanistan,AFG,2013,40.30,147,36.16,171,12.50,68.42,,0.00,26.97,76.00,52.23,73.12,71.40,68.19,16.14,13.38,36.78,36.61,25.73,27.15,58.77,,57.14,52.25,7.18,14.45
Afghanistan,AFG,2012,40.59,150,35.63,171,12.50,68.42,,0.00,26.97,75.77,54.77,74.77,63.52,67.21,16.57,15.42,42.72,35.59,27.57,26.79,57.89,,55.34,51.11,6.76,15.90
Afghanistan,AFG,2011,40.23,149,35.17,171,12.50,68.42,,0.00,26.97,75.72,55.38,74.56,63.52,67.30,13.59,13.73,42.72,35.59,26.41,25.24,56.96,,52.96,52.19,6.35,17.35
Afghanistan,AFG,2010,40.08,149,33.22,172,12.50,68.42,,0.00,26.97,75.62,55.94,74.97,63.52,67.51,13.04,12.17,42.72,35.07,25.75,25.73,55.98,,50.25,52.19,5.97,9.20
Afghanistan,AFG,2009,39.77,147,31.94,172,12.50,68.42,,0.00,26.97,76.25,56.00,75.08,62.07,67.35,13.79,9.49,41.14,35.50,24.98,23.81,54.96,,47.16,52.19,5.51,8.02
Afghanistan,AFG,2008,39.57,147,30.44,172,12.50,68.42,,0.00,26.97,76.88,55.33,75.18,60.41,66.95,12.19,9.90,41.14,35.93,24.79,20.75,53.93,,43.45,52.19,5.07,7.23
Afghanistan,AFG,2007,39.40,147,29.29,172,6.94,68.42,,0.00,25.12,75.61,55.33,74.77,60.21,66.48,13.79,15.53,41.14,35.93,26.60,20.47,52.89,,39.23,52.19,4.64,6.31
Afghanistan,AFG,2006,39.71,148,27.70,172,6.94,68.42,,0.00,25.12,75.61,55.33,74.67,58.34,65.99,15.47,19.46,41.14,36.01,28.02,18.58,51.87,,34.99,52.19,4.23,4.34
Afghanistan,AFG,2005,39.76,149,26.84,172,6.94,68.42,,0.00,25.12,75.27,55.33,74.15,58.45,65.80,18.01,22.53,41.14,31.81,28.37,18.18,50.87,,31.37,52.19,3.84,4.60
Afghanistan,AFG,2004,38.15,151,25.52,172,6.94,68.42,,0.00,25.12,57.35,55.74,74.15,58.45,61.42,22.26,17.91,41.14,30.31,27.91,16.93,49.90,,26.78,52.19,3.53,3.81
Afghanistan,AFG,2003,36.73,156,24.73,172,6.94,68.42,,0.00,25.12,43.19,55.74,74.56,58.45,57.98,20.10,19.88,41.14,27.22,27.09,17.45,48.96,,23.12,52.19,2.84,3.81
Afghanistan,AFG,2002,36.48,154,23.89,172,6.94,68.42,,0.00,25.12,42.43,53.78,71.06,58.45,56.43,16.45,23.19,45.10,26.79,27.88,16.77,48.05,,21.03,52.19,2.54,2.76
Afghanistan,AFG,2001,22.82,168,17.34,172,6.94,68.42,,0.00,25.12,28.65,20.68,5.15,58.45,28.23,10.20,15.01,12.88,22.35,15.11,16.77,47.17,,14.31,23.53,2.26,0.00
Afghanistan,AFG,2000,20.24,170,18.04,172,6.94,68.42,,0.00,25.12,26.16,11.67,0.72,58.45,24.25,10.20,15.01,0.00,20.13,11.33,16.77,46.29,,10.61,23.53,1.99,9.07
Afghanistan,AFG,1999,21.02,170,17.49,172,12.50,68.42,,0.00,26.97,26.16,11.67,0.72,58.45,24.25,12.03,15.25,0.00,20.13,11.85,16.77,45.43,,8.38,23.53,1.76,9.07
Afghanistan,AFG,1998,21.02,171,17.13,172,12.50,68.42,,0.00,26.97,26.16,11.67,0.72,58.45,24.25,12.03,15.25,0.00,20.13,11.85,16.77,44.55,,7.33,23.53,1.55,9.07
Afghanistan,AFG,1997,20.93,170,16.72,172,12.50,68.42,,0.00,26.97,26.16,11.67,0.72,58.45,24.25,9.96,15.45,0.00,20.92,11.58,16.77,43.65,,5.95,23.53,1.34,9.07
Afghanistan,AFG,1996,20.50,171,17.43,172,12.50,68.42,,0.00,26.97,25.82,11.69,2.27,58.45,24.55,9.96,15.45,0.00,14.51,9.98,16.77,42.72,,4.75,30.16,1.14,9.07
Afghanistan,AFG,1995,21.51,170,17.34,172,12.50,68.42,,0.00,26.97,26.86,14.29,10.09,58.45,27.42,9.96,15.45,0.00,15.09,10.12,16.77,41.73,,2.82,32.73,0.95,9.07
