Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Angola,AGO,2022,47.54,126,52.04,153,75.00,31.58,28.22,55.88,47.67,67.86,59.80,63.23,21.45,53.09,28.67,50.00,42.13,46.63,41.86,45.89,56.83,33.88,84.48,62.95,22.72,57.56
Angola,AGO,2021,47.54,126,52.04,153,75.00,31.58,28.22,55.88,47.67,67.86,59.80,63.23,21.45,53.09,28.67,50.00,42.13,46.63,41.86,45.89,56.83,33.88,84.48,62.95,22.72,57.56
Angola,AGO,2020,48.57,126,51.77,155,75.00,31.58,28.22,55.88,47.67,71.17,62.45,60.56,30.26,56.11,23.79,53.97,42.13,47.79,41.92,46.34,56.83,33.88,84.48,62.95,22.72,55.19
Angola,AGO,2019,48.51,126,51.75,155,75.00,31.58,27.68,56.30,47.64,71.76,62.45,62.00,28.50,56.18,23.59,57.13,39.14,47.05,41.73,47.94,56.20,33.88,84.48,61.31,22.72,55.72
Angola,AGO,2018,45.59,136,52.17,154,75.00,31.58,25.37,30.49,40.61,71.50,60.78,63.44,21.24,54.24,23.50,57.60,42.07,44.50,41.92,48.65,55.52,33.88,83.85,63.99,22.72,56.57
Angola,AGO,2017,42.99,140,54.89,130,75.00,31.58,23.20,30.80,40.15,65.62,55.53,55.72,16.37,48.31,21.27,56.69,42.07,42.05,40.52,49.48,54.76,53.97,83.03,63.99,22.72,56.24
Angola,AGO,2016,43.21,142,55.38,130,69.44,42.11,21.98,52.55,46.52,65.34,51.14,50.88,11.40,44.69,20.65,58.00,33.68,41.38,38.43,50.11,53.92,53.97,81.86,68.34,22.72,56.77
Angola,AGO,2015,42.84,143,54.78,132,69.44,42.11,21.98,50.99,46.13,65.34,50.88,50.88,11.40,44.62,21.76,54.25,33.68,41.38,37.77,51.19,52.93,53.97,80.40,68.34,18.75,57.88
Angola,AGO,2014,42.97,143,54.24,133,69.44,42.11,23.34,50.26,46.29,65.34,50.88,50.88,11.40,44.62,19.55,57.65,33.68,41.18,38.01,51.64,51.77,53.97,78.96,68.34,15.04,59.99
Angola,AGO,2013,43.11,143,53.48,133,69.44,36.84,23.07,59.21,47.14,65.34,50.88,50.88,11.40,44.62,18.97,56.47,33.68,41.18,37.57,51.42,50.42,53.97,76.95,68.34,14.15,59.13
