Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Albania,ALB,2022,72.39,52,73.27,51,94.44,73.68,49.25,85.54,75.73,76.89,92.48,77.96,80.31,81.91,40.64,66.61,59.01,71.86,59.53,61.85,88.93,81.78,71.38,83.91,57.34,67.67
Albania,ALB,2021,72.39,52,73.27,51,94.44,73.68,49.25,85.54,75.73,76.89,92.48,77.96,80.31,81.91,40.64,66.61,59.01,71.86,59.53,61.85,88.93,81.78,71.38,83.91,57.34,67.67
Albania,ALB,2020,72.39,54,72.90,52,94.44,73.68,49.25,85.54,75.73,77.91,91.84,77.14,84.56,82.86,39.44,66.16,59.01,69.67,58.57,60.20,88.93,81.78,71.38,83.91,57.34,66.75
Albania,ALB,2019,72.89,55,73.14,53,94.44,73.68,49.25,85.64,75.76,75.02,93.89,79.40,84.56,83.22,40.47,66.64,65.91,65.81,59.71,60.74,88.72,81.78,71.38,83.91,58.83,66.62
Albania,ALB,2018,73.43,51,74.17,46,94.44,73.68,48.71,85.54,75.59,77.61,92.59,80.43,83.11,83.44,42.17,71.89,65.91,65.04,61.25,60.29,88.51,83.41,71.64,89.92,57.34,68.07
Albania,ALB,2017,74.06,50,72.20,55,94.44,73.68,52.78,85.12,76.51,78.51,91.27,82.80,83.11,83.92,43.11,72.06,65.91,65.97,61.76,59.53,88.27,76.40,71.92,84.94,56.84,67.48
Albania,ALB,2016,72.68,56,72.77,49,81.94,73.68,52.78,83.66,73.02,77.90,92.92,82.80,83.11,84.18,42.51,71.37,58.06,71.41,60.84,58.85,88.01,75.00,72.20,91.68,55.83,67.81
Albania,ALB,2015,72.52,56,72.95,48,81.94,73.68,51.83,83.14,72.65,77.90,92.92,82.80,83.11,84.18,41.68,71.40,58.06,71.71,60.71,58.23,87.70,77.10,72.39,91.68,55.90,67.67
Albania,ALB,2014,72.64,56,72.42,49,81.94,78.95,46.54,84.08,72.88,77.90,92.92,82.39,83.11,84.08,39.83,74.23,58.06,71.71,60.96,57.78,87.30,72.90,72.98,91.68,55.60,68.73
Albania,ALB,2013,69.46,60,73.91,45,81.94,68.42,45.59,72.42,67.10,77.49,92.92,82.49,83.11,84.00,35.12,66.25,58.06,69.64,57.27,57.43,86.82,85.98,73.76,91.68,53.46,68.27
Albania,ALB,2012,69.27,60,73.49,46,81.94,68.42,43.55,73.26,66.79,80.30,87.87,87.44,90.98,86.65,35.38,61.48,58.06,62.51,54.36,57.21,86.26,85.98,74.23,91.68,51.34,67.74
Albania,ALB,2011,69.54,60,72.56,49,81.94,68.42,47.49,72.74,67.65,80.30,87.87,88.16,90.98,86.83,36.95,58.67,58.06,62.90,54.15,56.93,85.63,83.64,74.48,91.68,47.25,68.33
Albania,ALB,2010,70.49,59,71.87,49,81.94,73.68,50.34,73.47,69.86,80.30,86.77,88.16,90.98,86.55,38.09,60.52,58.06,63.61,55.07,56.43,84.97,83.64,74.99,91.68,43.82,67.54
Albania,ALB,2009,70.90,56,71.15,51,81.94,73.68,54.41,71.38,70.36,80.51,86.58,87.64,90.98,86.43,38.18,63.48,58.06,63.96,55.92,55.68,84.33,83.64,74.95,91.68,40.53,67.21
Albania,ALB,2008,69.99,59,70.73,53,81.94,73.68,52.24,67.95,68.95,80.61,86.58,87.64,90.98,86.46,36.31,63.77,55.26,62.95,54.57,54.97,83.76,83.64,74.56,91.68,39.31,67.21
Albania,ALB,2007,68.37,60,69.97,52,81.94,63.16,50.34,67.33,65.69,80.89,86.58,87.64,90.98,86.53,34.52,60.26,55.26,61.56,52.90,53.53,83.26,82.24,74.90,91.68,38.50,65.70
Albania,ALB,2006,68.33,61,69.11,53,81.94,73.68,50.07,66.81,68.13,80.04,86.58,86.92,90.98,86.13,31.98,54.10,55.26,61.56,50.73,52.34,82.84,82.24,73.67,91.68,36.98,63.99
Albania,ALB,2005,67.80,62,68.40,54,81.94,73.68,49.12,65.14,67.47,79.02,86.58,85.58,90.98,85.54,30.50,54.17,55.26,61.56,50.37,51.20,82.48,82.24,72.04,91.68,36.18,62.94
Albania,ALB,2004,67.92,61,67.33,54,81.94,73.68,46.40,66.08,67.03,78.02,85.27,84.96,90.98,84.81,34.56,55.74,55.26,62.08,51.91,50.13,82.13,79.67,71.30,91.68,34.20,62.22
Albania,ALB,2003,68.00,59,66.95,55,81.94,73.68,46.00,70.45,68.02,77.74,83.77,86.20,90.98,84.67,31.43,58.12,55.26,60.42,51.31,49.09,81.73,79.67,71.26,91.68,34.02,61.17
Albania,ALB,2002,67.82,57,66.74,54,81.94,73.68,43.55,70.34,67.38,77.74,83.39,85.58,90.98,84.42,30.96,58.36,55.26,62.06,51.66,48.05,81.27,79.67,72.91,91.68,33.12,60.45
Albania,ALB,2001,66.41,60,68.22,49,81.94,73.68,43.42,67.74,66.70,75.98,82.40,84.04,90.98,83.35,27.84,53.46,52.68,62.79,49.19,47.20,80.72,90.65,73.97,91.68,32.82,60.51
Albania,ALB,2000,64.77,67,67.56,50,81.94,73.68,41.79,65.76,65.80,75.28,82.40,81.26,90.98,82.48,27.84,53.46,40.04,62.79,46.03,45.60,80.10,90.65,72.91,91.68,32.26,59.72
Albania,ALB,1999,63.64,66,67.30,49,81.94,73.68,41.79,65.14,65.64,74.28,75.96,81.57,89.43,80.31,28.18,53.38,38.03,60.31,44.97,44.27,79.42,90.65,73.38,86.82,31.48,65.05
Albania,ALB,1998,63.00,68,66.88,48,81.94,73.68,41.79,65.14,65.64,74.20,72.00,80.02,90.57,79.20,28.18,53.38,35.54,59.50,44.15,41.97,78.71,90.65,74.18,86.82,30.36,65.44
Albania,ALB,1997,62.92,67,64.12,57,81.94,73.68,41.79,65.14,65.64,73.12,72.00,76.31,90.05,77.87,29.75,57.58,35.54,58.16,45.26,40.33,78.02,90.65,73.26,72.85,28.83,64.91
Albania,ALB,1996,62.85,67,63.83,58,76.39,73.68,41.79,65.14,64.25,74.57,75.38,74.67,89.12,78.43,29.75,57.58,37.98,58.16,45.87,42.31,77.38,90.65,72.48,72.85,27.02,64.13
Albania,ALB,1995,63.49,64,63.30,57,76.39,73.68,45.73,65.14,65.23,77.25,75.38,75.70,89.12,79.36,29.75,57.58,37.98,58.16,45.87,40.62,76.84,90.65,72.86,72.85,25.83,63.47
