Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
United Arab Emirates,ARE,2022,52.11,117,83.04,25,72.22,52.63,73.41,82.83,70.27,21.86,50.33,7.72,8.39,22.08,74.83,77.54,68.49,35.11,63.99,88.38,87.88,92.99,88.61,70.29,70.34,82.79
United Arab Emirates,ARE,2021,51.24,119,83.04,25,72.22,42.11,73.41,82.83,67.64,21.86,50.33,7.72,8.39,22.08,74.83,77.54,68.49,35.11,63.99,88.38,87.88,92.99,88.61,70.29,70.34,82.79
United Arab Emirates,ARE,2020,49.49,125,82.87,24,33.33,42.11,73.41,82.83,57.92,21.99,56.76,9.47,12.12,25.09,73.23,76.95,76.40,35.33,65.48,88.38,87.88,92.99,88.61,70.29,70.34,81.60
United Arab Emirates,ARE,2019,46.22,134,83.08,24,6.94,42.11,58.48,88.24,48.94,21.60,57.11,9.27,12.12,25.03,73.68,78.27,68.27,38.51,64.68,89.74,87.60,92.99,88.61,70.29,70.23,82.13
United Arab Emirates,ARE,2018,45.58,137,82.45,26,0.00,42.11,46.68,86.78,43.89,18.73,59.64,10.20,12.12,25.17,74.73,78.67,78.82,38.51,67.68,89.39,87.31,92.99,89.56,70.29,66.05,81.54
United Arab Emirates,ARE,2017,44.89,136,79.62,32,0.00,42.11,42.47,86.58,42.79,18.73,59.64,9.27,12.12,24.94,74.39,76.92,78.82,37.64,66.94,89.45,86.99,77.80,90.39,70.29,60.85,81.54
United Arab Emirates,ARE,2016,45.94,132,78.24,34,0.00,47.37,44.78,87.72,44.97,18.91,59.64,13.59,12.12,26.07,74.81,75.83,78.82,37.64,66.77,89.27,86.66,77.80,91.16,70.29,51.09,81.41
United Arab Emirates,ARE,2015,45.41,133,78.00,34,0.00,42.11,43.69,87.62,43.35,18.10,57.95,13.18,12.12,25.34,74.67,79.77,78.82,36.93,67.55,88.93,86.32,77.80,91.85,70.29,49.83,81.01
United Arab Emirates,ARE,2014,44.72,135,77.52,34,0.00,36.84,43.83,87.83,42.12,15.55,56.40,12.98,12.12,24.26,75.39,79.96,78.82,36.93,67.77,88.13,85.96,77.80,92.66,67.15,48.59,82.33
United Arab Emirates,ARE,2013,44.56,137,77.16,34,0.00,36.84,43.69,87.30,41.96,16.07,54.46,12.77,12.12,23.86,73.58,82.51,78.82,36.59,67.87,87.39,85.61,77.80,93.06,67.15,47.36,81.73
United Arab Emirates,ARE,2012,44.09,138,76.85,34,0.00,36.84,42.88,87.41,41.78,16.07,54.46,12.56,9.95,23.26,71.95,81.87,78.82,36.23,67.22,86.61,85.25,77.80,93.72,67.15,46.15,81.27
United Arab Emirates,ARE,2011,42.64,141,76.55,35,0.00,36.84,41.52,86.89,41.31,14.47,49.53,12.98,9.95,21.73,70.02,82.86,71.13,35.44,64.86,86.21,84.89,77.80,94.33,67.15,44.95,80.49
United Arab Emirates,ARE,2010,42.57,142,76.54,34,0.00,36.84,40.30,87.10,41.06,9.81,54.01,16.68,9.95,22.61,66.36,80.63,72.68,36.54,64.05,85.82,84.54,77.80,94.80,70.44,43.76,78.65
United Arab Emirates,ARE,2009,42.54,143,75.41,38,0.00,31.58,40.98,87.72,40.07,9.68,54.01,17.82,9.95,22.87,67.50,83.00,72.68,35.55,64.68,86.92,84.19,77.80,95.13,62.60,42.59,78.65
United Arab Emirates,ARE,2008,42.02,141,76.01,37,0.00,31.58,42.33,87.10,40.25,9.68,52.02,17.82,9.95,22.37,68.17,78.48,72.68,34.38,63.43,89.88,83.84,77.80,94.71,62.60,41.43,81.80
United Arab Emirates,ARE,2007,42.48,141,75.76,36,0.00,31.58,42.20,87.10,40.22,9.68,52.02,16.89,9.95,22.14,67.93,84.14,72.68,35.60,65.09,91.82,83.48,77.80,93.53,62.60,40.29,80.81
United Arab Emirates,ARE,2006,41.22,144,75.63,35,0.00,31.58,41.11,87.51,40.05,0.81,52.72,15.14,9.95,19.65,66.75,83.09,72.68,33.30,63.96,93.99,83.12,77.80,92.23,62.60,39.16,80.49
United Arab Emirates,ARE,2005,41.74,142,75.34,32,0.00,52.63,40.57,87.10,45.07,0.00,52.98,14.42,9.95,19.34,65.57,82.12,61.07,34.51,60.82,94.90,82.76,77.80,91.45,62.60,38.05,79.83
United Arab Emirates,ARE,2004,41.93,145,75.24,32,0.00,52.63,38.40,94.17,46.30,0.00,52.98,13.59,9.95,19.13,65.87,79.96,61.07,34.51,60.35,96.21,82.38,77.80,91.34,62.60,37.23,79.11
United Arab Emirates,ARE,2003,42.51,142,74.96,30,0.00,52.63,40.43,95.63,47.17,0.86,52.98,15.04,9.43,19.58,61.84,84.53,61.07,35.62,60.77,96.22,81.99,77.80,91.40,62.60,36.42,78.32
United Arab Emirates,ARE,2002,43.09,139,74.67,29,0.00,52.63,40.57,97.61,47.70,0.86,52.98,15.04,9.43,19.58,67.89,83.37,61.07,35.62,61.99,95.87,81.60,77.80,91.30,62.60,35.62,77.92
United Arab Emirates,ARE,2001,42.50,140,74.51,29,0.00,52.63,40.57,97.61,47.70,0.86,52.70,19.46,9.43,20.61,55.87,84.14,61.07,35.62,59.18,96.37,81.20,77.80,91.02,62.60,34.82,77.73
United Arab Emirates,ARE,2000,40.86,144,74.49,28,0.00,31.58,40.71,97.61,42.47,0.86,52.70,19.46,9.43,20.61,55.87,84.14,61.07,36.88,59.49,97.06,80.80,77.80,90.67,62.60,34.04,78.45
United Arab Emirates,ARE,1999,40.29,142,74.25,28,0.00,31.58,38.94,97.61,42.03,0.86,52.70,19.46,9.43,20.61,55.12,82.03,61.07,34.70,58.23,96.20,80.38,77.80,90.61,62.60,32.68,79.50
United Arab Emirates,ARE,1998,40.29,142,74.07,28,0.00,31.58,38.94,97.61,42.03,0.86,52.70,19.46,9.43,20.61,55.12,82.03,61.07,34.70,58.23,96.64,79.97,77.80,90.48,62.60,31.35,79.63
United Arab Emirates,ARE,1997,40.28,140,73.93,28,0.00,31.58,38.94,97.61,42.03,0.86,52.70,17.61,9.43,20.15,54.92,83.91,61.07,34.70,58.65,97.52,79.55,77.80,90.26,62.60,30.03,79.76
United Arab Emirates,ARE,1996,40.28,141,73.59,27,0.00,31.58,38.94,97.61,42.03,0.86,52.70,17.61,9.43,20.15,54.92,83.91,61.07,34.70,58.65,97.01,79.12,77.80,90.10,62.60,28.74,79.76
United Arab Emirates,ARE,1995,40.22,141,73.31,27,0.00,31.58,38.94,97.61,42.03,0.86,53.02,17.61,9.43,20.23,54.92,83.91,61.07,33.65,58.39,96.90,78.68,77.80,89.97,62.60,27.46,79.76
