Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Argentina,ARG,2022,64.79,74,76.55,41,75.00,57.89,43.01,32.15,52.02,94.07,82.58,95.06,77.62,87.33,38.79,62.24,53.09,65.98,55.02,68.93,85.44,54.91,90.74,91.86,70.24,73.72
Argentina,ARG,2021,64.79,74,76.55,41,75.00,57.89,43.01,32.15,52.02,94.07,82.58,95.06,77.62,87.33,38.79,62.24,53.09,65.98,55.02,68.93,85.44,54.91,90.74,91.86,70.24,73.72
Argentina,ARG,2020,65.50,75,76.07,41,75.00,57.89,43.01,32.15,52.02,92.43,87.10,96.40,75.65,87.89,43.11,62.79,53.09,67.36,56.59,67.34,85.44,54.91,90.74,91.81,70.24,72.01
Argentina,ARG,2019,67.43,66,76.14,42,75.00,57.89,43.01,62.23,59.53,91.66,83.41,93.41,75.65,86.03,45.08,62.54,50.39,68.88,56.72,69.39,85.16,53.50,90.74,91.81,70.24,72.14
Argentina,ARG,2018,69.87,61,77.19,39,75.00,57.89,43.28,77.84,63.50,91.06,87.75,93.41,79.48,87.93,46.73,64.61,50.67,70.72,58.18,69.94,84.89,57.24,90.71,91.81,69.10,76.61
Argentina,ARG,2017,68.40,64,76.95,39,75.00,52.63,42.20,65.66,58.87,88.77,84.33,93.20,81.97,87.07,45.46,67.82,51.57,72.15,59.25,70.60,84.61,57.71,90.48,90.38,68.54,76.35
Argentina,ARG,2016,67.33,67,76.43,38,75.00,31.58,41.66,64.20,53.11,89.42,87.67,94.13,84.15,88.84,46.45,68.54,51.57,73.57,60.03,70.28,84.33,55.61,89.95,90.38,68.04,76.41
Argentina,ARG,2015,62.55,87,76.43,38,75.00,31.58,39.08,35.17,45.21,94.06,88.33,91.86,75.75,87.50,40.49,64.69,52.87,61.75,54.95,70.85,84.05,56.54,90.01,90.38,66.97,76.22
Argentina,ARG,2014,62.10,88,76.19,37,75.00,31.58,37.31,32.67,44.14,94.89,90.94,92.89,71.09,87.45,39.63,64.29,52.87,62.04,54.71,70.56,83.76,56.54,90.15,90.38,66.37,75.56
Argentina,ARG,2013,62.99,83,76.46,35,75.00,42.11,36.64,34.13,46.97,94.43,90.94,91.76,70.16,86.82,39.46,65.71,52.87,62.65,55.17,71.22,83.46,58.18,90.16,90.38,65.59,76.22
Argentina,ARG,2012,63.10,82,76.17,36,75.00,42.11,37.04,35.17,47.33,94.19,91.55,91.25,72.02,87.25,39.81,66.48,49.45,63.16,54.72,70.99,83.17,57.24,90.25,90.38,64.98,76.15
Argentina,ARG,2011,65.82,73,75.78,37,75.00,47.37,37.99,57.44,54.45,93.89,91.20,91.86,72.23,87.30,42.13,67.61,49.45,63.71,55.73,71.38,82.87,54.21,90.33,90.38,64.72,76.54
Argentina,ARG,2010,66.01,70,74.85,39,75.00,47.37,38.81,61.29,55.62,93.81,91.30,91.86,76.06,88.26,41.82,62.68,48.49,63.65,54.16,70.54,82.57,51.87,90.45,90.38,63.33,74.84
Argentina,ARG,2009,66.37,69,74.10,41,75.00,52.63,40.43,64.31,58.09,93.91,91.30,92.69,75.85,88.44,38.90,59.64,48.49,63.28,52.58,68.94,82.27,51.64,90.59,90.38,61.88,73.00
Argentina,ARG,2008,67.22,64,73.71,43,75.00,52.63,40.03,68.05,58.93,94.33,91.30,93.20,75.85,88.67,40.78,62.62,48.49,64.41,54.07,70.22,81.96,48.83,90.56,90.38,59.83,74.18
Argentina,ARG,2007,67.82,61,72.76,44,75.00,52.63,39.35,67.85,58.71,93.83,91.30,94.23,75.75,88.78,42.65,66.37,48.49,66.33,55.96,69.68,81.66,45.79,90.14,90.38,58.59,73.06
Argentina,ARG,2006,67.79,62,72.31,44,75.00,52.63,39.48,66.81,58.48,93.55,91.30,94.85,76.58,89.07,42.87,64.43,48.49,67.44,55.81,68.30,81.34,45.56,90.38,90.38,57.89,72.27
Argentina,ARG,2005,67.60,63,71.36,44,75.00,52.63,40.57,65.35,58.39,94.16,91.30,95.06,76.58,89.27,41.68,63.55,48.49,66.90,55.15,67.09,81.03,42.29,90.26,90.38,56.70,71.75
Argentina,ARG,2004,65.68,65,70.80,45,63.89,52.63,39.21,65.45,55.30,94.31,91.30,95.06,77.72,89.60,42.47,52.02,48.49,65.57,52.14,65.75,80.71,40.65,89.85,90.38,57.09,71.16
Argentina,ARG,2003,64.46,67,69.47,48,63.89,52.63,32.97,67.74,54.31,94.86,91.30,94.85,77.72,89.68,41.20,57.11,35.14,64.15,49.40,64.38,80.39,34.81,89.24,90.38,56.38,70.70
Argentina,ARG,2002,65.13,67,67.77,51,63.89,73.68,34.46,65.56,59.40,95.59,91.30,96.81,77.72,90.35,39.92,48.67,27.79,66.16,45.64,63.05,80.06,28.04,89.00,90.38,53.71,70.17
Argentina,ARG,2001,67.71,58,67.95,51,63.89,73.68,36.64,66.39,60.15,96.11,91.30,96.91,78.45,90.69,44.77,66.33,27.79,70.24,52.28,65.32,79.73,29.21,88.84,90.38,50.32,71.88
Argentina,ARG,2000,68.51,56,68.51,45,63.89,73.68,41.38,77.00,63.99,96.11,91.30,97.01,73.47,89.47,44.77,66.33,27.79,69.41,52.07,66.33,79.40,34.35,88.50,90.38,47.95,72.67
Argentina,ARG,1999,68.95,53,69.47,44,63.89,73.68,41.38,88.55,66.88,95.43,91.30,96.40,72.23,88.84,48.07,61.67,31.26,63.57,51.14,66.67,79.06,37.38,87.64,90.38,45.89,79.24
Argentina,ARG,1998,68.92,53,68.65,45,63.89,73.68,41.38,88.55,66.88,95.43,91.30,96.40,72.23,88.84,48.07,61.67,31.26,63.20,51.05,67.50,78.72,35.28,87.32,90.38,42.26,79.11
Argentina,ARG,1997,69.23,50,68.90,41,63.89,73.68,41.38,88.55,66.88,95.48,91.30,96.40,72.23,88.85,47.57,66.65,31.26,62.35,51.95,67.02,78.37,39.02,87.14,90.38,41.28,79.11
Argentina,ARG,1996,69.23,51,68.40,41,63.89,73.68,41.38,88.55,66.88,95.48,91.30,96.40,72.23,88.85,47.57,66.65,31.26,62.35,51.95,65.82,78.03,38.08,86.80,90.38,40.32,79.37
Argentina,ARG,1995,69.46,50,68.21,41,63.89,73.68,43.55,88.55,67.42,95.61,91.30,96.60,74.51,89.50,47.57,66.65,31.26,60.40,51.47,65.07,77.67,39.49,86.54,90.38,39.36,78.98
