Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Armenia,ARM,2022,65.34,73,69.19,67,93.06,78.95,62.55,0.00,58.64,92.60,90.75,88.88,61.14,83.34,45.29,47.47,58.77,64.65,54.05,60.29,82.47,94.86,62.21,74.08,52.19,58.21
Armenia,ARM,2021,64.88,73,69.19,67,87.50,78.95,62.55,0.00,57.25,92.60,90.75,88.88,61.14,83.34,45.29,47.47,58.77,64.65,54.05,60.29,82.47,94.86,62.21,74.08,52.19,58.21
Armenia,ARM,2020,72.50,53,68.48,68,87.50,78.95,62.55,80.02,77.25,95.36,92.03,91.04,66.01,86.11,44.44,48.99,64.42,58.71,54.14,59.32,82.47,94.86,62.21,72.10,52.19,56.24
Armenia,ARM,2019,75.03,50,67.08,79,87.50,78.95,62.69,88.76,79.47,95.89,92.03,91.14,68.60,86.92,42.67,56.02,69.44,66.70,58.71,60.74,82.22,83.88,62.21,72.10,51.92,56.50
Armenia,ARM,2018,71.19,57,65.04,91,87.50,78.95,61.06,88.03,78.88,76.22,90.78,84.04,71.40,80.61,41.17,55.38,65.14,54.64,54.08,59.46,81.95,73.36,62.05,72.10,51.55,54.80
Armenia,ARM,2017,62.79,89,65.68,87,87.50,84.21,55.22,88.14,78.77,70.71,82.89,74.87,34.30,65.69,37.79,51.82,47.13,38.83,43.89,58.58,81.67,75.23,61.82,72.06,51.20,59.20
Armenia,ARM,2016,62.15,87,65.59,88,87.50,84.21,54.27,87.72,78.43,69.84,81.93,71.47,34.30,64.39,36.92,50.98,49.31,37.30,43.63,57.33,81.38,77.80,61.32,70.48,51.95,58.87
Armenia,ARM,2015,62.44,88,65.35,87,87.50,78.95,53.46,89.59,77.38,69.14,82.26,71.58,34.30,64.32,37.51,59.28,49.31,36.43,45.63,57.36,81.06,78.04,60.49,70.48,52.71,57.29
Armenia,ARM,2014,62.30,87,66.07,82,87.50,73.68,53.46,90.84,76.37,69.76,82.26,70.34,34.30,64.17,37.98,58.38,52.52,36.61,46.37,56.88,80.70,80.14,61.41,71.84,52.83,58.67
Armenia,ARM,2013,63.04,82,66.12,77,87.50,78.95,53.87,80.65,75.24,69.24,82.26,71.37,34.30,64.29,41.84,66.63,52.52,37.40,49.60,56.33,80.29,82.24,61.46,71.84,52.41,58.28
Armenia,ARM,2012,62.71,85,65.82,79,87.50,78.95,54.41,80.12,75.25,69.09,81.50,73.84,31.71,64.03,40.03,67.53,53.75,34.05,48.84,55.83,79.85,84.58,60.50,70.19,52.00,57.82
Armenia,ARM,2011,61.71,87,65.26,78,87.50,78.95,54.00,80.65,75.27,66.97,81.50,74.67,27.56,62.67,38.31,63.10,53.75,33.55,47.18,54.62,79.39,85.05,60.07,70.19,51.58,55.91
Armenia,ARM,2010,61.81,87,64.59,76,87.50,78.95,51.97,83.14,75.39,66.06,81.50,74.36,27.56,62.37,37.38,65.85,53.75,33.66,47.66,53.79,78.94,83.64,60.09,70.19,51.11,54.34
Armenia,ARM,2009,61.07,87,64.78,73,87.50,73.68,51.97,83.25,74.10,64.03,77.81,70.85,27.56,60.06,39.72,69.01,52.99,34.45,49.04,53.33,78.54,88.32,59.92,70.19,50.26,52.89
Armenia,ARM,2008,58.95,94,64.81,72,87.50,73.68,52.65,83.14,74.24,64.68,63.12,65.91,29.22,55.73,37.13,64.25,52.99,33.06,46.86,55.95,78.22,85.51,59.59,70.19,47.80,56.44
Armenia,ARM,2007,59.51,90,63.63,74,87.50,63.16,53.73,81.48,71.47,66.05,71.86,74.46,26.22,59.65,34.63,67.45,53.89,33.73,47.42,54.59,77.98,80.84,60.22,70.19,48.29,53.29
Armenia,ARM,2006,59.17,93,62.88,77,81.94,73.68,53.46,78.56,71.91,65.76,71.86,74.77,26.22,59.65,36.70,59.11,53.89,34.07,45.94,52.12,77.79,84.35,59.91,70.19,45.30,50.53
Armenia,ARM,2005,57.28,96,60.05,93,55.56,73.68,53.73,76.48,64.86,65.76,71.86,75.49,26.22,59.83,37.79,63.05,53.89,33.82,47.14,49.75,77.62,69.63,60.86,70.19,42.93,49.41
Armenia,ARM,2004,56.60,98,58.84,98,55.56,73.68,44.10,86.16,64.87,65.76,64.49,74.97,26.01,57.81,37.87,62.04,53.21,35.32,47.11,47.29,77.41,66.12,61.56,70.19,41.28,48.03
Armenia,ARM,2003,57.57,96,59.88,88,55.56,73.68,44.10,86.16,64.87,66.45,68.03,74.97,25.18,58.66,37.65,69.19,53.21,36.64,49.17,45.38,77.10,76.64,61.25,70.19,40.86,47.77
Armenia,ARM,2002,56.66,96,58.77,94,55.56,73.68,44.10,86.16,64.87,70.49,68.31,75.39,25.18,59.84,37.66,59.21,49.36,34.88,45.28,42.93,76.66,72.43,62.06,70.19,40.45,46.65
Armenia,ARM,2001,55.80,97,57.92,94,55.56,73.68,44.10,86.16,64.87,72.91,68.37,75.39,25.18,60.46,31.73,50.57,49.36,36.62,42.07,40.60,76.08,71.03,62.73,70.19,40.04,44.74
