Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Australia,AUS,2022,89.90,11,90.77,5,100.00,84.21,91.04,82.41,89.42,96.51,90.97,96.09,97.10,95.17,82.39,81.62,76.94,99.56,85.13,83.88,97.36,73.60,99.03,90.24,94.73,96.58
Australia,AUS,2021,89.90,12,90.77,5,100.00,84.21,91.04,82.41,89.42,96.51,90.97,96.09,97.10,95.17,82.39,81.62,76.94,99.56,85.13,83.88,97.36,73.60,99.03,90.24,94.73,96.58
Australia,AUS,2020,89.49,13,90.72,5,100.00,84.21,91.04,82.41,89.42,97.21,92.97,96.40,97.10,95.92,82.53,81.62,69.69,98.64,83.12,83.65,97.36,73.60,99.03,90.19,94.73,96.45
Australia,AUS,2019,90.47,11,90.91,4,100.00,84.21,90.50,82.73,89.36,95.13,94.44,94.54,97.10,95.30,83.89,82.85,81.71,98.52,86.74,83.88,96.80,73.60,99.03,90.19,96.57,96.32
Australia,AUS,2018,91.01,10,89.83,5,100.00,84.21,90.50,82.62,89.33,97.20,94.24,96.50,97.10,96.26,83.89,84.43,81.71,99.74,87.44,83.77,96.52,73.60,99.14,90.19,90.99,94.61
Australia,AUS,2017,90.78,11,90.73,5,100.00,84.21,90.64,81.37,89.06,98.73,94.24,96.50,97.10,96.64,83.18,82.53,81.71,99.16,86.65,83.54,96.05,75.00,99.28,90.19,96.43,94.61
Australia,AUS,2016,91.33,10,91.12,2,100.00,84.21,90.64,81.06,88.98,98.56,95.60,97.12,97.62,97.22,83.73,85.61,83.01,98.82,87.79,83.44,95.96,75.00,99.20,90.19,99.37,94.68
Australia,AUS,2015,91.07,11,91.01,2,100.00,84.21,91.18,80.96,89.09,98.38,95.59,97.12,97.62,97.18,84.50,82.31,83.01,97.91,86.93,83.23,95.86,73.36,99.10,90.19,100.00,95.34
Australia,AUS,2014,91.77,9,90.86,3,100.00,89.47,90.91,81.48,90.47,98.38,96.01,96.81,97.62,97.20,84.58,85.29,83.01,97.72,87.65,83.10,95.68,73.36,99.12,90.19,98.68,95.86
Australia,AUS,2013,90.66,10,90.40,4,94.44,84.21,89.15,79.81,86.90,98.79,95.95,96.81,97.62,97.29,84.08,85.27,83.01,98.81,87.79,82.91,95.40,72.66,99.14,90.19,96.81,95.66
Australia,AUS,2012,91.22,9,91.22,1,94.44,84.21,88.20,80.44,86.82,98.81,96.18,98.25,96.27,97.38,86.16,84.60,88.98,98.05,89.45,82.76,95.20,72.66,99.12,94.87,98.38,95.53
Australia,AUS,2011,89.83,11,90.78,2,77.78,84.21,89.42,79.40,82.70,98.81,96.57,98.25,96.27,97.47,87.64,83.34,88.98,97.25,89.30,82.38,94.92,72.66,99.08,94.87,96.26,95.27
Australia,AUS,2010,89.78,13,90.42,2,77.78,84.21,89.96,78.04,82.50,98.60,96.57,98.25,96.27,97.42,88.23,82.39,88.98,98.07,89.42,82.20,94.55,72.66,99.05,94.87,94.95,94.68
Australia,AUS,2009,89.79,11,89.98,1,77.78,84.21,91.18,77.94,82.78,98.50,97.05,98.04,96.27,97.47,87.80,81.71,88.98,98.01,89.13,82.09,94.27,71.03,98.98,94.87,93.91,94.74
Australia,AUS,2008,90.07,10,89.82,2,77.78,84.21,92.40,77.52,82.98,98.50,97.05,98.04,96.27,97.47,88.48,83.72,88.98,97.83,89.75,82.13,93.99,71.03,98.86,94.87,92.86,95.01
Australia,AUS,2007,89.15,13,90.09,1,77.78,73.68,93.89,78.04,80.85,98.22,95.79,98.04,95.96,97.00,88.53,83.20,88.98,97.73,89.61,81.85,93.80,76.40,98.79,94.87,90.45,94.48
Australia,AUS,2006,88.97,12,89.73,2,77.78,73.68,93.76,77.63,80.71,98.17,95.79,98.04,95.96,96.99,86.82,83.31,88.98,97.73,89.21,81.30,93.33,76.40,98.75,94.87,89.28,94.15
Australia,AUS,2005,88.89,13,89.37,1,77.78,73.68,93.62,77.32,80.60,98.17,95.79,98.04,95.96,96.99,87.12,82.45,88.98,97.73,89.07,81.08,92.96,76.40,98.65,94.87,87.89,93.76
Australia,AUS,2004,89.24,11,89.06,1,77.78,73.68,90.23,80.85,80.64,98.20,95.79,98.04,95.96,97.00,90.29,83.33,88.98,97.73,90.08,80.76,92.30,76.40,98.48,94.87,86.99,93.63
Australia,AUS,2003,89.19,12,88.58,2,77.78,73.68,92.67,82.41,81.64,98.20,95.79,98.04,95.96,97.00,86.86,82.17,88.98,97.73,88.93,80.22,91.83,75.47,98.22,94.87,85.93,93.50
Australia,AUS,2002,89.56,12,88.22,2,77.78,73.68,93.35,82.62,81.86,98.20,95.79,98.04,95.96,97.00,84.16,88.47,88.98,97.73,89.84,79.90,91.27,75.47,98.00,94.87,84.88,93.17
Australia,AUS,2001,90.09,11,87.89,2,77.78,73.68,93.62,83.56,82.16,98.32,95.79,98.15,95.96,97.05,86.06,91.40,88.98,97.73,91.04,79.41,90.70,75.47,97.84,94.87,83.83,93.10
Australia,AUS,2000,90.14,9,87.87,2,77.78,73.68,94.03,83.66,82.29,98.32,95.79,98.25,95.96,97.08,86.06,91.40,88.98,97.73,91.04,79.29,89.96,77.57,97.71,94.87,82.79,92.90
Australia,AUS,1999,89.72,9,85.88,5,77.78,73.68,94.03,86.16,82.91,98.32,95.79,98.04,95.96,97.03,84.16,85.99,88.98,97.73,89.22,78.81,89.39,77.57,97.56,84.80,82.24,90.80
Australia,AUS,1998,89.77,8,85.59,4,77.78,73.68,94.03,86.16,82.91,98.30,96.40,98.04,95.96,97.18,84.16,85.99,88.98,97.73,89.22,78.15,88.83,77.57,97.40,84.80,81.69,90.67
Australia,AUS,1997,89.91,8,85.34,4,70.83,73.68,94.03,86.16,81.18,98.30,96.40,98.04,95.96,97.18,86.94,92.66,88.98,96.89,91.37,77.52,88.55,77.57,97.24,84.80,81.14,90.54
Australia,AUS,1996,89.96,8,84.66,4,70.83,73.68,94.03,86.16,81.18,98.30,96.40,98.46,95.96,97.28,86.94,92.66,88.98,97.09,91.42,77.03,87.80,77.57,97.10,84.80,77.93,90.41
Australia,AUS,1995,89.81,8,84.19,4,70.83,73.68,91.86,86.16,80.63,98.27,96.40,98.46,95.96,97.27,86.94,92.66,88.98,97.47,91.51,76.59,87.33,77.57,97.03,84.80,75.73,90.28
