Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Azerbaijan,AZE,2022,44.67,135,66.73,82,66.67,73.68,48.98,72.94,65.57,53.32,51.33,27.50,5.18,34.33,40.11,47.11,32.00,17.17,34.10,61.72,78.55,91.59,71.24,52.81,49.94,61.24
Azerbaijan,AZE,2021,44.67,135,66.73,82,66.67,73.68,48.98,72.94,65.57,53.32,51.33,27.50,5.18,34.33,40.11,47.11,32.00,17.17,34.10,61.72,78.55,91.59,71.24,52.81,49.94,61.24
Azerbaijan,AZE,2020,43.80,138,66.65,82,66.67,73.68,48.98,72.94,65.57,53.94,52.29,23.79,5.28,33.83,33.75,47.40,29.37,17.50,32.01,60.83,78.55,91.59,71.24,54.87,49.94,59.53
Azerbaijan,AZE,2019,43.32,141,66.47,82,66.67,63.16,48.98,75.34,63.54,54.13,53.72,25.03,4.15,34.25,36.65,50.50,25.36,16.21,32.18,61.75,78.33,91.59,71.24,52.24,49.84,60.32
Azerbaijan,AZE,2018,42.09,143,66.04,86,66.67,57.89,48.58,76.17,62.33,54.44,49.87,21.52,3.63,32.37,36.45,50.08,24.72,15.06,31.58,61.46,78.07,91.59,71.27,52.00,49.23,58.67
Azerbaijan,AZE,2017,43.17,139,65.56,88,66.67,57.89,49.66,75.23,62.36,55.09,55.92,26.26,4.87,35.53,35.57,49.25,24.72,16.86,31.60,61.35,77.75,91.59,70.49,50.59,48.62,58.54
Azerbaijan,AZE,2016,42.22,143,65.62,87,66.67,63.16,49.39,73.78,63.25,56.39,50.49,23.27,4.87,33.75,36.33,48.12,19.63,14.57,29.66,61.49,77.37,91.59,70.18,52.36,48.05,58.28
Azerbaijan,AZE,2015,41.34,144,65.57,86,66.67,57.89,45.59,73.15,60.83,54.03,53.87,23.17,4.66,33.93,34.14,49.62,19.31,13.99,29.27,62.26,76.95,91.59,69.82,52.65,47.07,58.67
Azerbaijan,AZE,2014,41.84,144,65.66,84,66.67,63.16,43.28,71.80,61.23,54.47,55.24,24.20,4.66,34.64,32.21,53.06,19.31,13.99,29.64,62.27,76.50,91.59,69.54,52.65,46.46,60.64
Azerbaijan,AZE,2013,41.69,145,65.37,83,66.67,57.89,43.15,70.34,59.51,55.62,56.05,25.23,4.66,35.39,31.38,56.03,19.31,13.99,30.18,62.01,76.02,91.59,69.56,52.65,45.84,59.92
Azerbaijan,AZE,2012,40.67,149,65.23,83,66.67,57.89,46.40,70.03,60.25,55.69,48.62,26.06,4.25,33.65,25.89,49.90,19.27,17.39,28.11,61.23,75.53,91.59,69.43,55.31,45.20,58.34
Azerbaijan,AZE,2011,40.76,147,64.90,80,66.67,57.89,45.59,66.70,59.21,56.42,48.62,26.57,4.25,33.96,25.47,53.62,19.27,18.08,29.11,61.08,75.02,91.59,69.42,55.31,44.57,57.29
Azerbaijan,AZE,2010,41.23,146,64.36,79,66.67,57.89,44.78,65.76,58.78,57.50,50.20,26.36,4.25,34.58,24.47,59.56,19.27,18.08,30.34,61.30,74.47,91.59,69.49,55.31,43.94,54.40
Azerbaijan,AZE,2009,39.38,149,63.81,81,66.67,31.58,44.50,64.20,51.74,57.09,50.09,27.19,4.25,34.65,26.60,58.77,22.75,18.87,31.75,60.62,73.84,91.59,69.35,55.31,43.27,52.69
Azerbaijan,AZE,2008,39.54,148,63.64,79,66.67,31.58,48.58,65.76,53.15,56.81,48.81,26.98,4.25,34.21,25.76,57.70,22.75,18.86,31.27,59.39,73.10,91.59,69.21,54.62,43.81,53.75
Azerbaijan,AZE,2007,38.89,149,62.82,84,66.67,31.58,49.12,60.87,52.06,56.94,48.81,29.25,4.25,34.81,25.91,51.72,22.75,18.86,29.81,57.93,72.26,91.59,69.21,54.62,43.13,50.99
Azerbaijan,AZE,2006,37.62,154,61.70,84,66.67,31.58,43.83,57.34,49.85,57.69,48.81,29.66,4.25,35.10,27.65,42.27,22.75,18.94,27.90,54.12,71.34,91.59,68.77,54.62,42.23,49.21
Azerbaijan,AZE,2005,37.42,154,60.46,90,66.67,31.58,44.78,57.23,50.06,58.29,45.88,29.66,4.25,34.52,27.42,41.62,22.75,18.94,27.68,48.97,70.38,91.59,68.74,54.62,41.34,47.57
Azerbaijan,AZE,2004,37.74,152,59.38,93,66.67,31.58,43.01,60.87,50.53,58.34,48.69,29.66,5.49,35.54,23.99,42.93,22.75,18.94,27.15,44.71,69.45,91.59,69.01,54.62,40.45,45.80
Azerbaijan,AZE,2003,38.18,152,60.25,84,66.67,31.58,43.01,60.87,50.53,59.79,43.22,35.32,5.49,35.96,25.53,45.20,22.75,18.76,28.06,43.28,68.60,91.12,68.46,66.42,39.57,44.28
Azerbaijan,AZE,2002,38.20,151,59.96,81,66.67,31.58,43.01,60.87,50.53,60.02,48.60,36.97,5.49,37.77,23.26,40.39,22.75,18.76,26.29,41.66,67.85,94.63,68.30,66.42,38.70,42.18
Azerbaijan,AZE,2001,38.85,146,55.48,101,66.67,31.58,43.01,60.87,50.53,60.02,48.60,38.31,5.49,38.10,22.50,47.59,22.75,18.76,27.90,40.17,67.22,68.46,67.64,66.42,37.84,40.60
Azerbaijan,AZE,2000,38.45,147,55.30,102,61.11,31.58,43.01,60.87,49.14,60.82,48.60,38.31,5.49,38.30,22.50,47.59,22.75,18.76,27.90,38.61,66.68,72.66,66.26,66.42,36.99,39.49
Azerbaijan,AZE,1999,38.35,146,52.73,112,61.11,31.58,43.01,60.87,49.14,60.48,48.60,34.71,5.49,37.32,22.72,50.17,22.75,18.77,28.60,36.86,66.17,72.66,64.93,62.38,36.14,29.96
Azerbaijan,AZE,1998,38.68,144,52.24,113,61.11,31.58,43.01,60.87,49.14,60.86,48.96,35.84,7.56,38.31,22.72,50.17,22.75,18.77,28.60,35.73,65.64,72.66,63.63,62.38,35.31,30.35
Azerbaijan,AZE,1997,36.51,152,51.72,113,61.11,10.53,43.01,60.87,43.88,60.99,49.33,32.96,7.56,37.71,21.11,47.61,22.75,20.29,27.94,34.19,65.07,72.66,62.09,62.38,34.48,31.14
Azerbaijan,AZE,1996,36.49,151,51.25,114,61.11,10.53,43.01,60.87,43.88,60.76,49.33,32.96,7.56,37.65,21.11,47.61,22.75,20.29,27.94,33.34,64.46,72.66,60.03,62.38,34.59,31.27
Azerbaijan,AZE,1995,36.16,149,51.12,114,61.11,10.53,43.01,60.87,43.88,62.77,43.29,32.96,7.56,36.65,21.11,47.61,22.75,20.29,27.94,33.29,63.87,72.66,58.56,62.38,35.41,31.67
