Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Burundi,BDI,2022,33.35,160,49.25,161,72.22,52.63,33.38,31.11,47.34,55.83,22.99,13.49,16.48,27.20,15.31,36.78,26.27,23.68,25.51,7.77,57.63,63.55,68.25,74.50,11.17,61.89
Burundi,BDI,2021,32.77,160,49.25,161,65.28,52.63,33.38,31.11,45.60,55.83,22.99,13.49,16.48,27.20,15.31,36.78,26.27,23.68,25.51,7.77,57.63,63.55,68.25,74.50,11.17,61.89
Burundi,BDI,2020,31.11,163,49.71,161,65.28,52.63,33.38,31.11,45.60,54.51,21.48,10.50,5.28,22.95,16.24,33.27,33.01,16.57,24.77,7.99,57.63,63.55,68.25,80.36,11.17,59.00
Burundi,BDI,2019,30.83,163,49.64,161,65.28,52.63,33.51,28.10,44.88,54.03,18.23,7.42,11.40,22.77,16.26,31.69,33.01,18.45,24.85,8.49,57.01,63.55,68.25,80.36,11.17,58.61
Burundi,BDI,2018,28.59,165,49.19,164,65.28,57.89,31.75,27.16,45.52,54.03,17.36,6.59,11.50,22.37,15.72,32.57,9.79,13.41,17.87,8.73,56.38,63.55,67.67,80.36,10.59,57.03
Burundi,BDI,2017,30.61,162,49.32,161,65.28,57.89,25.10,49.64,49.48,54.03,16.35,5.56,10.47,21.60,18.17,23.74,25.58,15.49,20.74,9.01,55.73,63.55,67.60,80.36,10.14,58.87
Burundi,BDI,2016,31.68,162,48.59,162,65.28,57.89,24.56,60.25,52.00,56.68,15.43,6.69,10.67,22.37,17.69,24.49,26.45,14.13,20.69,9.49,55.04,63.55,66.41,77.08,9.63,58.94
Burundi,BDI,2015,34.36,160,47.40,165,65.28,63.16,22.52,60.56,52.88,59.40,17.75,16.58,14.61,27.09,20.16,25.12,28.19,18.98,23.12,10.17,54.29,63.55,64.79,70.29,8.60,60.12
Burundi,BDI,2014,40.96,146,47.15,165,65.28,63.16,23.47,60.87,53.20,72.39,25.09,33.26,29.43,40.04,20.73,48.51,28.19,21.08,29.63,11.46,53.43,63.55,63.71,70.29,7.43,60.18
Burundi,BDI,2013,40.09,149,46.83,163,65.28,57.89,23.47,56.19,50.71,72.62,28.74,37.80,30.36,42.38,19.74,37.05,30.80,21.08,27.17,11.28,52.47,63.55,62.86,70.29,7.46,59.92
Burundi,BDI,2012,42.02,145,49.47,150,65.28,57.89,23.47,54.94,50.40,72.30,33.89,42.64,37.41,46.56,16.78,29.88,39.98,29.82,29.11,10.98,51.38,75.70,62.06,79.19,7.55,59.40
Burundi,BDI,2011,41.99,143,49.08,150,65.28,57.89,21.44,53.90,49.63,72.30,33.89,42.64,37.41,46.56,22.06,27.80,39.98,29.25,29.77,10.76,50.18,75.70,61.13,79.19,7.58,59.00
Burundi,BDI,2010,41.16,147,48.61,149,65.28,52.63,20.08,48.39,46.59,73.90,33.13,42.43,37.41,46.72,22.10,31.47,37.79,29.25,30.16,10.63,48.88,75.70,60.04,79.19,7.59,58.21
Burundi,BDI,2009,42.88,142,48.72,146,65.28,42.11,21.30,48.07,44.19,79.42,34.91,51.91,39.17,51.35,23.12,38.65,37.79,32.80,33.09,10.31,47.50,75.70,59.75,82.83,7.32,57.62
Burundi,BDI,2008,41.61,143,48.58,145,65.28,31.58,21.44,47.97,41.57,79.70,35.24,53.66,39.17,51.94,22.90,31.26,37.79,33.37,31.33,10.23,46.07,75.70,58.00,85.11,6.90,58.08
Burundi,BDI,2007,42.02,142,47.68,146,65.28,31.58,22.93,48.80,42.15,79.70,35.24,55.20,39.17,52.33,20.50,36.49,35.64,33.67,31.58,9.97,44.62,75.70,55.46,85.11,6.09,56.77
