Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Belgium,BEL,2022,88.26,14,87.45,14,100.00,89.47,79.92,83.56,88.24,98.73,94.27,97.22,91.50,95.43,75.52,76.79,82.52,89.59,81.11,84.70,92.87,90.19,89.78,84.54,85.70,84.36
Belgium,BEL,2021,88.26,14,87.45,14,100.00,89.47,79.92,83.56,88.24,98.73,94.27,97.22,91.50,95.43,75.52,76.79,82.52,89.59,81.11,84.70,92.87,90.19,89.78,84.54,85.70,84.36
Belgium,BEL,2020,88.09,15,87.17,14,100.00,89.47,79.92,83.56,88.24,98.66,93.70,97.43,91.50,95.32,75.33,75.40,82.52,89.59,80.71,83.67,92.87,90.19,89.78,84.55,85.70,83.44
Belgium,BEL,2019,88.49,15,87.65,13,100.00,89.47,78.97,87.30,88.94,98.66,95.66,98.15,95.03,96.87,75.67,73.98,82.52,86.46,79.66,84.81,95.11,90.19,89.78,84.55,85.70,83.44
Belgium,BEL,2018,88.32,18,87.41,11,100.00,89.47,78.83,87.30,88.90,98.73,95.66,98.04,93.16,96.40,76.61,72.54,82.52,86.94,79.65,84.53,94.36,90.19,89.91,84.55,85.02,83.31
Belgium,BEL,2017,88.39,18,87.35,12,100.00,89.47,78.70,87.93,89.03,98.73,95.66,98.04,93.16,96.40,76.52,73.06,82.52,86.82,79.73,84.29,94.17,89.72,90.09,84.55,85.47,83.18
Belgium,BEL,2016,88.63,17,86.93,14,100.00,89.47,78.56,87.20,88.81,98.73,95.66,98.46,93.16,96.50,79.59,73.33,82.52,86.82,80.57,84.07,94.07,89.25,90.01,84.55,83.38,83.18
Belgium,BEL,2015,89.37,15,86.60,15,100.00,89.47,80.33,88.03,89.46,98.73,95.66,98.46,93.16,96.50,80.25,76.28,82.52,89.55,82.15,83.93,93.24,89.02,89.51,84.55,83.00,82.92
Belgium,BEL,2014,90.55,14,86.83,14,100.00,89.47,87.92,89.59,91.75,98.73,97.59,98.46,93.16,96.98,79.88,78.59,82.52,90.69,82.92,83.67,93.79,88.08,88.96,88.51,80.94,83.84
Belgium,BEL,2013,89.59,14,86.22,15,100.00,84.21,78.29,85.22,86.93,98.73,97.59,98.46,93.16,96.98,82.81,83.43,82.52,90.69,84.86,83.47,92.48,89.02,87.70,88.51,79.08,83.31
Belgium,BEL,2012,89.40,15,85.91,16,100.00,84.21,78.02,85.95,87.05,98.68,97.09,98.35,92.23,96.59,81.97,83.09,82.52,90.69,84.57,83.47,92.10,89.49,86.58,88.51,78.03,83.18
Belgium,BEL,2011,88.38,16,85.63,15,86.11,84.21,78.15,86.78,83.82,98.68,97.09,98.35,92.23,96.59,82.06,83.72,82.52,90.69,84.75,83.45,92.48,88.08,85.86,88.51,77.42,83.64
Belgium,BEL,2010,87.61,16,85.14,16,86.11,84.21,72.18,87.62,82.53,98.68,97.09,98.35,92.23,96.59,80.83,80.81,82.52,90.69,83.71,83.38,91.73,87.38,85.24,88.51,76.83,82.92
Belgium,BEL,2009,87.88,16,84.76,16,79.17,94.74,71.78,87.83,83.38,98.71,97.09,98.35,92.95,96.78,79.69,81.01,82.52,90.69,83.48,83.04,91.45,86.92,85.02,88.51,75.91,82.46
Belgium,BEL,2008,87.27,17,84.87,16,79.17,94.74,73.00,87.10,83.50,98.71,97.09,98.35,92.12,96.57,76.75,76.96,82.52,90.69,81.73,83.55,90.79,87.38,85.13,88.51,74.91,83.84
Belgium,BEL,2007,87.75,16,84.51,15,79.17,94.74,73.00,87.10,83.50,98.58,97.09,98.15,93.37,96.80,78.84,79.73,82.52,90.69,82.95,83.61,90.98,85.51,85.25,88.51,74.39,83.31
Belgium,BEL,2006,87.84,16,84.44,14,79.17,94.74,71.91,87.83,83.41,98.27,97.09,98.15,92.23,96.43,79.76,81.73,82.52,90.69,83.68,83.09,90.23,88.08,85.32,88.51,73.84,82.00
Belgium,BEL,2005,87.69,16,83.61,17,79.17,94.74,71.10,87.72,83.18,98.15,97.09,98.15,92.23,96.40,80.25,80.46,82.52,90.69,83.48,82.76,89.48,85.28,84.77,88.51,72.80,81.67
