Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Benin,BEN,2022,58.08,99,54.24,135,69.44,52.63,42.61,59.21,55.97,79.28,86.46,68.38,29.64,65.94,43.14,58.29,43.68,64.22,52.33,35.95,57.93,65.42,66.67,92.48,15.74,45.47
Benin,BEN,2021,57.50,99,54.24,136,62.50,52.63,42.61,59.21,54.24,79.28,86.46,68.38,29.64,65.94,43.14,58.29,43.68,64.22,52.33,35.95,57.93,65.42,66.67,92.48,15.74,45.47
Benin,BEN,2020,57.35,102,53.74,142,55.56,63.16,42.61,59.21,55.13,77.18,86.46,69.52,31.40,66.14,43.97,55.78,40.64,62.69,50.77,35.28,57.93,65.42,66.67,92.41,15.74,42.71
Benin,BEN,2019,60.78,95,53.58,142,55.56,73.68,39.89,64.31,58.36,78.14,89.40,73.74,52.95,73.56,38.61,56.04,40.64,66.44,50.43,35.08,57.36,65.42,66.67,92.41,16.44,41.66
Benin,BEN,2018,66.73,70,53.13,145,55.56,84.21,40.43,64.41,61.15,86.76,90.88,81.98,67.15,81.69,36.56,61.53,57.43,73.82,57.34,34.37,56.80,65.42,65.37,92.41,16.54,41.00
Benin,BEN,2017,69.16,60,49.94,159,55.56,84.21,37.58,63.89,60.31,87.75,95.01,91.66,81.97,89.10,33.85,65.02,54.05,79.34,58.06,33.70,56.25,42.06,63.46,92.41,16.59,45.14
Benin,BEN,2016,68.35,65,49.58,159,55.56,78.95,36.23,59.63,57.59,89.11,91.42,91.66,90.26,90.61,35.17,64.35,56.08,71.85,56.86,33.20,55.71,42.06,62.20,92.41,16.59,44.88
Benin,BEN,2015,66.56,70,48.93,160,55.56,73.68,30.94,58.79,54.74,87.81,87.20,90.01,89.02,88.51,34.24,64.12,56.08,71.25,56.42,33.10,55.19,42.06,60.99,92.41,16.17,42.58
Benin,BEN,2014,67.52,68,50.01,156,55.56,73.68,37.31,61.60,57.04,86.08,86.83,89.29,83.73,86.48,34.39,64.94,67.74,69.14,59.05,33.29,54.70,52.34,60.46,85.98,15.22,48.09
Benin,BEN,2013,67.46,62,49.11,156,55.56,73.68,39.48,54.53,55.81,85.65,86.83,89.80,83.73,86.50,33.26,70.49,67.74,68.75,60.06,32.68,54.23,52.34,59.20,85.98,14.57,44.81
