Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Bangladesh,BGD,2022,38.18,149,63.46,100,40.28,52.63,17.23,51.20,40.33,66.91,44.62,41.71,12.44,41.42,29.60,44.75,23.82,32.96,32.78,45.98,78.07,78.04,62.18,78.10,31.94,69.91
Bangladesh,BGD,2021,37.74,148,63.46,100,40.28,47.37,17.23,51.20,39.02,66.91,44.62,41.71,12.44,41.42,29.60,44.75,23.82,32.96,32.78,45.98,78.07,78.04,62.18,78.10,31.94,69.91
Bangladesh,BGD,2020,36.60,152,62.61,101,40.28,47.37,17.23,51.20,39.02,66.93,39.42,39.13,10.05,38.88,28.09,45.71,23.82,29.91,31.89,44.95,78.07,78.04,62.18,74.50,31.94,68.59
Bangladesh,BGD,2019,36.98,154,61.90,106,40.28,47.37,16.82,59.94,41.10,66.39,40.44,37.69,11.50,39.01,28.15,45.50,23.82,25.89,30.84,44.52,77.56,78.04,62.18,74.50,27.79,68.73
Bangladesh,BGD,2018,38.26,149,62.29,103,40.28,52.63,17.10,59.94,42.49,68.59,41.43,39.03,10.36,39.85,29.13,44.23,25.49,30.93,32.45,43.34,77.05,78.04,62.52,77.25,26.61,71.22
Bangladesh,BGD,2017,38.64,149,61.83,105,40.28,52.63,16.96,60.67,42.63,67.92,42.94,42.74,10.57,41.04,29.98,38.96,28.79,31.27,32.25,42.25,76.55,78.04,62.81,77.25,25.14,70.76
Bangladesh,BGD,2016,38.67,147,61.70,105,40.28,47.37,18.18,58.90,41.18,67.45,43.42,46.34,10.36,41.89,30.23,38.84,28.79,33.84,32.93,41.30,76.05,78.04,64.14,77.87,23.84,70.63
Bangladesh,BGD,2015,38.85,148,61.41,107,40.28,47.37,17.37,59.00,41.00,67.64,43.66,47.17,10.36,42.21,30.27,39.85,28.79,34.46,33.34,40.26,75.55,78.74,64.23,78.41,22.69,69.97
Bangladesh,BGD,2014,39.84,148,59.72,112,40.28,57.89,15.06,58.79,43.01,68.83,43.76,48.82,9.64,42.76,28.89,46.26,26.60,33.21,33.74,39.31,75.02,78.74,63.89,72.99,19.04,69.05
Bangladesh,BGD,2013,40.14,148,59.29,113,40.28,57.89,14.65,60.15,43.24,75.51,42.09,53.55,16.58,46.93,28.65,31.43,26.60,34.25,30.23,38.46,74.46,78.74,64.57,72.99,18.01,67.81
Bangladesh,BGD,2012,41.51,147,61.04,103,40.28,57.89,15.60,59.52,43.32,78.43,42.71,57.57,16.68,48.85,28.97,36.47,27.02,36.97,32.36,37.62,73.85,78.74,64.30,87.69,18.33,66.75
Bangladesh,BGD,2011,41.77,145,60.39,104,40.28,57.89,17.77,59.31,43.82,78.73,42.95,59.11,16.68,49.37,26.58,35.95,28.97,36.97,32.12,36.68,73.20,78.74,62.42,87.69,17.41,66.56
Bangladesh,BGD,2010,41.39,145,59.42,108,40.28,47.37,19.95,59.00,41.65,79.59,43.06,61.07,16.68,50.10,27.26,35.52,29.93,36.97,32.42,35.76,72.50,78.74,60.02,87.69,16.59,64.65
Bangladesh,BGD,2009,39.33,150,58.57,107,40.28,21.05,18.59,59.11,34.76,79.20,42.92,60.66,16.68,49.87,26.51,33.07,30.86,42.97,33.36,34.99,71.76,76.17,59.79,87.69,15.78,63.80
Bangladesh,BGD,2008,38.03,154,57.14,110,40.28,21.05,14.79,59.52,33.91,42.85,48.41,56.44,35.96,45.91,27.50,33.85,28.60,47.13,34.27,34.30,70.99,76.17,59.08,81.98,14.50,62.94
