Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Bulgaria,BGR,2022,73.91,48,65.42,89,100.00,63.16,58.75,82.31,76.05,88.02,88.89,86.20,85.18,87.07,42.90,73.67,48.77,69.06,58.60,70.47,79.45,59.58,44.02,75.49,55.75,73.19
Bulgaria,BGR,2021,74.79,46,65.42,89,100.00,73.68,58.75,82.31,78.69,88.02,88.89,86.20,85.18,87.07,42.90,73.67,48.77,69.06,58.60,70.47,79.45,59.58,44.02,75.49,55.75,73.19
Bulgaria,BGR,2020,74.75,47,65.78,88,100.00,73.68,58.75,82.31,78.69,84.76,88.86,81.77,82.80,84.55,41.72,72.86,60.75,68.72,61.01,69.64,79.45,59.58,44.02,79.63,55.75,72.40
Bulgaria,BGR,2019,75.90,46,65.41,88,100.00,73.68,58.48,86.78,79.74,85.82,88.86,81.57,86.94,85.80,47.29,76.11,53.06,72.16,62.16,70.34,82.26,59.58,44.02,74.67,55.47,71.48
Bulgaria,BGR,2018,75.93,45,65.14,90,100.00,73.68,58.48,89.39,80.39,85.93,88.86,81.46,86.63,85.72,46.59,73.63,53.06,73.48,61.69,69.50,81.98,57.24,44.06,74.67,56.39,72.14
Bulgaria,BGR,2017,75.97,45,65.46,89,100.00,73.68,56.45,89.49,79.90,86.15,89.08,81.77,84.25,85.31,46.38,71.12,58.49,74.83,62.71,68.89,81.71,59.35,44.91,74.67,56.98,71.68
Bulgaria,BGR,2016,74.46,50,65.27,90,93.06,68.42,55.77,88.55,76.45,89.45,89.14,83.32,85.49,86.85,45.56,65.96,54.80,73.95,60.07,68.27,81.70,58.88,44.45,73.94,57.85,71.81
Bulgaria,BGR,2015,74.36,49,65.85,83,93.06,68.42,53.60,88.87,75.98,89.38,90.56,83.73,85.49,87.29,43.52,64.74,54.80,76.22,59.82,67.61,81.33,63.55,43.77,74.85,58.82,71.02
Bulgaria,BGR,2014,73.20,54,66.25,78,93.06,57.89,52.37,89.07,73.10,89.41,91.73,84.65,83.63,87.36,42.40,65.98,55.20,72.96,59.13,66.88,81.06,66.36,42.61,76.76,58.65,71.42
Bulgaria,BGR,2013,72.76,53,66.46,76,93.06,57.89,51.56,84.39,71.73,89.09,90.84,84.45,83.11,86.87,43.12,67.85,54.36,73.42,59.69,66.61,81.79,68.22,43.28,76.76,57.71,70.83
Bulgaria,BGR,2012,73.09,54,66.32,71,93.06,57.89,51.02,83.35,71.33,87.56,90.91,89.29,88.29,89.01,43.49,72.08,51.41,68.73,58.93,66.61,80.77,69.63,41.14,79.66,55.63,70.83
Bulgaria,BGR,2011,73.24,54,66.42,68,93.06,57.89,51.42,83.56,71.48,88.34,92.63,89.19,88.08,89.56,43.17,70.50,51.41,69.62,58.68,66.37,80.49,73.60,38.97,79.99,54.91,70.63
Bulgaria,BGR,2010,73.32,51,65.23,70,93.06,52.63,51.02,87.10,70.95,88.86,93.19,89.80,88.08,89.99,43.60,71.68,51.41,69.44,59.03,65.88,79.28,70.33,37.82,79.99,54.35,68.99
Bulgaria,BGR,2009,73.95,46,65.39,67,87.50,63.16,51.02,84.29,71.49,90.43,93.37,89.91,87.15,90.22,45.11,71.55,53.68,70.25,60.15,65.48,79.09,74.77,37.06,79.99,52.96,68.40
Bulgaria,BGR,2008,75.15,45,65.18,68,87.50,63.16,51.83,83.98,71.62,92.27,94.64,89.91,90.47,91.82,42.03,71.88,57.56,76.60,62.02,65.97,78.25,75.23,35.57,80.35,52.31,68.59
Bulgaria,BGR,2007,75.18,45,63.51,76,87.50,63.16,52.51,84.81,71.99,91.38,93.96,89.70,90.47,91.38,43.08,71.63,57.56,76.44,62.18,64.77,77.69,69.39,33.56,80.35,51.76,67.02
Bulgaria,BGR,2006,76.23,42,62.45,82,87.50,73.68,53.87,82.83,74.47,91.34,93.96,90.32,90.47,91.52,44.36,72.38,57.56,76.49,62.70,63.49,77.60,70.33,31.48,80.35,49.78,64.13
Bulgaria,BGR,2005,72.70,49,61.85,80,80.56,52.63,52.65,73.57,64.85,91.23,93.96,90.32,89.64,91.29,48.59,67.37,57.56,74.28,61.95,62.17,77.50,70.33,31.00,80.35,48.99,62.61
Bulgaria,BGR,2004,71.68,51,61.26,81,75.00,52.63,48.85,72.63,62.28,91.81,93.96,90.73,89.64,91.53,48.58,64.47,57.56,74.28,61.22,60.80,77.51,70.33,30.38,80.35,48.27,61.17
Bulgaria,BGR,2003,71.69,52,60.24,85,75.00,52.63,49.80,72.01,62.36,92.17,93.85,90.73,87.98,91.18,46.34,67.91,57.56,74.28,61.52,59.53,76.58,70.33,28.45,80.35,47.21,59.26
Bulgaria,BGR,2002,73.46,45,59.46,87,75.00,73.68,49.80,66.18,66.17,92.17,93.85,90.73,87.56,91.08,46.84,73.86,57.56,74.28,63.13,58.47,76.20,70.33,26.56,80.35,45.44,58.87
Bulgaria,BGR,2001,72.20,48,58.87,89,62.50,73.68,50.20,67.33,63.43,91.81,93.85,89.08,89.74,91.12,45.37,72.04,57.56,73.29,62.07,57.05,76.02,70.33,25.08,80.35,45.34,57.95
Bulgaria,BGR,2000,72.85,47,58.09,92,62.50,73.68,51.70,70.14,64.50,92.33,93.85,90.63,90.88,91.92,45.37,72.04,57.56,73.53,62.13,56.01,75.83,70.33,23.16,80.35,43.98,56.96
Bulgaria,BGR,1999,72.49,46,57.93,94,62.50,73.68,51.70,64.83,63.18,92.09,92.30,90.63,90.88,91.47,44.13,76.03,57.56,73.53,62.81,55.12,75.36,70.33,22.53,80.35,42.67,59.13
Bulgaria,BGR,1998,70.56,48,57.20,95,62.50,52.63,51.70,64.83,57.91,92.09,92.30,88.57,90.88,90.96,44.13,76.03,57.56,73.53,62.81,56.59,74.70,70.33,19.40,80.35,40.92,58.08
Bulgaria,BGR,1997,69.02,52,56.16,96,62.50,52.63,51.70,64.83,57.91,91.78,92.30,90.11,90.88,91.27,42.46,62.55,52.62,73.91,57.88,55.80,73.38,70.33,16.95,80.35,39.29,57.03
Bulgaria,BGR,1996,70.65,48,56.78,92,62.50,73.68,51.70,64.83,63.18,91.36,90.97,90.32,90.88,90.88,42.46,62.55,52.62,73.91,57.88,58.44,74.40,70.33,20.10,80.35,37.62,56.24
Bulgaria,BGR,1995,70.58,48,56.74,92,62.50,73.68,51.70,64.83,63.18,91.13,90.97,89.70,90.88,90.67,42.46,62.55,52.62,73.91,57.88,57.43,74.69,70.33,21.87,80.35,34.98,57.56
