Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Bahrain,BHR,2022,43.55,138,74.69,45,52.78,89.47,44.64,85.95,68.21,32.83,34.99,9.89,7.15,21.21,56.30,54.17,33.04,21.44,41.24,80.70,86.57,,85.75,44.75,63.39,86.99
Bahrain,BHR,2021,40.94,144,74.69,45,31.94,78.95,44.64,85.95,60.37,32.83,34.99,9.89,7.15,21.21,56.30,54.17,33.04,21.44,41.24,80.70,86.57,,85.75,44.75,63.39,86.99
Bahrain,BHR,2020,39.29,147,74.55,45,25.00,78.95,44.64,85.95,58.63,32.83,34.99,8.55,4.66,20.26,50.55,51.88,33.04,20.39,38.97,80.79,86.57,,85.75,44.75,63.39,86.07
Bahrain,BHR,2019,38.81,148,74.53,45,25.00,78.95,42.06,86.06,58.02,32.83,34.39,7.62,4.66,19.88,49.88,51.69,33.04,19.54,38.54,82.35,86.33,,85.75,44.75,61.94,86.07
Bahrain,BHR,2018,36.99,152,73.28,49,25.00,78.95,41.93,84.81,57.67,33.60,27.78,4.84,4.66,17.72,47.09,47.17,29.55,18.46,35.57,82.77,86.09,,86.77,35.66,60.33,88.04
Bahrain,BHR,2017,36.60,151,72.58,52,25.00,78.95,37.04,85.22,56.55,36.14,27.26,5.87,3.42,18.17,47.32,44.92,29.55,18.46,35.06,83.28,85.85,,87.51,35.66,55.31,87.84
Bahrain,BHR,2016,36.71,155,72.36,52,25.00,73.68,37.04,79.40,53.78,38.43,28.92,8.14,3.42,19.73,50.11,48.33,29.55,18.46,36.61,83.37,85.60,,88.27,35.66,53.54,87.71
Bahrain,BHR,2015,36.30,154,72.05,51,25.00,68.42,37.04,79.50,52.49,38.43,28.92,10.71,3.42,20.37,54.27,42.66,29.55,17.72,36.05,83.43,85.34,,88.87,35.66,51.13,87.84
Bahrain,BHR,2014,37.38,153,70.83,55,25.00,78.95,32.84,80.54,54.33,41.75,24.49,12.36,3.42,20.51,55.91,46.02,29.55,17.72,37.30,83.47,85.08,,89.41,35.66,42.60,88.76
Bahrain,BHR,2013,36.91,157,70.45,56,25.00,78.95,32.29,81.89,54.53,42.11,24.32,12.36,3.42,20.55,57.89,37.35,29.55,17.72,35.63,82.99,84.82,,89.51,35.66,41.03,88.70
Bahrain,BHR,2012,37.22,158,69.93,58,25.00,78.95,32.29,82.21,54.61,42.11,23.60,13.49,3.42,20.66,56.80,41.51,29.55,17.72,36.40,82.24,84.56,,89.42,35.66,39.50,88.17
Bahrain,BHR,2011,39.22,151,69.29,58,25.00,78.95,34.60,83.77,55.58,43.75,30.23,22.45,4.77,25.30,54.70,45.14,29.55,17.72,36.78,81.89,84.29,,89.34,33.22,39.15,87.84
Bahrain,BHR,2010,44.13,137,71.56,51,25.00,68.42,35.82,84.60,53.46,48.49,44.16,43.56,8.70,36.23,53.70,54.40,39.71,23.03,42.71,82.07,84.03,,89.18,49.44,37.90,86.73
