Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Bahamas,BHS,2022,66.88,71,72.84,53,70.83,52.63,62.42,54.32,60.05,,,,,,65.26,82.14,,,73.70,75.54,80.29,,91.97,61.98,57.34,69.91
Bahamas,BHS,2021,66.88,71,72.84,53,70.83,52.63,62.42,54.32,60.05,,,,,,65.26,82.14,,,73.70,75.54,80.29,,91.97,61.98,57.34,69.91
Bahamas,BHS,2020,66.54,71,72.39,54,70.83,52.63,62.42,54.32,60.05,,,,,,64.55,81.51,,,73.03,73.39,80.29,,91.97,61.98,57.34,69.38
Bahamas,BHS,2019,66.87,69,73.15,52,70.83,52.63,63.64,56.19,60.82,,,,,,64.92,80.92,,,72.92,78.47,80.03,,91.97,61.98,57.34,69.12
Bahamas,BHS,2018,66.59,71,73.14,51,70.83,47.37,63.77,56.30,59.57,,,,,,65.38,81.86,,,73.62,78.31,79.72,,92.31,61.98,56.59,69.91
Bahamas,BHS,2017,68.64,62,73.66,46,70.83,52.63,69.61,54.63,61.93,,,,,,66.27,84.43,,,75.35,78.16,79.35,,92.59,61.98,56.19,73.65
Bahamas,BHS,2016,68.84,61,73.48,46,70.83,42.11,70.15,65.45,62.14,,,,,,66.96,84.14,,,75.55,77.80,78.93,,92.54,61.98,55.78,73.85
Bahamas,BHS,2015,67.59,66,73.36,46,70.83,31.58,73.13,65.14,60.17,,,,,,67.25,82.77,,,75.01,78.14,78.48,,92.52,61.98,55.13,73.92
Bahamas,BHS,2014,67.70,65,73.27,47,70.83,31.58,67.30,65.56,58.82,,,,,,69.42,83.76,,,76.59,78.13,78.03,,92.91,61.98,54.48,74.11
Bahamas,BHS,2013,67.40,63,73.02,49,70.83,31.58,67.44,52.24,55.52,,,,,,71.17,87.37,,,79.27,77.97,77.61,,93.15,61.98,53.83,73.59
Bahamas,BHS,2012,69.12,61,72.94,50,70.83,31.58,67.30,62.23,57.98,,,,,,72.14,88.37,,,80.25,78.67,77.25,,93.31,61.98,53.19,73.26
Bahamas,BHS,2011,68.67,61,72.65,48,70.83,31.58,66.62,62.02,57.76,,,,,,72.40,86.74,,,79.57,78.32,76.94,,93.42,61.98,52.56,72.67
Bahamas,BHS,2010,68.37,61,72.57,48,70.83,31.58,66.35,62.33,57.77,,,,,,73.41,84.51,,,78.96,78.45,76.72,,93.55,61.98,51.93,72.80
Bahamas,BHS,2009,69.24,61,72.44,46,70.83,42.11,69.74,61.91,61.15,,,,,,72.86,81.80,,,77.33,78.44,76.58,,93.57,61.98,51.32,72.73
Bahamas,BHS,2008,69.37,60,72.82,46,70.83,42.11,67.71,66.29,61.73,,,,,,73.92,80.07,,,77.00,79.52,76.50,,93.80,61.98,50.71,74.44
Bahamas,BHS,2007,69.07,59,73.01,43,70.83,42.11,67.84,66.39,61.79,,,,,,73.50,79.17,,,76.34,80.28,76.45,,93.87,61.98,50.49,74.97
Bahamas,BHS,2006,70.77,55,72.88,43,70.83,52.63,67.57,64.93,63.99,,,,,,74.30,80.80,,,77.55,80.36,76.43,,93.54,61.98,50.59,74.38
Bahamas,BHS,2005,70.62,56,72.72,40,70.83,52.63,65.13,60.46,62.26,,,,,,74.57,83.39,,,78.98,80.25,76.43,,93.56,61.98,49.94,74.18
Bahamas,BHS,2004,69.16,60,72.33,40,70.83,52.63,63.91,50.16,59.38,,,,,,75.47,82.42,,,78.95,79.99,76.43,,93.17,61.98,49.28,73.13
Bahamas,BHS,2003,68.52,58,72.22,40,70.83,52.63,64.18,47.03,58.67,,,,,,75.64,81.12,,,78.38,80.16,76.43,,93.12,61.98,48.63,73.00
Bahamas,BHS,2002,67.26,58,72.19,38,59.72,52.63,58.75,47.35,54.61,,,,,,76.07,83.74,,,79.90,80.70,76.41,,93.00,61.98,47.99,73.06
Bahamas,BHS,2001,68.15,56,71.85,37,59.72,52.63,55.09,48.07,53.88,,,,,,74.56,90.30,,,82.43,80.52,76.37,,92.58,61.98,47.35,72.27
Bahamas,BHS,2000,68.12,57,71.78,37,59.72,52.63,54.00,48.91,53.82,,,,,,74.56,90.30,,,82.43,80.33,76.29,,92.61,61.98,46.71,72.73
Bahamas,BHS,1999,67.16,56,71.41,35,59.72,52.63,54.00,48.49,53.71,,,,,,74.79,86.41,,,80.60,79.84,76.19,,92.17,61.98,45.99,72.27
Bahamas,BHS,1998,67.16,56,70.90,36,59.72,52.63,54.00,48.49,53.71,,,,,,74.79,86.41,,,80.60,77.98,76.05,,92.38,61.98,45.28,71.75
Bahamas,BHS,1997,66.96,57,70.86,35,59.72,52.63,54.00,48.49,53.71,,,,,,74.32,86.08,,,80.20,79.01,75.89,,92.34,61.98,44.57,71.35
Bahamas,BHS,1996,66.96,56,70.39,35,59.72,52.63,54.00,48.49,53.71,,,,,,74.32,86.08,,,80.20,78.02,75.69,,92.07,61.98,43.87,70.70
Bahamas,BHS,1995,65.34,56,70.14,36,59.72,31.58,62.14,48.49,50.48,,,,,,74.32,86.08,,,80.20,77.52,75.43,,92.31,61.98,43.19,70.43
