Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Bosnia and Herzegovina,BIH,2022,61.62,89,66.66,83,80.56,68.42,35.82,75.44,65.06,81.73,84.85,76.52,46.74,72.46,28.99,56.69,49.43,54.24,47.34,63.18,86.80,76.64,48.48,74.25,51.04,66.23
Bosnia and Herzegovina,BIH,2021,61.62,89,66.66,83,80.56,68.42,35.82,75.44,65.06,81.73,84.85,76.52,46.74,72.46,28.99,56.69,49.43,54.24,47.34,63.18,86.80,76.64,48.48,74.25,51.04,66.23
Bosnia and Herzegovina,BIH,2020,61.76,89,66.30,86,80.56,68.42,35.82,75.44,65.06,82.64,84.98,77.03,44.25,72.22,29.23,55.42,49.43,57.86,47.99,61.85,86.80,76.64,48.48,74.27,51.04,65.05
Bosnia and Herzegovina,BIH,2019,63.34,85,65.96,85,80.56,68.42,35.82,81.27,66.52,82.90,86.25,76.62,45.08,72.71,33.01,55.91,55.14,59.07,50.78,62.31,86.53,76.64,48.48,74.27,49.26,64.26
Bosnia and Herzegovina,BIH,2018,63.25,86,66.18,85,80.56,68.42,38.26,81.37,67.15,83.08,83.70,75.70,42.80,71.32,33.82,56.38,49.89,64.98,51.27,61.68,86.28,76.64,49.09,74.27,47.44,67.87
Bosnia and Herzegovina,BIH,2017,63.96,84,66.01,85,73.61,68.42,38.67,80.23,65.23,84.20,89.91,80.95,39.27,73.58,36.01,57.34,55.13,63.73,53.05,60.87,86.03,76.64,49.85,74.27,47.15,67.28
Bosnia and Herzegovina,BIH,2016,63.62,82,65.81,86,73.61,68.42,36.91,78.36,64.32,84.85,89.25,82.18,39.27,73.89,37.51,56.34,53.36,63.35,52.64,60.12,85.78,76.64,49.28,74.27,47.12,67.48
Bosnia and Herzegovina,BIH,2015,65.28,76,65.05,90,73.61,73.68,38.94,79.19,66.36,84.09,89.91,83.93,46.74,76.17,36.50,56.24,55.16,65.36,53.32,59.34,85.53,76.64,47.94,74.27,45.40,66.23
Bosnia and Herzegovina,BIH,2014,67.52,69,65.18,87,73.61,78.95,48.71,80.12,70.35,84.55,90.12,84.35,46.74,76.44,38.61,64.00,55.16,65.36,55.78,58.51,85.27,76.64,49.63,74.27,45.16,66.75
Bosnia and Herzegovina,BIH,2013,65.14,75,64.66,87,73.61,73.68,44.10,68.78,65.04,84.68,88.64,84.86,46.74,76.23,39.85,56.19,55.16,65.36,54.14,57.99,84.98,76.64,50.48,74.27,42.14,66.10
Bosnia and Herzegovina,BIH,2012,65.65,73,65.26,82,73.61,73.68,51.02,74.71,68.26,84.21,89.53,86.82,43.83,76.10,38.88,53.50,53.11,64.89,52.59,57.26,84.67,76.64,51.28,82.89,39.08,64.98
Bosnia and Herzegovina,BIH,2011,65.11,75,64.61,84,73.61,73.68,48.58,79.92,68.95,84.21,89.53,86.82,43.83,76.10,35.77,47.79,53.11,64.45,50.28,57.13,84.33,76.64,51.14,82.89,35.00,65.11
Bosnia and Herzegovina,BIH,2010,65.01,74,64.14,82,73.61,73.68,44.91,80.44,68.16,84.44,89.53,86.20,43.83,76.00,35.61,50.35,53.11,64.45,50.88,56.74,83.98,76.40,52.15,82.89,33.18,63.60
Bosnia and Herzegovina,BIH,2009,62.69,78,63.81,80,73.61,52.63,43.15,79.19,62.14,84.49,89.53,84.86,43.83,75.68,35.31,50.91,51.50,63.28,50.25,56.44,83.63,76.40,52.58,82.89,31.88,62.88
