Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Bolivia,BOL,2022,56.53,104,62.99,101,88.89,15.79,30.53,64.31,49.88,86.80,83.95,80.54,38.24,72.38,29.65,57.94,59.61,42.18,47.34,51.59,76.03,51.87,82.89,89.38,51.58,37.58
Bolivia,BOL,2021,56.53,104,62.99,101,88.89,15.79,30.53,64.31,49.88,86.80,83.95,80.54,38.24,72.38,29.65,57.94,59.61,42.18,47.34,51.59,76.03,51.87,82.89,89.38,51.58,37.58
Bolivia,BOL,2020,54.91,110,61.36,107,88.89,15.79,30.53,64.31,49.88,78.00,75.27,69.21,70.05,73.13,30.40,55.08,46.35,34.99,41.71,50.77,76.03,51.87,82.89,80.93,51.58,35.48
Bolivia,BOL,2019,52.24,118,62.21,104,88.89,15.79,31.07,73.05,52.20,56.65,81.69,78.06,32.95,62.34,30.38,49.61,53.27,35.42,42.17,52.67,75.55,56.54,82.89,80.93,51.77,35.09
Bolivia,BOL,2018,56.17,107,63.21,100,88.89,5.26,33.11,73.05,50.08,86.11,87.26,79.71,36.06,72.29,36.28,58.58,54.29,35.45,46.15,52.53,75.03,54.21,82.70,90.59,50.76,36.66
Bolivia,BOL,2017,56.91,104,61.95,103,88.89,5.26,32.97,73.57,50.17,86.48,87.26,81.15,37.82,73.18,35.45,58.76,53.78,41.46,47.37,52.04,74.48,49.53,82.39,90.59,49.12,35.48
Bolivia,BOL,2016,58.03,100,61.10,107,88.89,15.79,33.79,73.05,52.88,86.66,86.79,80.64,41.76,73.96,32.50,59.35,53.72,43.37,47.24,51.56,73.89,47.90,81.77,90.59,46.56,35.41
Bolivia,BOL,2015,56.33,104,60.01,111,75.00,10.53,32.97,71.59,47.52,86.33,87.90,82.08,41.76,74.52,32.41,58.96,53.72,42.74,46.96,51.07,73.24,44.63,81.24,90.59,43.70,35.61
Bolivia,BOL,2014,56.77,101,59.67,113,75.00,15.79,32.84,69.93,48.39,88.49,86.13,82.49,42.18,74.82,33.83,57.65,53.72,43.17,47.09,50.49,72.52,42.06,80.83,90.59,42.67,38.57
Bolivia,BOL,2013,56.54,103,59.41,112,69.44,10.53,34.06,72.11,46.54,88.82,86.13,83.32,42.18,75.11,36.41,57.74,53.72,43.99,47.97,49.81,71.73,42.52,80.42,90.59,42.99,37.78
