Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Brazil,BRA,2022,64.79,75,65.26,91,87.50,63.16,47.90,64.20,65.69,91.25,55.20,76.83,81.97,76.31,36.84,54.57,46.17,71.83,52.35,61.96,84.08,39.49,91.62,69.29,44.41,65.97
Brazil,BRA,2021,64.79,75,65.26,91,87.50,63.16,47.90,64.20,65.69,91.25,55.20,76.83,81.97,76.31,36.84,54.57,46.17,71.83,52.35,61.96,84.08,39.49,91.62,69.29,44.41,65.97
Brazil,BRA,2020,64.70,78,64.94,95,87.50,63.16,47.90,64.20,65.69,91.31,57.91,80.02,75.85,76.27,37.88,55.66,46.17,68.89,52.15,61.27,84.08,39.49,91.62,69.31,44.41,64.39
Brazil,BRA,2019,65.03,76,63.58,97,87.50,52.63,47.22,72.74,65.02,90.36,61.68,81.46,75.85,77.34,40.49,49.94,46.17,74.36,52.74,62.11,83.70,28.74,91.62,69.31,44.41,65.18
Brazil,BRA,2018,67.97,65,64.91,94,87.50,52.63,48.30,72.42,65.22,92.48,69.92,88.98,77.62,82.25,36.67,55.47,53.62,80.03,56.45,62.03,83.31,27.80,91.69,80.72,43.89,64.91
Brazil,BRA,2017,69.36,59,64.83,92,87.50,52.63,50.75,72.42,65.83,93.17,78.82,88.98,77.62,84.65,37.89,54.80,56.31,81.49,57.62,61.85,82.90,29.21,91.78,80.72,42.55,64.78
Brazil,BRA,2016,71.46,57,65.91,85,87.50,57.89,52.24,70.03,66.92,93.59,81.43,91.97,84.25,87.81,39.93,56.75,57.68,84.30,59.67,61.76,82.48,29.21,91.54,89.35,41.80,65.24
Brazil,BRA,2015,73.68,54,67.82,67,87.50,52.63,52.51,68.78,65.36,96.50,81.82,97.12,94.40,92.46,39.69,57.68,68.58,86.93,63.22,62.51,82.04,32.48,91.61,100.00,40.33,65.77
Brazil,BRA,2014,74.97,48,68.03,67,87.50,57.89,53.60,70.24,67.31,96.80,81.82,97.32,94.40,92.59,40.98,62.97,68.34,87.76,65.01,63.31,81.58,32.24,91.38,100.00,39.77,67.94
Brazil,BRA,2013,74.76,47,67.59,68,87.50,52.63,54.55,71.80,66.62,96.49,81.82,97.53,94.40,92.56,44.61,59.16,68.34,88.26,65.09,63.38,81.09,30.61,90.85,100.00,38.93,68.27
Brazil,BRA,2012,75.44,46,66.58,70,87.50,52.63,58.07,72.22,67.61,96.46,82.10,97.12,92.02,91.92,44.75,65.32,68.34,88.71,66.78,63.00,80.58,28.97,90.30,100.00,35.06,68.13
Brazil,BRA,2011,75.48,46,66.46,67,87.50,52.63,58.89,72.42,67.86,96.46,82.10,97.63,92.02,92.05,47.30,61.71,68.34,88.80,66.54,62.82,80.04,30.14,89.69,100.00,34.00,68.53
Brazil,BRA,2010,75.10,46,65.61,66,87.50,47.37,57.26,73.26,66.35,96.34,82.10,97.63,91.30,91.84,46.56,64.67,68.34,88.90,67.12,62.28,79.48,28.27,89.43,100.00,33.19,66.62
Brazil,BRA,2009,75.37,45,64.81,71,87.50,52.63,56.31,72.53,67.24,96.29,82.10,97.63,90.16,91.54,44.48,67.71,68.34,88.80,67.33,61.14,78.88,28.27,89.25,100.00,32.47,63.67
Brazil,BRA,2008,74.61,46,64.68,73,87.50,52.63,54.95,73.36,67.11,96.29,82.10,97.63,90.16,91.54,45.45,58.05,68.34,88.87,65.18,61.34,78.26,27.57,89.09,100.00,32.04,64.45
Brazil,BRA,2007,74.25,47,63.63,75,87.50,52.63,53.19,74.19,66.88,96.29,82.10,97.63,90.16,91.54,42.99,57.14,68.34,88.87,64.34,60.62,77.61,25.47,88.90,100.00,30.04,62.75
Brazil,BRA,2006,74.36,47,62.95,76,87.50,52.63,51.97,76.27,67.09,96.65,82.10,97.73,90.16,91.66,41.56,58.42,68.34,89.03,64.34,59.75,76.94,23.83,88.70,100.00,29.72,61.70
Brazil,BRA,2005,74.49,46,62.37,76,87.50,52.63,52.92,73.15,66.55,96.65,81.97,97.73,91.30,91.91,43.61,59.06,68.34,89.03,65.01,59.24,76.26,22.20,88.54,100.00,29.42,60.91
Brazil,BRA,2004,72.68,46,61.99,77,87.50,52.63,47.76,69.30,64.30,96.27,77.65,97.01,86.22,89.29,45.71,58.80,68.61,84.67,64.45,58.88,75.58,21.73,88.04,100.00,28.74,60.97
Brazil,BRA,2003,73.46,47,61.19,79,87.50,52.63,49.53,68.05,64.43,96.27,77.65,97.01,86.22,89.29,48.87,64.48,68.61,84.67,66.66,58.09,74.90,19.16,87.77,100.00,28.21,60.18
Brazil,BRA,2002,72.42,49,60.93,77,69.44,52.63,50.07,69.41,60.39,96.84,77.65,97.01,84.04,88.89,47.61,71.03,68.61,84.67,67.98,58.11,74.24,17.99,87.57,100.00,28.84,59.79
Brazil,BRA,2001,70.77,52,60.54,76,69.44,52.63,40.03,63.68,56.45,96.53,76.54,97.32,84.04,88.61,47.62,68.12,68.61,84.67,67.25,57.81,73.58,17.29,87.36,100.00,27.48,60.25
Brazil,BRA,2000,70.67,52,60.02,79,69.44,52.63,41.25,61.29,56.15,96.53,76.54,97.32,84.04,88.61,47.62,68.12,68.61,84.67,67.25,57.80,72.94,15.89,87.10,100.00,26.14,60.25
Brazil,BRA,1999,69.25,52,59.91,79,69.44,52.63,41.25,58.06,55.35,96.40,76.54,97.32,84.04,88.58,45.43,57.52,68.61,83.80,63.84,57.29,72.29,15.89,86.65,100.00,24.86,62.42
Brazil,BRA,1998,69.24,51,59.46,80,69.44,52.63,41.25,58.06,55.35,96.25,76.54,97.32,84.04,88.54,45.43,57.52,68.61,83.80,63.84,57.47,71.64,14.49,86.24,100.00,23.61,62.81
Brazil,BRA,1997,69.43,49,59.08,78,69.44,52.63,41.25,58.06,55.35,96.19,76.54,97.32,84.04,88.53,45.34,59.93,68.61,83.80,64.42,57.68,70.97,14.02,85.94,100.00,22.38,62.55
Brazil,BRA,1996,69.43,50,58.66,79,69.44,52.63,41.25,58.06,55.35,96.19,76.54,97.32,84.04,88.53,45.34,59.93,68.61,83.80,64.42,57.36,70.29,13.79,85.29,100.00,21.18,62.68
Brazil,BRA,1995,69.43,51,58.21,79,69.44,52.63,41.25,58.06,55.35,96.14,76.54,97.32,84.04,88.51,45.34,59.93,68.61,83.80,64.42,57.26,69.58,14.49,84.76,100.00,20.01,61.37
