Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Brunei Darussalam,BRN,2022,68.96,62,74.49,47,40.28,68.42,45.73,68.78,55.80,,,,,,76.18,88.05,,,82.12,87.60,83.92,,98.52,61.98,44.87,70.04
Brunei Darussalam,BRN,2021,68.96,62,74.49,47,40.28,68.42,45.73,68.78,55.80,,,,,,76.18,88.05,,,82.12,87.60,83.92,,98.52,61.98,44.87,70.04
Brunei Darussalam,BRN,2020,69.06,61,74.50,46,40.28,68.42,45.73,68.78,55.80,,,,,,76.29,88.33,,,82.31,88.06,83.92,,98.52,61.98,44.87,69.65
Brunei Darussalam,BRN,2019,67.76,64,74.43,47,40.28,68.42,45.45,75.03,57.29,,,,,,69.60,86.84,,,78.22,88.03,83.66,,98.52,61.98,45.24,69.12
Brunei Darussalam,BRN,2018,68.54,62,74.57,44,40.28,68.42,47.90,75.03,57.91,,,,,,68.84,89.53,,,79.18,87.53,83.40,,98.80,61.98,45.82,69.91
Brunei Darussalam,BRN,2017,67.72,67,74.78,43,40.28,68.42,48.30,75.34,58.09,,,,,,66.81,87.88,,,77.35,87.71,83.15,,98.96,61.98,46.14,70.76
Brunei Darussalam,BRN,2016,66.88,68,74.80,43,40.28,68.42,48.30,73.47,57.62,,,,,,64.52,87.76,,,76.14,87.67,82.89,,98.79,61.98,46.34,71.09
Brunei Darussalam,BRN,2015,67.73,65,74.85,43,40.28,73.68,47.08,72.94,58.50,,,,,,64.35,89.55,,,76.95,88.33,82.65,,98.63,61.98,46.25,71.29
Brunei Darussalam,BRN,2014,67.64,66,75.47,41,40.28,73.68,44.50,74.51,58.24,,,,,,64.13,89.93,,,77.03,88.63,82.41,,98.79,61.98,46.78,74.24
Brunei Darussalam,BRN,2013,66.32,70,75.79,39,40.28,73.68,46.27,71.70,57.98,,,,,,63.20,86.14,,,74.67,89.32,82.19,,99.11,61.98,46.70,75.43
Brunei Darussalam,BRN,2012,66.52,69,75.93,37,40.28,73.68,50.20,78.88,60.76,,,,,,61.77,82.80,,,72.28,89.95,81.98,,99.48,61.98,46.37,75.82
Brunei Darussalam,BRN,2011,68.48,62,75.48,39,40.28,73.68,49.93,79.40,60.82,,,,,,65.93,86.36,,,76.15,90.03,81.78,,99.75,61.98,44.33,75.03
Brunei Darussalam,BRN,2010,67.78,64,74.75,40,26.39,73.68,49.93,79.71,57.43,,,,,,66.02,90.26,,,78.14,89.60,81.57,,99.87,61.98,43.23,72.27
Brunei Darussalam,BRN,2009,68.74,62,74.55,40,26.39,73.68,49.93,79.71,57.43,,,,,,67.64,92.48,,,80.06,89.36,81.35,,99.87,61.98,43.06,71.68
Brunei Darussalam,BRN,2008,65.90,67,74.76,40,26.39,73.68,49.93,79.71,57.43,,,,,,61.57,87.18,,,74.37,89.89,81.11,,99.83,61.98,42.29,73.46
Brunei Darussalam,BRN,2007,65.12,68,74.36,40,26.39,73.68,49.93,79.71,57.43,,,,,,58.83,86.81,,,72.82,90.46,80.84,,99.70,61.98,42.21,70.96
Brunei Darussalam,BRN,2006,65.05,67,74.35,38,26.39,73.68,49.93,79.71,57.43,,,,,,58.21,87.14,,,72.67,90.66,80.54,,99.58,61.98,42.27,71.09
Brunei Darussalam,BRN,2005,64.91,66,74.04,35,26.39,73.68,49.93,79.71,57.43,,,,,,55.86,88.94,,,72.40,90.14,80.20,,99.52,61.98,41.83,70.57
Brunei Darussalam,BRN,2004,65.20,66,73.74,37,26.39,73.68,49.93,79.71,57.43,,,,,,53.84,92.12,,,72.98,90.35,79.82,,99.54,61.98,41.02,69.71
Brunei Darussalam,BRN,2003,64.97,66,73.44,37,26.39,73.68,49.93,79.71,57.43,,,,,,57.45,87.56,,,72.51,90.57,79.39,,99.52,61.98,39.73,69.45
Brunei Darussalam,BRN,2002,65.42,66,73.07,37,26.39,73.68,49.93,79.71,57.43,,,,,,59.02,87.79,,,73.40,90.39,78.94,,99.57,61.98,38.65,68.86
