Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Bhutan,BTN,2022,70.25,58,60.65,112,77.78,21.05,59.70,62.75,55.32,90.99,72.59,67.66,83.32,78.64,72.94,84.10,66.17,83.89,76.78,56.09,76.60,66.36,70.01,52.27,23.59,79.63
Bhutan,BTN,2021,70.25,58,60.65,112,77.78,21.05,59.70,62.75,55.32,90.99,72.59,67.66,83.32,78.64,72.94,84.10,66.17,83.89,76.78,56.09,76.60,66.36,70.01,52.27,23.59,79.63
Bhutan,BTN,2020,71.41,58,61.00,110,77.78,21.05,59.70,62.75,55.32,92.09,79.98,70.96,87.77,82.70,70.59,85.12,59.57,89.54,76.20,56.09,76.60,66.36,70.01,55.63,23.59,78.71
Bhutan,BTN,2019,70.61,60,61.07,108,77.78,21.05,58.34,56.19,53.34,91.09,79.98,71.06,89.22,82.84,69.13,86.30,59.57,87.60,75.65,58.21,76.04,66.36,70.01,55.63,23.59,77.66
Bhutan,BTN,2018,69.90,60,60.49,112,77.78,21.05,57.80,56.19,53.21,90.09,78.70,70.03,86.74,81.39,69.78,86.54,59.57,84.53,75.10,57.41,75.45,66.36,70.47,55.63,20.61,77.53
Bhutan,BTN,2017,69.14,61,60.07,111,77.78,21.05,57.39,56.19,53.10,89.01,75.53,68.49,82.18,78.80,71.35,87.01,59.57,84.18,75.53,57.08,74.83,66.36,70.68,55.63,17.99,77.92
Bhutan,BTN,2016,70.25,60,59.14,117,77.78,21.05,67.03,63.37,57.31,87.84,76.34,68.49,82.18,78.71,65.78,87.14,61.01,85.04,74.74,56.47,74.18,63.08,70.70,55.63,16.13,77.79
Bhutan,BTN,2015,69.92,60,58.70,117,77.78,21.05,65.94,62.96,56.93,88.66,76.34,70.65,82.18,79.46,63.40,84.13,61.01,84.90,73.36,55.28,73.50,63.08,70.64,56.58,14.30,77.53
Bhutan,BTN,2014,69.42,61,58.16,118,77.78,21.05,54.27,65.35,54.61,88.45,76.34,70.65,82.18,79.40,64.98,86.02,61.01,84.90,74.23,54.34,72.81,63.08,70.78,56.58,12.51,77.00
Bhutan,BTN,2013,69.10,61,57.58,119,77.78,21.05,57.80,65.87,55.63,89.08,76.12,71.27,82.18,79.66,61.84,80.28,61.01,84.90,72.01,53.55,72.09,63.08,70.77,56.58,10.74,76.22
Bhutan,BTN,2012,69.86,59,57.14,119,77.78,21.05,57.80,65.87,55.63,90.95,75.55,74.36,84.35,81.30,63.60,80.11,62.41,84.53,72.66,53.40,71.35,63.08,70.85,56.58,9.13,75.62
Bhutan,BTN,2011,69.79,59,57.08,116,77.78,21.05,57.80,65.87,55.63,90.95,75.55,73.12,84.35,80.99,63.76,81.13,62.41,83.74,72.76,52.71,70.56,64.72,70.80,56.58,9.01,75.16
Bhutan,BTN,2010,68.81,60,56.54,115,72.22,15.79,57.80,65.87,52.92,90.95,75.88,73.12,84.35,81.08,63.87,79.42,62.41,84.05,72.44,51.53,69.71,64.72,70.47,56.58,8.81,73.98
Bhutan,BTN,2009,69.95,60,55.76,118,72.22,31.58,57.80,65.87,56.87,91.94,75.12,71.58,84.35,80.75,63.02,80.66,62.41,82.81,72.23,49.69,68.77,64.72,69.66,56.58,8.81,72.08
Bhutan,BTN,2008,68.32,61,55.41,118,72.22,31.58,57.80,65.87,56.87,86.24,74.68,66.84,81.04,77.20,60.71,78.98,62.41,81.42,70.88,48.69,67.73,64.72,68.58,56.58,8.81,72.80
