Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Botswana,BWA,2022,73.30,49,63.61,99,47.22,68.42,60.65,73.26,62.39,81.72,89.18,90.53,72.02,83.36,58.48,84.20,66.99,86.87,74.14,63.62,72.33,29.21,77.00,84.17,44.42,74.51
Botswana,BWA,2021,73.30,49,63.61,99,47.22,68.42,60.65,73.26,62.39,81.72,89.18,90.53,72.02,83.36,58.48,84.20,66.99,86.87,74.14,63.62,72.33,29.21,77.00,84.17,44.42,74.51
Botswana,BWA,2020,73.33,51,62.52,102,47.22,68.42,60.65,73.26,62.39,81.81,88.70,89.39,69.84,82.44,56.26,85.17,71.26,87.93,75.16,62.03,72.33,29.21,77.00,78.79,44.42,73.85
Botswana,BWA,2019,76.03,45,62.87,101,47.22,68.42,60.79,82.62,64.76,86.79,90.41,88.16,82.49,86.96,59.15,86.89,71.10,88.35,76.37,64.05,71.96,29.21,77.00,78.79,44.42,74.64
Botswana,BWA,2018,75.72,46,63.75,98,47.22,68.42,60.52,82.31,64.62,88.67,88.47,87.85,82.49,86.87,58.46,84.05,71.10,89.14,75.69,63.84,71.37,29.21,76.75,86.43,44.12,74.51
Botswana,BWA,2017,74.76,48,62.52,102,47.22,68.42,60.24,80.54,64.11,88.38,89.42,87.02,83.01,86.96,59.59,85.09,66.19,81.97,73.21,63.54,70.50,29.21,76.45,79.78,43.83,74.31
Botswana,BWA,2016,75.96,46,62.94,99,47.22,68.42,59.84,84.18,64.92,88.32,88.19,89.29,85.49,87.82,62.73,84.53,69.20,84.05,75.13,63.20,69.32,29.21,76.08,84.79,43.53,74.44
Botswana,BWA,2015,76.49,45,62.43,101,47.22,73.68,61.87,82.73,66.38,88.53,89.24,89.08,85.49,88.09,61.23,85.49,69.20,84.05,74.99,62.31,67.75,29.21,75.40,84.79,43.23,74.31
Botswana,BWA,2014,77.10,43,59.91,110,47.22,78.95,60.38,83.87,67.61,88.85,87.96,90.11,85.49,88.10,59.35,84.88,70.36,87.78,75.59,63.64,65.75,12.38,74.93,84.79,42.27,75.62
Botswana,BWA,2013,76.07,45,59.21,114,47.22,73.68,60.11,75.65,64.17,88.98,86.61,90.01,84.56,87.54,61.11,86.71,70.36,87.78,76.49,63.14,63.34,12.38,74.51,84.79,41.30,75.03
Botswana,BWA,2012,76.55,44,58.39,115,47.22,78.95,61.60,74.09,65.47,88.12,88.50,91.56,80.41,87.15,61.70,86.75,70.36,89.31,77.03,61.40,60.61,12.38,74.07,84.79,40.34,75.10
Botswana,BWA,2011,77.27,42,57.54,115,47.22,78.95,65.13,75.65,66.74,88.12,89.33,91.25,83.11,87.95,62.28,85.94,70.36,89.92,77.13,60.83,57.62,12.38,73.54,84.79,39.37,74.24
Botswana,BWA,2010,77.75,42,56.52,116,47.22,84.21,66.76,75.75,68.49,88.12,89.33,91.25,83.11,87.95,62.46,84.46,70.36,89.92,76.80,60.03,54.45,12.38,73.28,84.79,38.40,72.34
Botswana,BWA,2009,76.18,43,55.45,120,47.22,73.68,66.49,73.36,65.19,88.36,89.30,92.28,83.11,88.26,61.88,83.70,65.20,89.55,75.08,58.86,51.16,12.38,73.05,84.98,37.93,69.78
