Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Central African Republic,CAF,2022,42.13,142,38.68,171,61.11,47.37,19.00,52.34,44.95,71.09,50.81,67.66,34.09,55.91,16.15,21.78,24.81,39.36,25.53,12.31,42.26,22.43,47.45,82.91,11.64,51.77
Central African Republic,CAF,2021,42.13,141,38.68,171,61.11,47.37,19.00,52.34,44.95,71.09,50.81,67.66,34.09,55.91,16.15,21.78,24.81,39.36,25.53,12.31,42.26,22.43,47.45,82.91,11.64,51.77
Central African Republic,CAF,2020,43.61,139,37.37,172,61.11,47.37,19.00,52.34,44.95,76.27,43.12,63.13,64.25,61.69,14.98,19.15,24.81,37.81,24.19,12.48,42.26,22.43,47.45,75.91,11.64,49.41
Central African Republic,CAF,2019,44.87,139,38.10,172,61.11,47.37,24.83,49.74,45.76,79.34,40.34,59.84,63.52,60.76,15.14,21.10,31.48,44.68,28.10,12.64,41.52,22.43,47.45,81.23,11.64,49.80
Central African Republic,CAF,2018,47.73,127,36.95,172,61.11,47.37,24.83,49.53,45.71,77.42,43.92,72.40,83.01,69.19,15.58,20.19,31.48,45.89,28.28,12.39,40.63,22.43,45.84,76.04,11.28,50.07
Central African Republic,CAF,2017,49.71,123,35.40,172,61.11,84.21,22.12,49.74,54.29,77.60,44.84,69.31,74.20,66.49,15.35,23.77,31.48,42.80,28.35,11.99,39.57,22.43,44.27,68.87,10.94,49.74
Central African Republic,CAF,2016,46.41,130,34.94,172,61.11,47.37,21.17,53.07,45.68,77.84,42.66,67.25,72.95,65.17,14.08,28.17,27.85,43.35,28.36,11.42,38.37,22.43,43.24,68.87,10.60,49.67
Central African Republic,CAF,2015,45.35,134,34.46,172,61.11,47.37,20.90,53.90,45.82,70.83,42.66,66.84,72.95,63.32,13.84,25.83,27.85,40.12,26.91,10.77,37.04,22.43,41.87,68.87,10.27,50.00
Central African Republic,CAF,2014,43.06,142,31.79,172,61.11,52.63,20.90,54.53,47.29,70.90,36.02,61.38,69.53,59.46,14.34,9.74,27.85,37.74,22.42,10.12,35.63,22.43,40.63,54.49,9.69,49.54
Central African Republic,CAF,2013,41.04,146,30.27,172,61.11,57.89,19.54,44.85,45.85,69.83,28.79,51.60,70.05,55.07,17.78,20.76,20.45,29.81,22.20,10.17,34.22,22.43,39.93,48.48,9.12,47.57
Central African Republic,CAF,2012,45.22,131,35.47,172,61.11,57.89,20.49,47.97,46.87,73.52,42.69,62.20,69.02,61.86,20.59,26.88,22.73,37.58,26.95,18.37,32.85,22.43,40.12,73.50,8.57,52.43
Central African Republic,CAF,2011,45.31,134,34.95,172,61.11,52.63,21.44,49.53,46.18,73.62,44.02,62.20,64.77,61.15,22.46,28.16,26.20,37.58,28.60,17.55,31.57,22.43,38.87,73.50,8.26,52.50
Central African Republic,CAF,2010,44.23,136,34.16,171,61.11,42.11,21.57,49.22,43.50,75.03,44.02,62.20,62.69,60.99,21.97,23.48,29.75,37.58,28.20,16.94,30.38,22.43,37.38,73.50,7.65,50.85
Central African Republic,CAF,2009,44.43,138,33.67,171,61.11,42.11,19.27,49.32,42.95,74.95,43.68,62.51,62.69,60.96,21.36,25.84,33.12,37.16,29.37,16.33,29.27,22.43,36.66,73.50,7.21,50.33
Central African Republic,CAF,2008,43.45,139,33.17,171,61.11,31.58,19.27,48.39,40.09,74.95,43.68,62.51,62.69,60.96,19.88,27.06,33.12,37.16,29.30,15.11,28.23,22.43,35.80,73.50,6.92,50.20
Central African Republic,CAF,2007,43.96,137,32.69,171,61.11,42.11,19.13,46.83,42.29,74.95,43.68,62.51,62.69,60.96,17.40,26.79,33.12,37.16,28.62,15.07,27.25,22.43,34.59,73.50,6.63,49.34
Central African Republic,CAF,2006,45.05,133,32.19,171,61.11,52.63,19.00,48.91,45.41,74.95,43.68,62.51,62.69,60.96,18.08,26.90,33.12,37.02,28.78,14.60,26.36,22.43,33.90,73.50,6.34,48.23
Central African Republic,CAF,2005,47.18,123,31.83,171,61.11,73.68,20.08,46.93,50.45,74.06,43.68,62.51,62.69,60.74,16.00,35.48,33.12,36.78,30.34,14.11,25.58,22.43,34.03,73.50,6.07,47.11
