Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Canada,CAN,2022,87.86,15,87.70,11,100.00,84.21,86.70,80.65,87.89,96.17,95.34,97.01,77.51,91.51,82.28,83.36,80.51,90.55,84.18,83.36,94.65,75.93,97.49,87.49,80.07,94.88
Canada,CAN,2021,87.86,15,87.70,11,100.00,84.21,86.70,80.65,87.89,96.17,95.34,97.01,77.51,91.51,82.28,83.36,80.51,90.55,84.18,83.36,94.65,75.93,97.49,87.49,80.07,94.88
Canada,CAN,2020,87.65,16,87.54,11,100.00,84.21,86.70,80.65,87.89,96.22,94.71,97.12,73.78,90.46,82.02,85.24,80.51,90.60,84.59,82.65,94.65,75.93,97.49,87.49,80.07,94.48
Canada,CAN,2019,88.14,16,87.81,11,94.44,84.21,86.97,80.02,86.41,95.96,94.38,97.43,80.52,92.07,84.86,84.98,80.51,93.36,85.93,83.83,95.21,75.93,97.49,87.49,80.07,94.61
Canada,CAN,2018,88.59,17,87.34,12,94.44,84.21,86.84,79.50,86.25,95.91,93.97,95.88,86.63,93.10,85.38,84.22,82.98,93.16,86.43,83.75,95.21,75.93,97.45,87.49,79.03,92.51
Canada,CAN,2017,90.07,13,87.21,13,94.44,84.21,90.64,80.23,87.38,95.91,93.93,96.09,89.43,93.84,87.92,86.71,88.27,93.02,88.98,83.51,94.93,75.93,97.68,87.49,78.50,92.44
Canada,CAN,2016,90.71,12,87.25,12,94.44,84.21,90.23,85.12,88.50,95.91,95.54,95.57,89.33,94.09,87.90,89.82,88.27,92.12,89.53,83.19,94.93,77.34,97.64,87.49,77.58,92.58
Canada,CAN,2015,90.44,13,86.96,12,94.44,84.21,89.42,84.60,88.17,95.03,96.71,95.37,89.74,94.21,86.58,90.20,87.15,91.88,88.95,83.21,94.93,75.00,97.67,88.43,76.81,92.64
Canada,CAN,2014,89.93,15,87.35,11,94.44,84.21,85.75,85.64,87.51,95.24,96.60,95.06,90.67,94.39,85.95,88.19,87.15,90.20,87.87,83.23,94.74,76.17,97.62,90.24,76.19,93.23
Canada,CAN,2013,89.16,15,86.96,11,94.44,78.95,85.62,82.41,85.36,95.49,96.60,95.16,90.67,94.48,86.76,85.88,87.15,90.75,87.64,82.90,94.65,74.77,97.54,90.24,75.68,92.90
Canada,CAN,2012,88.64,16,86.88,10,94.44,78.95,85.48,82.31,85.30,95.26,95.92,94.54,90.78,94.12,86.96,86.93,80.62,91.54,86.51,82.67,94.46,75.47,97.39,90.24,75.11,92.77
Canada,CAN,2011,88.71,15,85.82,14,94.44,78.95,86.43,81.79,85.40,95.28,95.92,94.54,90.78,94.13,87.72,86.20,80.62,91.88,86.60,82.56,94.09,75.23,97.22,86.12,72.87,92.64
Canada,CAN,2010,89.01,15,85.52,15,94.44,78.95,87.79,84.08,86.31,96.12,95.92,94.54,91.19,94.44,88.81,83.35,80.62,92.27,86.26,82.17,93.71,75.23,97.04,86.12,72.06,92.31
Canada,CAN,2009,88.77,13,85.23,12,94.44,73.68,87.52,84.08,84.93,96.12,95.92,94.54,90.47,94.26,88.33,87.21,80.62,92.32,87.12,81.83,93.24,74.77,96.70,86.12,72.33,91.66
Canada,CAN,2008,88.59,14,85.26,13,94.44,73.68,88.20,83.66,85.00,96.18,95.92,94.54,90.47,94.27,88.01,85.48,80.62,91.84,86.49,82.57,92.68,74.77,96.31,86.12,71.81,92.58
Canada,CAN,2007,87.71,17,85.12,12,94.44,63.16,89.01,83.25,82.46,96.23,95.92,94.54,90.47,94.29,87.76,84.78,80.62,92.36,86.38,82.58,92.40,74.77,95.90,86.12,71.63,92.44
Canada,CAN,2006,86.70,18,84.89,12,94.44,52.63,87.52,82.83,79.36,96.20,94.69,94.54,90.47,93.97,88.74,85.35,80.62,92.36,86.76,81.56,92.03,75.00,95.58,86.12,71.83,92.12
Canada,CAN,2005,86.03,20,84.63,12,94.44,52.63,86.16,83.04,79.07,95.48,94.69,94.64,89.02,93.46,87.69,81.17,80.62,92.75,85.56,81.01,91.74,75.00,95.31,86.12,71.56,91.66
Canada,CAN,2004,86.82,19,84.33,13,94.44,52.63,84.94,93.34,81.34,95.53,94.69,94.64,89.02,93.47,87.14,82.14,80.62,92.75,85.66,80.30,91.19,75.00,95.12,86.12,71.29,91.33
Canada,CAN,2003,87.32,17,84.22,12,94.44,52.63,85.75,94.07,81.72,95.58,94.69,94.64,88.08,93.25,88.82,85.71,80.62,92.75,86.97,79.77,90.90,75.93,94.94,86.12,71.01,90.87
Canada,CAN,2002,87.53,17,83.99,12,94.44,52.63,85.07,94.07,81.55,95.58,94.69,94.64,88.08,93.25,88.76,89.05,80.62,92.75,87.79,79.26,90.43,75.93,94.76,86.12,70.72,90.67
Canada,CAN,2001,87.74,14,83.88,11,94.44,52.63,87.11,94.38,82.14,95.58,94.69,95.16,88.08,93.38,89.40,88.03,80.62,92.75,87.70,78.85,90.15,75.93,94.78,86.12,70.42,90.87
Canada,CAN,2000,87.87,15,83.72,12,94.44,52.63,88.06,94.48,82.41,95.35,94.69,95.88,88.08,93.50,89.40,88.03,80.62,92.75,87.70,78.80,89.77,75.93,94.62,86.12,69.88,90.93
Canada,CAN,1999,86.61,19,83.13,12,94.44,52.63,88.06,83.66,79.70,95.32,94.69,95.88,88.08,93.49,89.52,83.64,80.62,92.75,86.63,78.10,89.30,76.17,94.38,86.12,69.27,88.57
Canada,CAN,1998,86.61,17,82.87,12,94.44,52.63,88.06,83.66,79.70,95.32,94.69,95.88,88.08,93.49,89.52,83.64,80.62,92.75,86.63,77.54,88.84,76.17,94.13,86.12,68.71,88.57
Canada,CAN,1997,86.97,16,83.39,9,94.44,52.63,88.06,83.66,79.70,95.38,94.69,95.88,88.08,93.51,88.10,89.38,80.62,92.75,87.71,77.20,88.46,79.91,94.02,86.12,69.62,88.44
Canada,CAN,1996,86.93,16,83.41,9,94.44,52.63,88.06,83.66,79.70,95.45,94.15,95.88,88.08,93.39,88.10,89.38,80.62,92.75,87.71,77.20,87.99,79.91,93.91,86.12,70.48,88.30
Canada,CAN,1995,87.16,16,83.19,9,94.44,52.63,91.18,83.66,80.48,95.45,94.15,95.47,88.08,93.29,88.10,89.38,80.62,92.75,87.71,77.20,87.71,79.91,93.75,86.12,69.38,88.30
