Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Switzerland,CHE,2022,92.09,4,88.83,10,94.44,89.47,96.47,79.40,89.95,97.63,94.72,99.28,92.44,96.02,90.60,87.30,89.53,93.82,90.31,90.39,97.17,76.40,95.19,82.19,80.73,99.74
Switzerland,CHE,2021,91.63,5,88.83,10,88.89,89.47,96.47,79.40,88.56,97.63,94.72,99.28,92.44,96.02,90.60,87.30,89.53,93.82,90.31,90.39,97.17,76.40,95.19,82.19,80.73,99.74
Switzerland,CHE,2020,91.80,5,88.74,9,88.89,89.47,96.47,79.40,88.56,97.63,92.88,99.49,94.20,96.05,91.37,88.52,89.53,93.82,90.81,89.87,97.17,76.40,95.19,82.19,80.73,99.61
Switzerland,CHE,2019,92.40,5,89.01,8,88.89,89.47,95.66,82.10,89.03,97.81,95.74,99.49,95.44,97.12,89.59,91.22,89.53,93.82,91.04,90.43,98.67,76.40,95.19,82.19,80.73,99.47
Switzerland,CHE,2018,92.54,5,88.85,8,88.89,89.47,95.66,82.41,89.11,97.86,95.74,99.49,95.44,97.13,90.75,91.39,89.53,93.82,91.37,90.34,98.39,76.40,95.30,82.19,79.95,99.34
Switzerland,CHE,2017,92.49,5,88.77,10,88.89,89.47,96.61,82.41,89.35,97.86,95.74,99.49,95.44,97.13,90.73,89.84,89.53,93.82,90.98,89.96,98.01,77.34,95.46,82.19,79.15,99.28
Switzerland,CHE,2016,92.26,6,88.48,10,88.89,89.47,97.15,81.37,89.22,97.58,95.74,99.49,93.06,96.47,90.20,90.84,89.53,93.82,91.10,89.84,98.11,76.64,94.80,82.19,78.38,99.41
Switzerland,CHE,2015,92.44,6,88.36,10,88.89,89.47,97.42,80.65,89.11,97.91,95.74,99.49,93.06,96.55,91.85,91.51,89.53,93.82,91.68,89.68,96.79,78.27,93.85,82.19,78.37,99.41
Switzerland,CHE,2014,92.45,5,88.20,10,88.89,89.47,95.93,80.02,88.58,97.97,95.41,99.38,93.06,96.45,93.15,92.79,89.53,93.82,92.32,89.58,97.35,77.80,93.40,82.19,77.43,99.61
Switzerland,CHE,2013,91.47,8,87.80,9,88.89,84.21,95.12,77.63,86.46,97.97,95.41,99.38,93.06,96.45,89.93,92.76,89.53,93.82,91.51,89.37,96.61,77.80,92.97,82.19,76.27,99.41
Switzerland,CHE,2012,91.41,8,87.81,9,88.89,84.21,95.25,77.73,86.52,97.97,95.35,99.38,93.06,96.44,90.76,93.11,89.53,91.63,91.26,89.25,96.42,79.91,92.63,82.19,74.84,99.41
Switzerland,CHE,2011,91.14,9,87.64,9,88.89,84.21,96.47,77.52,86.77,97.63,95.35,99.38,93.06,96.36,89.30,90.72,89.53,91.63,90.29,89.22,96.42,79.67,92.43,82.19,73.96,99.61
Switzerland,CHE,2010,91.23,8,87.01,9,88.89,84.21,96.61,78.88,87.15,97.56,95.35,99.38,93.06,96.34,89.79,89.87,89.53,91.63,90.21,89.08,95.58,77.57,92.09,82.19,73.44,99.15
Switzerland,CHE,2009,90.43,9,87.11,8,88.89,73.68,96.07,78.67,84.33,97.56,95.35,99.38,93.06,96.34,90.51,90.87,89.53,91.63,90.63,88.69,95.20,76.87,91.83,85.65,72.71,98.82
Switzerland,CHE,2008,90.44,8,87.72,7,88.89,73.68,97.29,77.84,84.42,97.56,95.35,99.38,93.06,96.34,91.90,89.14,89.53,91.63,90.55,89.29,95.10,74.77,91.77,94.26,69.46,99.41
Switzerland,CHE,2007,90.68,7,86.95,8,88.89,73.68,98.91,78.56,85.01,97.43,95.35,99.38,93.06,96.30,92.35,89.39,89.53,91.63,90.72,89.03,94.64,73.60,91.55,94.26,66.37,99.21
Switzerland,CHE,2006,90.68,7,86.40,8,88.89,73.68,98.51,78.56,84.91,97.40,95.35,99.38,93.06,96.30,92.11,90.07,89.53,91.63,90.83,88.49,94.17,74.53,91.36,94.26,63.34,98.69
Switzerland,CHE,2005,89.39,11,86.45,8,77.78,73.68,98.51,78.77,82.19,97.40,95.35,99.38,93.06,96.30,88.92,88.62,89.53,91.63,89.68,87.89,93.69,79.67,91.03,94.26,60.19,98.42
Switzerland,CHE,2004,90.70,9,86.16,8,77.78,73.68,96.88,92.61,85.24,97.40,95.35,99.38,93.06,96.30,91.84,89.24,89.53,91.63,90.56,87.49,93.42,79.67,90.51,94.26,59.56,98.23
Switzerland,CHE,2003,90.68,9,85.66,8,77.78,73.68,96.20,96.57,86.06,97.33,95.35,99.38,93.06,96.28,87.99,89.62,89.53,91.63,89.69,87.12,92.39,79.67,89.74,94.26,58.55,97.90
Switzerland,CHE,2002,91.24,8,85.38,8,77.78,73.68,95.66,97.40,86.13,97.30,95.35,99.38,91.09,95.78,90.41,95.62,89.53,91.63,91.80,87.26,92.10,79.67,89.23,94.26,57.40,97.77
Switzerland,CHE,2001,91.25,8,84.77,9,77.78,73.68,97.01,96.57,86.26,97.30,94.16,99.38,91.09,95.48,90.49,96.36,89.53,91.63,92.00,87.40,91.72,75.70,88.83,94.26,57.61,97.90
Switzerland,CHE,2000,91.59,7,84.40,9,77.78,73.68,99.19,98.44,87.27,97.30,94.16,99.38,91.09,95.48,90.49,96.36,89.53,91.63,92.00,87.23,90.79,75.70,87.96,94.26,56.92,97.96
Switzerland,CHE,1999,90.41,8,84.23,9,77.78,73.68,97.96,88.76,84.55,97.40,94.16,99.38,91.09,95.51,90.02,93.54,89.53,91.63,91.18,86.63,90.60,75.70,87.23,94.26,56.35,98.82
Switzerland,CHE,1998,90.41,7,83.31,11,77.78,73.68,97.96,88.76,84.55,97.43,94.16,99.38,91.09,95.52,90.02,93.54,89.53,91.63,91.18,86.40,90.12,75.70,86.49,89.71,55.90,98.82
Switzerland,CHE,1997,90.25,7,82.91,12,77.78,73.68,97.96,88.76,84.55,97.43,94.16,99.38,91.09,95.52,87.75,93.89,89.53,91.63,90.70,85.91,89.67,75.70,85.82,89.71,54.87,98.69
Switzerland,CHE,1996,92.01,6,82.58,12,77.78,94.74,97.96,88.76,89.81,97.43,94.16,99.38,91.09,95.52,87.75,93.89,89.53,91.63,90.70,85.55,89.33,75.70,85.24,89.71,53.85,98.69
Switzerland,CHE,1995,91.42,7,82.24,12,70.83,94.74,97.96,88.76,88.07,97.33,94.16,99.38,91.09,95.49,87.75,93.89,89.53,91.63,90.70,85.54,88.43,75.70,84.47,89.71,53.14,98.69
