Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Chile,CHL,2022,81.49,30,77.07,38,81.94,73.68,68.52,76.69,75.21,95.64,89.54,94.03,99.07,94.57,64.68,65.66,77.73,90.66,74.68,72.22,92.00,48.83,89.36,88.38,64.43,84.23
Chile,CHL,2021,81.49,29,77.07,38,81.94,73.68,68.52,76.69,75.21,95.64,89.54,94.03,99.07,94.57,64.68,65.66,77.73,90.66,74.68,72.22,92.00,48.83,89.36,88.38,64.43,84.23
Chile,CHL,2020,82.37,29,76.76,38,81.94,89.47,68.52,76.69,79.16,95.28,86.02,93.72,99.07,93.52,67.55,65.79,75.67,88.74,74.44,70.32,92.00,48.83,89.36,88.42,64.43,83.97
Chile,CHL,2019,83.25,29,77.13,38,81.94,89.47,67.71,84.91,81.01,94.31,92.41,93.10,99.27,94.78,67.69,64.55,75.67,88.00,73.98,71.59,91.72,50.00,89.36,88.83,64.43,83.97
Chile,CHL,2018,85.08,23,77.25,38,81.94,89.47,68.52,85.02,81.24,95.87,93.02,97.22,99.07,96.30,67.94,73.04,81.19,88.66,77.71,71.66,91.46,50.00,89.86,88.83,62.84,86.07
Chile,CHL,2017,85.89,21,76.96,38,81.94,89.47,68.79,85.85,81.51,97.15,97.40,97.94,99.07,97.89,67.46,72.84,81.19,91.53,78.25,71.21,91.22,50.00,90.13,88.83,61.31,86.01
Chile,CHL,2016,85.93,21,76.76,37,81.94,89.47,69.47,85.54,81.61,97.15,97.40,97.94,98.76,97.81,67.96,72.76,81.19,91.53,78.36,71.22,90.97,50.00,90.04,88.83,60.22,86.07
Chile,CHL,2015,86.63,21,76.56,37,81.94,94.74,69.88,85.12,82.92,97.15,97.40,98.04,98.76,97.84,70.64,73.17,81.19,91.53,79.13,71.15,90.72,50.00,89.54,88.83,59.04,86.66
Chile,CHL,2014,87.51,18,76.00,38,81.94,94.74,70.83,87.72,83.81,98.01,99.29,98.25,98.76,98.58,74.11,73.45,81.19,91.83,80.15,70.98,90.46,46.73,89.68,88.83,57.90,87.39
Chile,CHL,2013,86.47,19,75.81,37,81.94,89.47,70.56,82.93,81.23,97.98,99.51,98.25,98.03,98.44,76.09,71.76,81.19,89.94,79.75,70.85,90.17,46.73,89.83,88.83,56.69,87.58
Chile,CHL,2012,85.31,21,75.00,40,76.39,84.21,70.96,83.04,78.65,97.33,96.79,98.04,99.27,97.86,76.81,71.10,81.19,88.53,79.41,70.44,89.85,46.26,90.13,87.68,53.01,87.65
Chile,CHL,2011,85.57,22,74.59,41,76.39,84.21,70.83,84.91,79.08,97.33,96.79,98.04,99.27,97.86,75.79,73.55,81.19,88.53,79.77,69.53,89.49,46.26,90.32,87.68,51.36,87.52
Chile,CHL,2010,86.04,20,74.06,42,76.39,84.21,71.23,86.16,79.50,97.02,96.79,97.94,99.27,97.76,75.44,78.15,81.19,88.69,80.87,68.63,89.11,43.93,90.35,87.68,52.25,86.47
Chile,CHL,2009,85.55,22,73.74,42,76.39,84.21,72.18,87.10,79.97,97.15,96.79,98.15,99.27,97.84,73.85,76.59,75.00,89.86,78.82,67.79,88.69,43.93,90.63,87.68,52.15,85.28
Chile,CHL,2008,85.60,21,73.94,41,76.39,84.21,72.18,91.68,81.11,97.51,96.79,98.15,99.27,97.93,73.03,73.14,75.00,89.86,77.75,68.18,88.27,43.22,90.95,87.68,52.79,86.47
Chile,CHL,2007,84.45,23,73.41,41,76.39,73.68,71.37,91.57,78.25,97.51,96.79,98.15,99.27,97.93,74.63,72.62,71.51,89.86,77.15,67.71,87.84,43.22,90.69,87.68,50.68,86.07
Chile,CHL,2006,83.91,24,72.96,41,70.83,73.68,69.74,90.74,76.25,97.51,96.79,98.04,98.65,97.75,72.79,76.80,71.51,89.86,77.74,66.99,87.40,43.22,90.73,87.68,49.09,85.61
Chile,CHL,2005,84.14,22,71.20,45,70.83,73.68,67.71,89.39,75.40,96.92,96.79,98.04,98.45,97.55,75.10,81.45,71.51,89.86,79.48,66.12,86.96,33.41,90.56,87.68,49.07,84.63
Chile,CHL,2004,82.90,24,70.68,47,70.83,73.68,62.96,91.26,74.68,97.05,96.79,98.04,95.13,96.75,73.48,78.39,71.51,85.71,77.27,65.29,86.52,33.41,90.27,87.68,47.70,83.90
Chile,CHL,2003,83.08,24,70.03,44,70.83,73.68,64.18,92.51,75.30,97.05,96.79,98.04,95.13,96.75,71.71,79.81,71.51,85.71,77.19,64.31,86.06,33.41,90.11,87.68,45.84,82.79
Chile,CHL,2002,83.81,23,69.18,45,70.83,73.68,64.31,91.26,75.02,97.05,96.79,98.04,95.13,96.75,74.98,86.44,71.51,85.71,79.66,63.67,85.59,30.37,90.05,87.68,44.45,82.46
Chile,CHL,2001,82.65,24,68.80,44,70.83,73.68,63.50,90.32,74.59,97.05,96.79,98.15,95.13,96.78,74.93,74.22,71.51,85.71,76.60,63.29,85.10,30.37,89.68,87.68,43.28,82.19
Chile,CHL,2000,81.26,29,68.51,44,70.83,73.68,62.42,74.71,70.41,97.05,96.79,98.15,95.13,96.78,74.93,74.22,71.51,85.71,76.60,62.94,84.60,30.37,89.66,87.68,42.12,82.19
Chile,CHL,1999,80.41,30,67.35,47,70.83,73.68,62.42,78.88,71.45,95.52,97.51,96.70,95.13,96.22,73.10,65.07,71.51,84.60,73.57,62.27,84.09,24.07,89.08,87.68,41.19,83.05
Chile,CHL,1998,80.46,30,65.59,55,70.83,73.68,62.42,78.88,71.45,96.12,97.51,96.70,95.13,96.37,73.10,65.07,71.51,84.60,73.57,62.55,83.57,24.07,88.98,77.92,39.38,82.65
Chile,CHL,1997,81.90,25,65.45,52,70.83,73.68,62.42,78.88,71.45,96.14,97.51,96.70,95.13,96.37,77.36,78.09,71.51,84.60,77.89,62.04,83.04,25.47,88.88,77.92,38.54,82.26
