Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
China,CHN,2022,36.68,154,61.43,107,73.61,21.05,47.35,68.26,52.57,26.42,30.22,5.25,10.78,18.17,56.26,54.64,28.37,17.97,39.31,65.32,85.97,64.49,54.53,29.01,37.78,92.90
China,CHN,2021,36.68,153,61.43,107,73.61,21.05,47.35,68.26,52.57,26.42,30.22,5.25,10.78,18.17,56.26,54.64,28.37,17.97,39.31,65.32,85.97,64.49,54.53,29.01,37.78,92.90
China,CHN,2020,36.56,153,61.19,109,73.61,21.05,47.35,68.26,52.57,25.90,31.87,5.15,8.29,17.80,53.43,57.72,28.37,17.65,39.29,63.93,85.97,64.49,54.53,28.97,37.78,92.64
China,CHN,2019,37.49,152,61.05,109,73.61,26.32,47.76,69.82,54.38,25.90,33.48,4.53,8.29,18.05,49.50,59.20,32.35,19.10,40.04,63.57,85.62,64.49,54.53,28.97,37.78,92.38
China,CHN,2018,37.75,150,61.07,109,73.61,26.32,48.03,68.57,54.13,25.90,36.03,5.66,8.29,18.97,49.34,58.32,32.35,20.63,40.16,62.59,85.23,63.79,54.88,28.97,36.73,95.34
China,CHN,2017,37.60,150,60.43,110,73.61,21.05,48.03,67.85,52.64,25.90,38.86,6.69,8.08,19.88,48.48,59.71,32.35,20.59,40.28,61.50,84.80,62.38,54.35,28.97,35.87,95.14
China,CHN,2016,38.08,150,61.37,106,73.61,31.58,48.44,66.18,54.95,26.24,39.03,7.72,8.19,20.29,48.12,54.28,33.32,20.27,39.00,60.40,84.31,63.79,53.66,37.45,34.83,95.14
China,CHN,2015,37.69,151,61.06,108,73.61,26.32,49.12,65.45,53.62,26.24,39.68,8.65,8.19,20.69,48.38,53.25,33.32,20.02,38.74,59.31,83.79,63.55,53.58,38.49,33.80,94.88
China,CHN,2014,37.83,151,60.89,106,73.61,31.58,47.49,66.39,54.77,26.39,35.06,10.50,8.19,20.04,46.72,53.81,33.32,20.86,38.68,58.19,83.23,62.15,53.46,41.28,32.81,95.07
China,CHN,2013,37.25,156,60.20,108,73.61,26.32,47.63,65.87,53.36,26.52,37.19,11.64,7.67,20.76,42.76,53.38,33.74,20.72,37.65,57.01,82.65,60.98,53.23,41.28,31.84,94.42
China,CHN,2012,37.99,155,58.39,114,73.61,26.32,48.71,65.56,53.55,27.25,38.99,15.14,7.77,22.29,42.02,53.48,35.03,21.98,38.13,55.78,82.08,55.14,52.77,38.09,30.88,93.96
China,CHN,2011,37.77,154,57.95,114,73.61,26.32,49.53,64.72,53.54,27.25,38.29,15.24,7.88,22.16,41.87,52.20,34.43,21.85,37.59,54.54,81.51,54.67,52.03,39.07,29.94,93.89
China,CHN,2010,37.53,154,56.99,113,73.61,21.05,51.02,65.45,52.78,27.25,39.18,15.55,8.60,22.64,41.32,51.09,34.43,21.79,37.16,53.00,80.95,51.64,51.93,39.07,29.01,93.36
China,CHN,2009,38.81,153,57.19,112,73.61,31.58,51.83,65.66,55.67,27.25,39.13,15.55,7.67,22.40,41.93,55.25,34.43,21.79,38.35,51.26,80.41,53.27,52.48,42.13,28.20,92.58
China,CHN,2008,38.99,149,56.79,111,73.61,31.58,52.51,65.56,55.81,27.25,40.17,15.45,7.67,22.63,42.58,54.41,35.11,22.03,38.53,49.73,79.88,53.27,52.75,42.13,27.29,92.44
China,CHN,2007,38.87,150,56.97,109,73.61,31.58,51.83,65.45,55.62,27.25,40.17,15.65,7.67,22.69,41.77,54.26,35.11,22.03,38.29,48.16,79.35,58.18,52.86,42.13,26.33,91.79
China,CHN,2006,38.38,150,56.16,109,73.61,31.58,48.17,64.93,54.57,27.25,40.17,15.04,7.88,22.58,41.37,53.46,35.11,22.03,37.99,45.86,78.83,58.18,51.84,42.13,25.24,91.06
