Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Cote d'Ivoire,CIV,2022,55.79,105,55.64,131,80.56,78.95,38.40,54.53,63.11,80.89,70.75,70.55,12.75,58.73,35.82,43.52,51.73,51.07,45.54,44.05,50.52,66.82,69.78,82.82,19.00,56.50
Cote d'Ivoire,CIV,2021,55.79,105,55.64,132,80.56,78.95,38.40,54.53,63.11,80.89,70.75,70.55,12.75,58.73,35.82,43.52,51.73,51.07,45.54,44.05,50.52,66.82,69.78,82.82,19.00,56.50
Cote d'Ivoire,CIV,2020,55.79,106,55.36,131,80.56,78.95,38.40,54.53,63.11,80.89,70.75,70.55,12.75,58.73,35.82,43.52,51.73,51.07,45.54,43.28,50.52,66.82,69.78,82.82,19.00,55.32
Cote d'Ivoire,CIV,2019,60.09,98,55.35,131,69.44,78.95,38.53,56.71,60.91,81.91,77.97,78.89,42.38,70.29,35.45,43.62,60.88,56.31,49.06,43.39,49.92,66.82,69.78,82.82,18.64,56.11
Cote d'Ivoire,CIV,2018,61.32,94,54.75,134,76.39,78.95,36.77,56.82,62.23,82.56,78.64,79.92,42.80,70.98,34.91,46.20,60.88,60.98,50.74,42.76,49.25,66.82,68.45,82.82,17.82,55.32
Cote d'Ivoire,CIV,2017,60.78,91,52.71,147,76.39,78.95,33.65,57.44,61.61,81.81,77.97,80.02,48.70,72.13,32.98,42.32,57.97,61.21,48.62,42.02,48.49,56.78,67.46,82.82,17.00,54.40
Cote d'Ivoire,CIV,2016,62.31,86,51.88,149,76.39,73.68,37.04,54.94,60.51,81.19,82.49,81.36,52.02,74.27,33.72,46.02,63.79,65.12,52.16,41.20,47.65,56.78,65.49,81.69,15.84,54.53
Cote d'Ivoire,CIV,2015,61.19,92,51.95,147,76.39,57.89,37.04,55.36,56.67,78.18,83.18,79.51,52.44,73.33,34.63,47.54,66.97,65.12,53.57,40.40,46.71,56.78,62.96,87.81,14.52,54.47
Cote d'Ivoire,CIV,2014,60.26,95,50.92,152,76.39,52.63,37.31,55.46,55.45,77.60,82.05,79.92,52.44,73.00,33.43,43.39,66.97,65.57,52.34,39.61,45.67,52.80,62.00,87.81,13.45,55.06
Cote d'Ivoire,CIV,2013,57.94,100,50.23,150,62.50,42.11,33.79,61.91,50.08,77.73,82.30,78.58,52.23,72.71,28.95,43.16,66.97,65.09,51.04,38.44,44.55,52.80,61.03,87.81,13.60,53.35
Cote d'Ivoire,CIV,2012,54.70,108,49.00,152,62.50,36.84,23.61,61.71,46.16,78.33,73.22,79.30,50.36,70.30,26.06,38.81,56.98,68.62,47.62,37.05,43.36,52.80,60.81,82.99,13.73,52.23
Cote d'Ivoire,CIV,2011,52.68,116,48.58,151,62.50,36.84,16.69,61.60,44.41,75.51,67.83,76.42,50.36,67.53,23.19,35.93,56.98,68.28,46.10,36.16,42.15,52.80,60.24,82.99,13.86,51.84
Cote d'Ivoire,CIV,2010,51.45,116,48.48,150,62.50,36.84,15.06,61.60,44.00,74.19,67.46,81.77,48.50,67.98,20.36,32.32,53.89,62.90,42.37,37.59,40.92,52.80,59.17,82.99,13.97,51.91
Cote d'Ivoire,CIV,2009,52.92,110,48.38,149,62.50,42.11,15.20,62.85,45.66,74.06,69.26,82.80,47.98,68.53,22.76,37.65,54.98,62.90,44.57,36.82,39.71,52.80,58.14,85.96,14.08,51.18
Cote d'Ivoire,CIV,2008,52.08,114,47.99,148,62.50,42.11,15.47,61.91,45.50,74.06,69.43,83.42,48.70,68.90,21.42,27.87,54.98,63.10,41.84,36.59,38.53,52.80,57.06,85.96,14.17,50.79
Cote d'Ivoire,CIV,2007,52.04,113,47.96,144,62.50,42.11,15.60,61.19,45.35,74.06,70.04,83.01,48.70,68.95,22.05,27.15,54.98,63.10,41.82,36.15,37.43,57.24,55.65,85.96,14.25,49.01
Cote d'Ivoire,CIV,2006,52.86,108,47.54,144,62.50,52.63,16.55,61.39,48.27,74.06,69.64,82.70,48.70,68.78,21.36,26.70,54.98,63.10,41.53,36.35,36.44,57.24,54.21,85.96,14.32,48.23
Cote d'Ivoire,CIV,2005,51.65,114,47.23,143,62.50,52.63,14.38,61.50,47.75,74.06,69.05,82.18,47.77,68.27,18.95,18.64,54.98,63.10,38.92,36.24,35.62,57.24,53.52,85.96,14.38,47.63
Cote d'Ivoire,CIV,2004,51.39,114,46.91,141,62.50,52.63,9.23,58.48,45.71,73.80,66.12,86.71,47.77,68.60,19.78,21.57,54.98,63.10,39.86,36.44,35.00,57.24,52.43,85.96,14.42,46.91
Cote d'Ivoire,CIV,2003,52.24,109,46.56,139,62.50,52.63,9.36,58.38,45.72,73.80,67.40,85.79,47.77,68.69,23.92,27.88,54.98,62.45,42.31,36.25,34.59,57.24,51.59,85.96,14.46,45.80
Cote d'Ivoire,CIV,2002,52.42,109,46.59,136,62.50,52.63,9.36,58.79,45.82,73.80,66.52,86.71,47.77,68.70,28.21,25.52,54.98,62.20,42.73,37.50,34.41,57.24,50.63,85.96,14.48,45.93
Cote d'Ivoire,CIV,2001,51.21,117,47.25,134,62.50,52.63,9.91,58.79,45.96,74.40,66.99,88.47,16.37,61.56,27.81,39.27,54.98,62.39,46.11,38.40,34.45,62.62,49.79,85.96,14.50,45.01
Cote d'Ivoire,CIV,2000,52.27,111,47.24,132,62.50,52.63,8.14,57.54,45.20,55.98,69.00,87.85,49.12,65.49,27.81,39.27,54.98,62.39,46.11,39.23,34.71,62.62,48.89,85.96,14.50,44.81
Cote d'Ivoire,CIV,1999,53.19,102,46.55,136,62.50,52.63,8.14,55.98,44.81,47.47,70.49,78.68,49.12,61.44,38.95,60.27,52.97,61.08,53.32,39.74,35.19,62.62,48.25,77.19,14.49,48.36
Cote d'Ivoire,CIV,1998,53.82,99,46.52,134,62.50,52.63,8.14,55.98,44.81,72.76,73.14,79.40,25.70,62.75,38.95,60.27,55.42,60.95,53.90,40.04,35.84,62.62,47.40,77.19,14.48,48.09
