Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Cameroon,CMR,2022,39.44,146,55.95,129,48.61,31.58,15.33,52.76,37.07,68.97,51.80,56.95,13.99,47.93,25.56,35.91,43.93,27.88,33.32,37.21,53.36,44.86,73.79,84.17,27.96,70.30
Cameroon,CMR,2021,39.44,146,55.95,130,48.61,31.58,15.33,52.76,37.07,68.97,51.80,56.95,13.99,47.93,25.56,35.91,43.93,27.88,33.32,37.21,53.36,44.86,73.79,84.17,27.96,70.30
Cameroon,CMR,2020,38.75,148,55.20,133,48.61,31.58,15.33,52.76,37.07,69.07,50.21,54.58,15.03,47.22,25.06,34.01,43.93,24.85,31.96,37.05,53.36,44.86,73.79,80.67,27.96,68.73
Cameroon,CMR,2019,38.58,149,55.11,133,48.61,31.58,15.33,53.28,37.20,68.46,50.87,55.20,15.03,47.39,24.86,32.82,43.93,22.94,31.14,37.42,52.74,44.86,73.79,80.67,27.96,68.33
Cameroon,CMR,2018,38.65,148,54.69,135,48.61,26.32,16.01,53.28,36.05,70.32,48.72,55.30,16.68,47.76,25.51,35.96,44.49,22.54,32.13,37.27,52.04,44.86,73.12,78.57,26.95,70.04
Cameroon,CMR,2017,40.14,146,54.59,134,48.61,36.84,15.47,52.65,38.39,70.26,50.38,54.79,21.35,49.19,24.78,42.20,44.49,19.89,32.84,37.04,51.28,44.86,72.29,80.95,25.97,69.71
Cameroon,CMR,2016,41.90,144,53.79,137,48.61,42.11,16.01,52.03,39.69,72.01,56.94,55.41,20.93,51.32,25.76,42.89,45.29,24.80,34.68,36.89,50.44,44.86,70.82,78.62,25.03,69.84
Cameroon,CMR,2015,42.90,142,54.02,135,48.61,36.84,16.82,51.20,38.37,73.87,62.85,63.85,19.27,54.96,26.54,44.36,43.07,27.45,35.36,36.57,49.55,44.86,69.53,82.74,24.89,69.97
Cameroon,CMR,2014,43.34,141,53.66,136,48.61,36.84,20.35,53.80,39.90,73.87,63.30,64.26,19.27,55.18,25.25,42.95,43.07,28.50,34.94,36.06,48.61,44.86,68.21,82.74,23.62,71.48
Cameroon,CMR,2013,44.31,138,54.23,130,48.61,36.84,19.67,58.06,40.80,72.85,63.30,64.26,19.27,54.92,23.65,53.62,43.07,28.50,37.21,35.54,47.67,53.74,67.21,82.74,22.37,70.37
Cameroon,CMR,2012,44.93,136,54.28,129,48.61,36.84,19.27,58.79,40.88,72.52,65.09,68.28,24.66,57.64,23.23,52.48,43.07,26.37,36.29,35.15,46.73,53.74,66.53,86.81,21.16,69.84
Cameroon,CMR,2011,44.54,136,53.75,129,48.61,36.84,18.45,59.42,40.83,70.90,65.09,69.93,20.31,56.56,24.55,51.00,43.07,26.37,36.25,34.83,45.81,53.74,65.65,86.81,19.44,69.97
Cameroon,CMR,2010,44.59,134,53.22,129,48.61,36.84,19.13,60.15,41.18,70.59,65.09,69.93,20.31,56.48,25.51,49.47,43.07,26.37,36.11,34.73,44.91,53.74,64.80,86.81,18.20,69.32
Cameroon,CMR,2009,45.68,133,52.79,128,48.61,42.11,18.45,60.46,42.41,70.57,67.60,69.93,20.31,57.10,26.64,54.78,43.07,25.67,37.54,34.71,44.03,53.74,64.19,86.81,17.22,68.86
Cameroon,CMR,2008,45.96,131,52.64,127,48.61,52.63,18.86,58.06,44.54,70.57,65.28,69.93,20.31,56.52,26.76,53.21,41.67,25.67,36.83,34.74,43.14,53.74,63.51,86.81,16.08,70.43
Cameroon,CMR,2007,46.46,128,52.11,126,48.61,52.63,20.35,56.50,44.52,70.12,67.38,69.93,20.31,56.94,26.51,57.79,41.67,25.67,37.91,34.73,42.26,53.74,62.60,86.81,15.03,69.58
Cameroon,CMR,2006,46.35,128,51.62,126,48.61,52.63,19.40,57.44,44.52,69.37,67.61,69.93,20.31,56.80,24.60,59.44,41.67,25.21,37.73,34.46,41.39,55.37,61.22,86.81,13.42,68.66
Cameroon,CMR,2005,46.16,128,51.24,126,48.61,52.63,17.64,56.82,43.92,69.37,67.61,69.93,20.31,56.80,23.80,60.71,41.67,24.85,37.76,34.28,40.54,55.37,60.48,86.81,13.55,67.67
Cameroon,CMR,2004,46.19,127,50.89,125,48.61,52.63,17.91,56.09,43.81,68.75,64.23,69.93,26.63,57.38,25.90,57.12,41.67,24.85,37.38,34.37,39.72,55.37,59.67,86.81,13.29,67.02
Cameroon,CMR,2003,45.84,131,50.35,125,48.61,52.63,18.72,51.61,42.90,68.68,63.78,69.93,26.63,57.25,27.22,55.70,41.67,24.85,37.36,33.63,38.95,55.37,58.64,86.81,12.89,66.16
Cameroon,CMR,2002,45.12,131,49.91,124,48.61,52.63,18.72,51.61,42.90,68.40,63.78,69.93,26.63,57.18,23.86,50.68,41.67,24.85,35.27,33.16,38.26,55.37,57.90,86.81,12.34,65.51
Cameroon,CMR,2001,45.57,129,49.83,123,48.61,52.63,18.72,51.20,42.79,68.09,68.10,69.93,26.63,58.19,23.44,52.97,41.67,24.85,35.73,32.85,37.67,55.37,58.53,86.81,12.43,65.11
Cameroon,CMR,2000,45.46,128,48.57,128,48.61,52.63,19.00,50.16,42.60,68.09,67.55,69.93,26.63,58.05,23.44,52.97,41.67,24.85,35.73,32.56,37.25,50.00,57.85,86.81,10.18,65.37
Cameroon,CMR,1999,44.71,130,48.66,126,48.61,52.63,19.00,54.11,43.59,64.38,65.44,68.38,25.39,55.90,23.55,48.50,41.67,24.85,34.64,32.35,37.03,50.00,57.89,86.81,9.53,67.02
Cameroon,CMR,1998,44.71,127,48.53,125,48.61,52.63,19.00,54.11,43.59,64.38,65.44,68.38,25.39,55.90,23.55,48.50,41.67,24.85,34.64,32.03,37.04,50.00,57.66,86.81,9.41,66.75
Cameroon,CMR,1997,43.87,132,48.48,126,48.61,52.63,19.00,54.11,43.59,64.40,61.68,68.38,25.39,54.96,20.69,45.03,41.67,24.85,33.06,31.67,37.28,50.00,57.56,86.81,9.29,66.75
Cameroon,CMR,1996,44.25,130,48.44,125,48.61,52.63,19.00,54.11,43.59,65.13,65.56,68.38,25.39,56.12,20.69,45.03,41.67,24.85,33.06,31.34,37.70,50.00,57.44,86.81,9.15,66.62
Cameroon,CMR,1995,44.11,129,48.44,124,48.61,52.63,16.15,54.11,42.87,65.13,65.56,68.38,25.49,56.14,20.69,45.03,42.66,24.85,33.31,31.08,38.29,50.00,57.25,86.81,9.00,66.62
