Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Colombia,COL,2022,64.57,77,64.79,94,86.11,84.21,44.78,60.56,68.91,89.30,55.15,75.08,71.09,72.65,42.94,45.88,42.69,77.01,52.13,62.08,86.64,27.10,89.88,77.12,44.84,65.83
Colombia,COL,2021,64.10,77,64.79,94,80.56,84.21,44.78,60.56,67.53,89.30,55.15,75.08,71.09,72.65,42.94,45.88,42.69,77.01,52.13,62.08,86.64,27.10,89.88,77.12,44.84,65.83
Colombia,COL,2020,65.48,76,64.53,96,80.56,84.21,44.78,60.56,67.53,88.89,58.84,80.95,72.75,75.35,44.79,50.95,42.69,75.84,53.57,60.40,86.64,27.10,89.88,77.12,44.84,65.70
Colombia,COL,2019,66.88,68,65.92,86,80.56,84.21,44.78,68.37,69.48,88.55,59.45,86.20,79.69,78.47,44.67,45.17,45.57,75.41,52.70,61.91,86.32,33.88,89.88,80.19,43.93,65.31
Colombia,COL,2018,68.19,63,67.22,80,80.56,84.21,44.10,69.09,69.49,88.77,70.45,86.20,81.66,81.77,42.26,48.26,49.03,73.69,53.31,61.59,85.99,35.98,90.10,86.38,42.86,67.61
Colombia,COL,2017,68.61,63,68.05,69,73.61,84.21,43.28,68.37,67.37,88.49,75.19,90.22,81.76,83.91,41.22,48.75,52.10,76.16,54.56,61.41,85.65,37.62,90.33,91.73,42.17,67.48
Colombia,COL,2016,68.77,62,66.40,81,73.61,84.21,40.98,69.72,67.13,88.39,75.20,92.07,82.18,84.46,42.83,46.53,52.10,77.43,54.72,61.44,85.29,35.51,90.16,83.50,41.47,67.41
Colombia,COL,2015,68.37,63,66.11,82,73.61,84.21,41.11,70.45,67.35,89.03,73.62,91.56,83.83,84.51,42.62,42.75,52.10,75.60,53.27,61.31,84.91,34.58,90.05,83.50,40.21,68.20
Colombia,COL,2014,67.81,64,65.65,85,73.61,78.95,40.98,70.34,65.97,88.17,73.95,91.97,83.83,84.48,41.08,41.83,53.40,75.60,52.98,61.00,84.52,30.84,90.11,83.50,39.75,69.84
Colombia,COL,2013,67.38,64,66.46,75,73.61,73.68,40.57,75.65,65.88,87.66,73.35,91.97,82.28,83.81,42.55,38.23,53.40,75.60,52.45,60.39,84.12,30.84,89.86,91.17,39.12,69.71
