Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Comoros,COM,2022,43.73,136,50.55,158,59.72,47.37,26.19,65.14,49.60,66.75,49.93,70.96,3.42,47.77,13.96,59.79,41.97,19.62,33.83,33.37,62.50,47.90,68.90,58.88,20.80,61.50
Comoros,COM,2021,43.73,136,50.55,158,59.72,47.37,26.19,65.14,49.60,66.75,49.93,70.96,3.42,47.77,13.96,59.79,41.97,19.62,33.83,33.37,62.50,47.90,68.90,58.88,20.80,61.50
Comoros,COM,2020,44.27,136,50.32,158,59.72,47.37,26.19,65.14,49.60,67.30,53.98,70.24,3.42,48.73,16.84,58.91,40.57,21.55,34.47,33.34,62.50,47.90,68.90,58.89,20.80,59.92
Comoros,COM,2019,45.10,137,49.90,159,59.72,47.37,25.10,74.19,51.60,68.77,59.66,70.85,7.25,51.63,17.53,61.26,32.03,17.51,32.08,33.78,62.12,47.90,68.90,56.39,20.80,59.40
Comoros,COM,2018,47.03,131,49.45,161,59.72,47.37,25.10,74.19,51.60,74.42,59.66,72.40,6.63,53.28,20.29,57.38,37.07,30.10,36.21,33.87,61.74,47.90,68.34,56.39,20.19,57.69
Comoros,COM,2017,49.81,122,49.03,162,59.72,47.37,25.10,74.19,51.60,75.06,64.42,73.94,11.50,56.23,22.25,65.12,45.52,33.47,41.59,33.62,61.36,47.90,67.38,57.16,19.59,56.18
Comoros,COM,2016,53.54,117,48.80,161,59.72,42.11,25.10,74.19,50.28,75.13,66.58,76.21,59.48,69.35,22.39,65.12,41.63,34.83,40.99,33.36,60.96,47.90,66.66,57.16,19.10,56.44
Comoros,COM,2015,53.21,118,48.66,161,59.72,42.11,25.10,74.19,50.28,75.08,66.64,79.71,58.96,70.10,22.00,59.68,41.63,33.70,39.25,33.19,60.54,47.90,65.76,57.16,18.61,57.49
Comoros,COM,2014,53.76,115,48.36,160,59.72,36.84,25.10,74.19,48.96,79.03,66.48,79.71,63.42,72.16,22.50,60.61,41.63,35.94,40.17,33.40,60.06,47.90,65.04,53.40,18.14,60.58
Comoros,COM,2013,50.67,123,44.84,169,45.83,15.79,25.10,74.19,40.23,79.03,66.48,78.68,63.42,71.90,22.16,59.19,41.63,36.50,39.87,33.46,59.51,23.13,65.92,53.40,17.90,60.58
Comoros,COM,2012,48.80,124,44.44,168,45.83,15.79,25.10,74.19,40.23,75.40,60.60,78.68,51.61,66.57,21.67,55.23,43.30,38.18,39.60,33.11,58.90,23.13,65.13,53.40,17.40,59.99
Comoros,COM,2011,47.84,124,44.08,167,45.83,10.53,25.10,74.19,38.91,75.40,60.60,78.68,51.61,66.57,19.28,53.20,43.30,36.30,38.02,32.98,58.24,23.13,64.42,53.40,16.28,60.12
Comoros,COM,2010,47.80,123,43.50,167,45.83,10.53,25.10,74.19,38.91,74.40,60.60,78.68,51.61,66.32,20.09,52.99,43.30,36.30,38.17,32.68,57.53,23.13,64.18,53.40,15.19,58.41
Comoros,COM,2009,47.81,122,42.91,168,45.83,21.05,25.10,74.19,41.55,75.08,60.60,78.17,51.61,66.37,20.01,48.90,43.30,29.83,35.51,32.45,56.81,23.13,62.59,53.40,14.12,57.88
Comoros,COM,2008,47.33,125,42.43,168,45.83,21.05,25.10,74.19,41.55,73.99,60.60,77.34,51.61,65.89,20.23,41.97,43.30,32.75,34.56,32.31,56.10,23.13,60.67,53.40,13.08,58.34
Comoros,COM,2007,47.29,125,41.75,168,45.83,21.05,25.10,74.19,41.55,73.99,60.60,77.34,51.61,65.89,21.03,42.21,41.70,32.75,34.42,32.04,55.43,23.13,60.20,53.40,12.06,55.98
Comoros,COM,2006,48.64,123,41.63,166,45.83,21.05,25.10,74.19,41.55,73.76,60.58,77.14,51.61,65.77,22.62,57.10,41.70,33.00,38.60,32.33,54.82,23.13,60.73,53.40,11.07,55.91
Comoros,COM,2005,48.50,121,41.10,165,45.83,21.05,25.10,74.19,41.55,73.67,60.34,77.14,51.61,65.69,20.38,55.56,41.70,35.46,38.28,32.29,54.29,23.13,58.93,53.40,10.10,55.52
Comoros,COM,2004,49.10,118,40.78,164,45.83,21.05,25.10,74.19,41.55,74.23,57.73,77.14,51.61,65.18,23.70,61.09,41.70,35.77,40.57,32.21,53.88,23.13,58.17,53.40,9.16,55.52
Comoros,COM,2003,48.98,118,40.33,163,45.83,21.05,25.10,74.19,41.55,63.86,58.66,77.14,67.15,66.70,26.54,50.76,41.70,35.77,38.69,32.30,53.57,23.13,56.19,53.40,8.90,54.80
Comoros,COM,2002,50.35,115,38.57,162,45.83,21.05,25.10,74.19,41.55,60.22,58.66,77.14,63.01,64.76,31.47,72.53,41.70,33.26,44.74,32.35,53.34,23.13,53.88,46.08,8.47,52.76
Comoros,COM,2001,45.26,131,38.11,162,45.83,21.05,25.10,74.19,41.55,39.63,58.66,76.21,48.60,55.77,24.15,64.85,41.70,23.17,38.47,32.38,53.18,23.13,51.96,46.08,8.04,51.97
