Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Cape Verde,CPV,2022,78.71,36,62.39,104,76.39,84.21,66.62,74.61,75.46,92.01,92.37,90.63,89.53,91.13,59.29,82.66,57.41,78.80,69.54,47.08,78.63,54.67,74.75,91.86,27.35,
Cape Verde,CPV,2021,78.71,35,62.39,104,76.39,84.21,66.62,74.61,75.46,92.01,92.37,90.63,89.53,91.13,59.29,82.66,57.41,78.80,69.54,47.08,78.63,54.67,74.75,91.86,27.35,
Cape Verde,CPV,2020,79.37,37,62.22,104,76.39,84.21,66.62,74.61,75.46,91.18,92.37,92.17,91.30,91.76,59.27,82.36,57.41,84.51,70.89,46.06,78.63,54.67,74.75,91.83,27.35,
Cape Verde,CPV,2019,79.74,37,62.67,102,76.39,84.21,64.72,74.61,74.98,91.18,94.75,91.56,94.30,92.95,59.98,82.09,57.41,85.66,71.29,49.14,78.28,54.67,74.75,91.83,27.35,
Cape Verde,CPV,2018,79.92,36,62.32,102,76.39,84.21,64.45,79.60,76.16,90.95,94.75,91.35,94.30,92.84,59.66,81.52,57.41,84.48,70.77,48.35,77.91,54.67,73.95,91.83,27.21,
Cape Verde,CPV,2017,79.03,37,62.77,99,76.39,78.95,64.04,71.18,72.64,92.51,94.75,92.89,90.67,92.71,58.24,80.08,62.24,86.39,71.73,47.76,77.52,54.67,77.56,91.83,27.27,
Cape Verde,CPV,2016,78.95,38,62.56,101,76.39,73.68,64.99,71.28,71.59,92.56,94.03,92.89,90.67,92.54,58.29,82.34,62.24,88.02,72.72,47.32,77.10,54.67,77.44,91.83,27.00,
Cape Verde,CPV,2015,79.01,38,62.47,100,76.39,73.68,65.26,69.93,71.32,92.78,94.03,93.82,90.67,92.83,59.90,81.96,62.24,87.46,72.89,46.71,76.67,54.67,78.28,91.83,26.66,
Cape Verde,CPV,2014,78.33,40,60.32,108,76.39,73.68,65.67,69.82,71.39,92.70,94.08,93.92,90.67,92.84,58.50,71.49,65.58,87.46,70.76,46.75,76.24,43.46,79.10,89.57,26.79,
Cape Verde,CPV,2013,78.04,40,60.32,107,76.39,68.42,64.31,65.56,68.67,92.70,94.08,93.92,90.67,92.84,57.19,80.14,65.58,87.52,72.61,46.87,75.82,43.46,80.00,89.57,26.17,
Cape Verde,CPV,2012,77.59,41,60.10,108,76.39,68.42,64.04,64.93,68.45,92.21,94.08,92.89,90.67,92.46,57.69,80.77,61.12,87.89,71.87,46.95,75.42,43.46,80.68,89.57,24.53,
Cape Verde,CPV,2011,77.08,43,60.05,106,76.39,63.16,64.45,64.72,67.18,92.21,94.08,92.89,90.67,92.46,58.40,79.02,61.12,87.89,71.61,46.99,75.04,43.46,81.49,89.57,23.75,
Cape Verde,CPV,2010,76.97,44,59.82,105,76.39,63.16,63.91,64.31,66.94,91.78,94.08,92.89,90.67,92.35,56.01,81.42,61.12,87.89,71.61,46.51,74.70,43.46,82.09,89.57,22.59,
