Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Costa Rica,CRI,2022,82.96,26,72.17,57,76.39,73.68,68.25,81.17,74.87,98.22,93.79,97.94,96.37,96.58,55.33,82.06,76.85,95.45,77.42,68.72,92.25,38.55,93.61,86.28,51.14,74.64
Costa Rica,CRI,2021,82.96,27,72.17,57,76.39,73.68,68.25,81.17,74.87,98.22,93.79,97.94,96.37,96.58,55.33,82.06,76.85,95.45,77.42,68.72,92.25,38.55,93.61,86.28,51.14,74.64
Costa Rica,CRI,2020,82.49,28,71.94,57,69.44,73.68,68.25,81.17,73.14,98.45,93.79,97.84,96.37,96.61,57.21,80.00,76.85,96.86,77.73,67.56,92.25,38.55,93.61,86.33,51.14,74.11
Costa Rica,CRI,2019,81.25,33,71.92,57,62.50,73.68,64.72,84.18,71.27,97.91,93.79,98.04,96.37,96.53,58.33,73.55,76.00,95.91,75.95,68.47,91.91,41.12,93.61,83.58,50.90,73.85
Costa Rica,CRI,2018,80.81,35,72.81,54,62.50,73.68,64.72,84.08,71.25,97.91,88.83,97.84,96.37,95.24,56.95,73.90,76.00,96.98,75.96,68.21,91.56,41.59,93.72,88.04,48.55,77.99
Costa Rica,CRI,2017,81.68,32,72.42,53,62.50,73.68,65.13,85.85,71.79,97.91,95.83,98.35,96.37,97.11,54.83,76.72,76.00,96.98,76.13,67.93,91.22,40.89,93.93,88.04,47.49,77.46
Costa Rica,CRI,2016,82.09,31,72.03,55,62.50,73.68,65.67,85.85,71.93,97.91,96.26,98.97,95.75,97.22,58.31,77.78,76.00,96.39,77.12,67.38,90.90,39.95,93.78,88.04,46.29,77.86
Costa Rica,CRI,2015,82.00,31,71.47,56,62.50,73.68,64.31,85.74,71.56,97.91,95.92,99.07,95.75,97.16,58.64,78.20,76.00,96.27,77.28,66.83,90.57,40.65,94.07,84.88,45.84,77.46
Costa Rica,CRI,2014,81.72,31,71.35,54,62.50,73.68,64.86,83.77,71.20,97.88,96.03,99.28,95.75,97.24,59.00,76.08,76.60,95.23,76.73,66.38,90.26,40.19,94.38,84.88,46.35,77.00
Costa Rica,CRI,2013,81.74,30,70.73,55,62.50,73.68,64.86,86.89,71.98,97.86,95.58,99.38,94.92,96.93,58.30,78.12,72.72,96.08,76.31,65.95,89.96,38.79,94.52,84.88,44.33,76.68
