Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Cuba,CUB,2022,22.87,166,74.25,49,,10.53,,0.00,5.26,59.35,58.06,3.81,11.92,33.29,0.00,73.04,20.25,26.90,30.05,,89.32,,82.16,61.98,63.56,
Cuba,CUB,2021,26.59,166,74.28,49,,10.53,,0.00,5.26,59.35,58.06,3.81,11.92,33.29,44.71,73.04,20.25,26.90,41.23,,89.32,,82.16,62.07,63.56,
Cuba,CUB,2020,27.62,167,74.28,48,,10.53,,0.00,5.26,59.35,67.09,4.33,11.92,35.67,43.75,76.29,20.25,27.44,41.93,,89.32,,82.16,62.07,63.56,
Cuba,CUB,2019,28.24,166,74.20,48,,10.53,,0.00,5.26,59.35,67.51,6.49,11.92,36.32,45.67,76.60,22.78,27.50,43.14,,89.15,,82.16,62.07,63.42,
Cuba,CUB,2018,28.29,166,73.23,50,,10.53,,0.00,5.26,58.81,68.14,5.77,11.92,36.16,46.32,77.53,22.78,27.20,43.46,,89.01,,81.53,60.30,62.08,
Cuba,CUB,2017,27.99,166,73.59,47,,10.53,,0.00,5.26,57.94,71.37,3.60,7.36,35.07,48.12,77.49,22.78,26.13,43.63,,88.89,,81.52,63.39,60.54,
Cuba,CUB,2016,27.75,165,73.02,48,,10.53,,0.00,5.26,57.86,66.26,3.91,7.36,33.85,47.80,78.27,23.13,27.41,44.15,,88.79,,81.61,63.06,58.61,
Cuba,CUB,2015,25.69,165,71.67,55,,0.00,,0.00,0.00,57.86,68.99,2.99,7.36,34.30,47.98,77.43,18.76,26.89,42.77,,88.70,,81.09,59.19,57.71,
Cuba,CUB,2014,25.47,166,71.97,52,,0.00,,0.00,0.00,57.86,69.02,3.09,7.36,34.33,47.25,75.42,18.76,26.89,42.08,,88.62,,82.23,59.19,57.84,
Cuba,CUB,2013,24.85,166,72.01,51,,0.00,,0.00,0.00,57.81,68.54,3.19,7.36,34.22,43.80,71.89,18.76,26.89,40.34,,88.56,,83.14,59.19,57.17,
