Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Czech Republic,CZE,2022,82.29,28,83.84,24,100.00,73.68,73.41,84.08,82.79,94.13,91.64,91.25,91.92,92.23,65.73,83.78,54.51,83.35,71.84,80.01,88.08,94.63,79.25,80.74,73.62,90.54
Czech Republic,CZE,2021,82.29,28,83.84,24,100.00,73.68,73.41,84.08,82.79,94.13,91.64,91.25,91.92,92.23,65.73,83.78,54.51,83.35,71.84,80.01,88.08,94.63,79.25,80.74,73.62,90.54
Czech Republic,CZE,2020,82.74,27,83.64,22,100.00,84.21,73.41,84.08,85.42,93.88,91.81,93.82,86.84,91.59,63.40,83.06,54.51,83.85,71.21,79.42,88.08,94.63,79.25,80.74,73.62,89.75
Czech Republic,CZE,2019,84.17,26,84.11,20,100.00,84.21,72.73,87.72,86.16,93.88,96.44,95.16,85.08,92.64,63.18,83.50,65.91,82.21,73.70,80.54,89.95,94.63,79.25,80.74,73.62,90.01
Czech Republic,CZE,2018,84.07,27,83.70,22,94.44,84.21,72.86,87.93,84.86,94.58,95.89,95.26,83.01,92.18,63.26,85.29,69.23,82.88,75.16,80.08,89.57,95.33,79.23,79.51,73.47,88.70
Czech Republic,CZE,2017,84.11,25,83.56,22,94.44,84.21,71.78,88.55,84.75,95.60,95.64,95.98,82.69,92.48,64.79,84.64,69.23,81.80,75.12,79.57,89.48,95.56,79.77,76.19,75.72,88.63
Czech Republic,CZE,2016,84.84,25,84.13,19,94.44,84.21,72.05,87.51,84.55,95.83,95.64,96.60,88.70,94.19,64.40,84.16,69.23,85.31,75.78,78.71,89.57,94.39,79.43,82.51,75.63,88.63
Czech Republic,CZE,2015,85.03,25,84.03,19,94.44,84.21,71.37,87.41,84.36,95.83,96.74,96.60,88.70,94.47,63.56,84.22,71.19,86.10,76.27,78.29,88.73,93.22,78.59,85.26,75.38,88.70
Czech Republic,CZE,2014,85.07,25,84.66,19,94.44,84.21,69.34,89.59,84.40,95.83,98.11,96.60,88.70,94.81,62.55,84.44,71.19,85.88,76.01,77.38,89.19,93.22,78.26,91.16,74.67,88.76
Czech Republic,CZE,2013,83.24,27,84.25,19,94.44,73.68,67.57,81.69,79.35,97.13,98.11,96.91,87.67,94.95,59.89,86.36,69.14,86.34,75.43,77.00,87.98,91.82,76.97,93.86,73.80,88.30
