Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Djibouti,DJI,2022,45.81,133,53.69,144,58.33,63.16,32.97,72.32,56.70,62.91,43.94,41.81,12.64,40.33,29.89,50.07,45.43,36.22,40.40,44.00,68.04,56.54,81.92,61.53,10.08,
Djibouti,DJI,2021,45.81,133,53.69,145,58.33,63.16,32.97,72.32,56.70,62.91,43.94,41.81,12.64,40.33,29.89,50.07,45.43,36.22,40.40,44.00,68.04,56.54,81.92,61.53,10.08,
Djibouti,DJI,2020,48.09,127,53.60,144,58.33,84.21,32.97,72.32,61.96,62.65,43.94,41.81,12.64,40.26,31.21,55.18,45.43,36.37,42.05,43.50,68.04,56.54,81.92,61.53,10.08,
Djibouti,DJI,2019,48.17,127,53.49,144,58.33,84.21,32.29,72.32,61.79,62.96,44.42,42.64,12.64,40.66,29.14,57.28,45.43,36.37,42.06,43.55,67.33,56.54,81.92,61.53,10.08,
Djibouti,DJI,2018,47.87,126,53.07,147,58.33,84.21,32.29,72.32,61.79,62.91,43.50,42.43,10.57,39.85,29.02,61.61,45.43,31.87,41.98,42.85,66.34,56.54,81.74,61.53,9.39,
Djibouti,DJI,2017,46.25,132,52.68,148,58.33,84.21,32.29,72.32,61.79,62.01,42.30,38.41,10.57,38.32,28.72,49.47,45.43,30.87,38.62,42.29,65.06,56.54,81.55,61.53,9.12,
Djibouti,DJI,2016,45.94,131,51.28,154,58.33,73.68,32.29,72.32,59.16,61.62,49.19,36.25,10.57,39.41,28.98,51.71,45.43,30.87,39.25,41.62,63.51,50.70,81.17,61.53,9.12,
Djibouti,DJI,2015,46.25,130,50.73,153,58.33,73.68,32.29,72.32,59.16,61.52,49.19,36.25,10.57,39.38,29.12,55.41,45.43,30.87,40.21,40.68,61.78,50.70,80.67,61.53,8.99,
Djibouti,DJI,2014,45.32,134,50.20,153,58.33,68.42,32.29,72.32,57.84,61.52,49.19,36.25,10.57,39.38,29.79,48.80,45.43,30.87,38.72,39.67,59.98,50.70,80.43,61.53,8.87,
Djibouti,DJI,2013,46.50,127,49.63,153,58.33,68.42,32.29,72.32,57.84,61.26,49.19,36.25,10.57,39.32,30.68,62.32,45.43,30.87,42.33,38.76,58.24,50.70,79.80,61.53,8.74,
Djibouti,DJI,2012,46.99,129,48.92,153,58.33,68.42,32.29,72.32,57.84,61.46,49.19,36.77,10.57,39.50,30.56,67.64,45.43,30.87,43.63,38.76,56.66,48.36,79.59,61.53,8.61,
Djibouti,DJI,2011,46.71,129,50.61,144,58.33,63.16,32.29,72.32,56.53,61.39,49.19,36.77,10.57,39.48,32.14,67.99,45.43,30.87,44.11,38.76,55.30,60.28,79.33,61.53,8.43,
Djibouti,DJI,2010,46.81,128,50.24,145,58.33,63.16,32.29,72.32,56.53,61.13,49.19,36.77,10.57,39.42,32.10,69.52,45.43,30.87,44.48,38.76,54.17,60.28,78.97,61.53,7.74,
Djibouti,DJI,2009,46.58,130,49.94,143,58.33,52.63,32.29,72.32,53.89,61.40,49.19,38.21,10.57,39.84,33.25,74.40,45.43,30.87,45.99,38.76,53.24,60.28,78.77,61.53,7.06,
Djibouti,DJI,2008,46.31,130,49.65,143,58.33,52.63,32.29,72.32,53.89,61.55,49.97,37.80,10.57,39.97,34.15,69.83,45.43,30.87,45.07,38.76,52.42,60.28,78.25,61.53,6.65,
Djibouti,DJI,2007,45.49,132,49.36,140,58.33,52.63,32.29,72.32,53.89,61.68,49.97,38.31,10.57,40.13,31.57,61.89,45.43,30.87,42.44,38.76,51.67,60.28,77.85,61.53,6.08,
Djibouti,DJI,2006,44.55,134,49.09,137,51.39,52.63,32.29,72.32,52.16,61.68,49.97,38.31,10.57,40.13,30.01,59.08,45.43,30.87,41.35,38.76,50.96,60.28,77.64,61.53,5.39,
Djibouti,DJI,2005,43.67,134,48.88,133,51.39,52.63,32.29,72.32,52.16,61.80,49.97,38.31,10.57,40.16,30.52,47.95,45.43,30.87,38.69,38.76,50.31,60.28,77.36,61.53,5.02,
Djibouti,DJI,2004,45.06,133,48.59,132,51.39,52.63,32.29,72.32,52.16,63.13,49.97,39.13,10.57,40.70,35.60,57.42,45.43,30.87,42.33,38.76,49.73,60.28,76.74,61.53,4.49,
Djibouti,DJI,2003,43.72,137,48.40,131,51.39,52.63,32.29,72.32,52.16,63.10,49.97,37.80,10.57,40.36,32.33,45.91,45.43,30.87,38.64,38.76,49.25,60.28,76.55,61.53,4.02,
Djibouti,DJI,2002,45.19,129,48.05,132,51.39,52.63,32.29,72.32,52.16,62.51,50.86,43.36,10.57,41.82,32.00,58.05,45.43,30.87,41.59,38.76,48.90,60.28,75.29,61.53,3.56,
Djibouti,DJI,2001,45.44,130,47.73,133,51.39,52.63,32.29,72.32,52.16,62.51,58.89,38.00,10.57,42.49,30.48,59.51,45.80,30.90,41.67,38.76,48.64,60.28,73.95,61.53,3.24,
Djibouti,DJI,2000,45.36,129,47.40,131,51.39,52.63,32.29,72.32,52.16,62.51,58.89,36.97,10.57,42.24,30.48,59.51,45.80,30.90,41.67,38.76,48.50,60.28,72.72,61.53,2.64,
Djibouti,DJI,1999,44.04,132,47.22,132,51.39,52.63,32.29,72.32,52.16,62.62,58.89,35.74,10.57,41.95,30.51,44.87,45.80,30.90,38.02,38.76,48.44,60.28,71.71,61.53,2.58,
Djibouti,DJI,1998,43.99,131,47.07,131,51.39,52.63,32.29,72.32,52.16,62.59,58.89,35.12,10.57,41.79,30.51,44.87,45.80,30.90,38.02,38.76,48.45,60.28,70.92,61.53,2.46,
Djibouti,DJI,1997,44.75,128,46.96,129,51.39,52.63,32.29,72.32,52.16,61.90,58.89,35.12,10.78,41.67,29.64,57.52,45.80,28.71,40.42,38.76,48.50,60.28,70.35,61.53,2.34,
Djibouti,DJI,1996,44.75,129,46.74,129,51.39,52.63,32.29,72.32,52.16,61.88,58.89,35.12,10.78,41.67,29.64,57.52,45.80,28.71,40.42,38.76,48.55,60.28,69.16,61.53,2.15,
Djibouti,DJI,1995,44.75,128,46.58,129,51.39,52.63,32.29,72.32,52.16,61.88,58.89,35.12,10.78,41.67,29.64,57.52,45.80,28.71,40.42,38.76,48.58,60.28,68.30,61.53,2.06,
