Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Dominica,DMA,2022,57.16,100,52.18,152,51.39,73.68,,0.00,41.69,,,,,,52.68,92.58,,,72.63,56.68,,,,61.98,37.87,
Dominica,DMA,2021,57.16,100,52.18,152,51.39,73.68,,0.00,41.69,,,,,,52.68,92.58,,,72.63,56.68,,,,61.98,37.87,
Dominica,DMA,2020,56.99,104,59.42,118,51.39,73.68,,0.00,41.69,,,,,,52.73,91.83,,,72.28,55.58,,,82.25,61.98,37.87,
Dominica,DMA,2019,55.09,109,60.25,115,51.39,73.68,,0.00,41.69,,,,,,50.99,86.00,,,68.50,58.90,,,82.25,61.98,37.87,
Dominica,DMA,2018,56.10,108,60.06,115,51.39,78.95,,0.00,43.45,,,,,,50.94,86.59,,,68.76,57.98,,,82.71,61.98,37.58,
Dominica,DMA,2017,56.99,103,59.91,113,51.39,78.95,,0.00,43.45,,,,,,52.41,88.65,,,70.53,57.39,,,82.96,61.98,37.30,
Dominica,DMA,2016,56.88,102,60.04,113,51.39,78.95,,0.00,43.45,,,,,,55.94,84.69,,,70.31,58.67,,,82.52,61.98,37.01,
Dominica,DMA,2015,57.35,102,59.72,113,51.39,78.95,,0.00,43.45,,,,,,56.29,86.22,,,71.25,58.21,,,81.95,61.98,36.72,
Dominica,DMA,2014,56.43,102,59.81,111,51.39,73.68,,0.00,41.69,,,,,,56.55,85.80,,,71.17,58.73,,,82.11,61.98,36.44,
Dominica,DMA,2013,58.38,99,59.62,110,51.39,73.68,,0.00,41.69,,,,,,63.07,87.07,,,75.07,57.91,,,82.41,61.98,36.16,
Dominica,DMA,2012,55.82,105,59.69,109,51.39,63.16,,0.00,38.18,,,,,,62.67,84.25,,,73.46,58.11,,,82.78,61.98,35.88,
Dominica,DMA,2011,57.51,103,59.80,108,51.39,68.42,,0.00,39.94,,,,,,62.72,87.46,,,75.09,58.31,,,83.15,61.98,35.76,
Dominica,DMA,2010,56.34,101,59.85,104,51.39,68.42,,0.00,39.94,,,,,,62.81,82.68,,,72.75,58.36,,,83.36,61.98,35.69,
Dominica,DMA,2009,54.34,107,59.79,102,51.39,63.16,,0.00,38.18,,,,,,63.13,77.87,,,70.50,58.25,,,83.37,61.98,35.56,
Dominica,DMA,2008,55.43,107,59.77,103,51.39,63.16,,0.00,38.18,,,,,,62.52,82.86,,,72.69,58.46,,,83.23,61.98,35.43,
Dominica,DMA,2007,54.47,108,59.36,102,51.39,63.16,,0.00,38.18,,,,,,61.17,80.33,,,70.75,57.23,,,82.94,61.98,35.29,
Dominica,DMA,2006,54.98,103,59.02,100,51.39,63.16,,0.00,38.18,,,,,,60.72,82.81,,,71.77,56.14,,,82.81,61.98,35.16,
Dominica,DMA,2005,54.73,104,58.76,99,51.39,63.16,,0.00,38.18,,,,,,61.37,81.19,,,71.28,55.36,,,82.65,61.98,35.04,
Dominica,DMA,2004,55.50,100,58.55,99,51.39,63.16,,0.00,38.18,,,,,,62.09,83.53,,,72.81,55.29,,,82.00,61.98,34.92,
Dominica,DMA,2003,54.93,102,58.16,98,51.39,63.16,,0.00,38.18,,,,,,65.33,78.01,,,71.67,54.82,,,81.03,61.98,34.81,
Dominica,DMA,2002,54.28,100,57.71,99,51.39,63.16,,0.00,38.18,,,,,,65.30,75.48,,,70.39,53.78,,,80.38,61.98,34.69,
Dominica,DMA,2001,54.11,104,57.62,98,51.39,63.16,,0.00,38.18,,,,,,65.82,74.24,,,70.03,54.34,,,79.72,61.98,34.46,
Dominica,DMA,2000,54.11,101,57.41,97,51.39,63.16,,0.00,38.18,,,,,,65.82,74.24,,,70.03,54.36,,,78.82,61.98,34.49,
Dominica,DMA,1999,54.83,96,57.14,96,51.39,63.16,,0.00,38.18,,,,,,63.81,79.14,,,71.47,53.89,,,78.20,61.98,34.49,
Dominica,DMA,1998,54.83,96,57.09,96,51.39,63.16,,0.00,38.18,,,,,,63.81,79.14,,,71.47,53.74,,,78.15,61.98,34.49,
Dominica,DMA,1997,54.71,96,56.71,94,51.39,63.16,,0.00,38.18,,,,,,63.58,78.91,,,71.24,52.97,,,77.41,61.98,34.49,
Dominica,DMA,1996,54.71,97,56.38,93,51.39,63.16,,0.00,38.18,,,,,,63.58,78.91,,,71.24,52.49,,,76.57,61.98,34.49,
Dominica,DMA,1995,54.71,98,56.08,94,51.39,63.16,,0.00,38.18,,,,,,63.58,78.91,,,71.24,51.89,,,75.96,61.98,34.49,
