Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Denmark,DNK,2022,93.03,3,89.71,9,100.00,94.74,95.39,87.62,94.44,98.95,93.06,99.69,99.27,97.75,94.61,83.62,70.70,98.74,86.92,86.86,94.28,89.02,92.65,89.87,85.68,89.62
Denmark,DNK,2021,93.03,3,89.71,9,100.00,94.74,95.39,87.62,94.44,98.95,93.06,99.69,99.27,97.75,94.61,83.62,70.70,98.74,86.92,86.86,94.28,89.02,92.65,89.87,85.68,89.62
Denmark,DNK,2020,92.75,3,87.94,10,100.00,94.74,95.39,87.62,94.44,98.95,92.03,99.69,99.27,97.49,92.23,83.63,70.70,98.80,86.34,86.11,94.28,89.02,92.65,78.78,85.68,89.09
Denmark,DNK,2019,95.32,1,87.87,10,100.00,94.74,94.71,91.26,95.18,99.03,95.56,99.38,99.27,98.31,91.20,84.55,95.43,98.68,92.46,86.54,94.09,89.02,92.65,78.78,85.34,88.70
Denmark,DNK,2018,95.39,1,87.46,10,100.00,94.74,94.57,91.36,95.17,99.13,97.33,99.69,99.27,98.86,90.99,83.55,95.43,98.68,92.16,86.23,93.17,87.85,92.32,78.78,85.37,88.50
Denmark,DNK,2017,95.26,1,89.75,7,100.00,94.74,93.62,91.47,94.96,99.13,98.31,99.69,99.27,99.10,90.77,81.97,95.43,98.68,91.71,85.96,93.44,86.68,92.43,94.62,86.85,88.24
Denmark,DNK,2016,95.25,1,90.08,5,100.00,94.74,93.62,90.22,94.64,99.13,98.31,99.69,99.27,99.10,91.66,81.96,95.43,98.92,91.99,85.58,92.98,87.85,92.51,94.62,88.67,88.37
Denmark,DNK,2015,95.35,1,89.60,7,100.00,94.74,94.84,89.80,94.85,99.13,98.31,100.00,99.27,99.18,91.14,82.57,95.43,98.92,92.01,85.14,92.70,87.85,92.54,94.62,85.88,88.50
Denmark,DNK,2014,95.55,1,89.21,7,100.00,94.74,94.84,91.88,95.37,99.10,97.12,100.00,99.27,98.88,91.07,83.66,95.43,99.53,92.42,84.85,92.69,87.38,92.01,94.62,83.72,89.22
Denmark,DNK,2013,95.08,1,89.15,7,100.00,89.47,94.71,88.14,93.08,99.10,97.12,100.00,99.27,98.88,94.37,83.81,95.43,99.53,93.29,84.65,91.95,87.15,90.93,94.62,86.18,88.57
