Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Dominican Republic,DOM,2022,68.24,65,70.23,60,81.94,73.68,45.45,75.34,69.11,89.08,90.69,95.67,26.42,75.47,40.84,67.17,52.84,79.78,60.16,66.60,80.67,61.21,85.91,84.95,47.21,65.05
Dominican Republic,DOM,2021,68.24,65,70.23,60,81.94,73.68,45.45,75.34,69.11,89.08,90.69,95.67,26.42,75.47,40.84,67.17,52.84,79.78,60.16,66.60,80.67,61.21,85.91,84.95,47.21,65.05
Dominican Republic,DOM,2020,66.07,74,69.86,62,81.94,73.68,45.45,75.34,69.11,87.24,89.79,94.34,16.68,72.01,36.10,67.58,52.84,71.84,57.09,64.69,80.67,61.21,85.91,84.95,47.21,64.39
Dominican Republic,DOM,2019,60.38,97,69.25,68,81.94,73.68,42.33,85.33,70.82,78.65,87.64,81.46,13.47,65.31,34.30,64.50,35.68,45.52,45.00,66.13,80.34,55.84,85.91,84.95,47.21,64.39
Dominican Republic,DOM,2018,60.96,96,69.01,67,81.94,78.95,42.47,84.70,72.02,78.34,88.36,82.80,13.47,65.74,34.02,64.88,35.68,45.86,45.11,65.43,79.99,51.64,85.68,84.95,45.77,69.65
Dominican Republic,DOM,2017,59.97,95,69.05,67,76.39,78.95,39.08,83.04,69.36,80.35,85.76,82.80,12.95,65.46,34.60,67.64,35.68,42.37,45.07,64.41,79.61,55.14,85.32,84.95,44.52,69.38
Dominican Republic,DOM,2016,60.27,92,67.65,69,76.39,78.95,38.13,83.04,69.13,80.99,85.76,83.83,12.95,65.88,35.31,69.50,35.68,42.73,45.81,63.78,79.20,46.96,84.68,84.95,44.80,69.19
Dominican Republic,DOM,2015,60.64,93,66.45,78,76.39,78.95,39.62,84.08,69.76,82.08,85.47,83.83,12.95,66.09,33.51,69.18,35.68,45.87,46.06,62.82,78.77,48.13,84.51,84.95,37.99,68.00
Dominican Republic,DOM,2014,60.95,91,66.50,77,76.39,78.95,40.84,83.66,69.96,83.37,86.11,86.51,12.95,67.24,32.68,67.35,35.68,46.96,45.67,61.82,78.33,50.23,85.09,84.95,36.73,68.33
Dominican Republic,DOM,2013,59.94,92,65.03,86,76.39,68.42,40.30,80.85,66.49,83.37,86.11,86.51,12.95,67.24,31.56,68.59,35.68,48.56,46.10,60.80,77.88,42.29,85.74,84.95,35.91,67.67
Dominican Republic,DOM,2012,59.61,95,65.40,81,76.39,57.89,38.81,81.48,63.64,84.26,86.11,87.74,17.41,68.88,31.21,69.50,35.68,48.84,46.31,60.16,77.43,46.03,86.78,84.95,35.32,67.15
Dominican Republic,DOM,2011,59.27,96,64.69,82,76.39,57.89,37.99,82.41,63.67,84.47,86.11,87.74,21.66,69.99,30.83,64.38,35.68,45.62,44.13,59.89,76.98,42.29,87.63,84.95,34.27,66.82
Dominican Republic,DOM,2010,59.61,93,64.46,78,76.39,57.89,37.58,82.52,63.60,84.80,86.11,87.95,28.81,71.92,29.81,63.48,35.68,44.26,43.31,59.55,76.54,43.22,87.89,84.95,33.27,65.77
Dominican Republic,DOM,2009,59.32,92,63.40,83,76.39,52.63,39.48,80.33,62.21,85.08,86.11,87.64,27.25,71.52,31.37,64.34,35.68,45.54,44.23,58.33,76.09,39.49,87.92,84.95,32.61,64.39
Dominican Republic,DOM,2008,59.40,91,63.62,80,76.39,52.63,39.76,81.17,62.49,85.16,86.11,87.64,27.25,71.54,31.82,63.62,35.68,45.54,44.17,58.38,75.63,41.36,87.86,84.95,31.94,65.24
Dominican Republic,DOM,2007,59.33,93,63.06,78,76.39,52.63,39.62,81.79,62.61,85.28,86.11,87.64,27.25,71.57,31.25,62.80,35.68,45.54,43.82,58.04,75.15,39.49,87.61,84.95,31.28,64.91
Dominican Republic,DOM,2006,58.87,95,61.50,86,76.39,52.63,40.30,79.81,62.28,85.56,86.11,88.05,23.01,70.68,33.00,62.17,35.68,43.67,43.63,56.99,74.66,32.24,87.45,84.95,30.04,64.19
