Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Algeria,DZA,2022,41.07,144,70.20,61,51.39,31.58,33.92,37.88,38.69,73.11,57.36,36.35,26.11,48.24,33.64,46.65,41.08,23.80,36.29,56.77,85.90,89.25,82.57,48.85,41.29,86.73
Algeria,DZA,2021,41.07,143,70.20,61,51.39,31.58,33.92,37.88,38.69,73.11,57.36,36.35,26.11,48.24,33.64,46.65,41.08,23.80,36.29,56.77,85.90,89.25,82.57,48.85,41.29,86.73
Algeria,DZA,2020,42.96,142,70.09,60,51.39,31.58,33.92,37.88,38.69,71.25,64.18,41.50,33.89,52.71,34.07,47.38,45.97,22.55,37.49,56.41,85.90,89.25,82.57,48.85,41.29,86.33
Algeria,DZA,2019,41.27,144,70.16,61,51.39,31.58,34.06,26.53,35.89,70.65,67.83,44.59,33.89,54.24,34.21,43.25,33.25,23.98,33.67,57.68,85.56,89.25,82.57,48.85,41.29,85.94
Algeria,DZA,2018,42.15,142,68.68,70,51.39,26.32,35.41,26.53,34.91,72.42,65.53,48.82,34.51,55.32,35.05,47.46,35.58,26.84,36.23,57.85,85.21,89.25,82.91,45.51,40.81,79.24
Algeria,DZA,2017,42.10,142,69.35,64,51.39,36.84,34.06,26.85,37.28,72.81,65.45,47.37,34.51,55.04,35.24,45.85,28.78,26.04,33.98,58.01,84.85,89.25,83.25,50.71,40.34,79.04
Algeria,DZA,2016,43.24,141,69.28,62,51.39,31.58,34.46,41.21,39.66,74.37,60.98,45.62,34.40,53.85,35.15,42.17,39.39,28.19,36.22,58.15,84.48,89.25,83.28,50.71,39.87,79.24
Algeria,DZA,2015,44.03,140,68.93,62,51.39,26.32,33.79,40.27,37.94,76.19,70.11,52.63,34.40,58.33,36.10,42.32,36.92,27.89,35.81,57.95,84.09,89.25,83.20,49.35,39.41,79.24
Algeria,DZA,2014,46.11,130,68.96,62,51.39,47.37,32.97,46.62,44.59,76.17,70.11,52.63,34.40,58.33,36.57,40.29,36.92,27.89,35.42,57.67,83.69,89.25,83.49,49.35,38.95,80.29
Algeria,DZA,2013,44.15,139,68.71,63,51.39,21.05,33.38,49.12,38.73,75.60,70.11,53.55,33.26,58.13,37.23,40.05,36.92,28.12,35.58,57.36,83.29,89.25,83.88,48.61,38.50,80.09
Algeria,DZA,2012,44.02,139,68.59,62,51.39,21.05,30.66,53.38,39.12,76.09,70.11,54.38,32.02,58.15,36.50,37.56,36.92,28.12,34.78,57.22,82.87,89.25,84.19,48.61,38.18,79.83
Algeria,DZA,2011,43.43,140,68.40,59,51.39,21.05,26.46,57.44,39.09,76.11,69.21,54.69,32.02,58.01,35.20,36.85,33.74,27.07,33.21,56.97,82.42,89.25,84.43,48.12,37.87,79.70
Algeria,DZA,2010,46.17,130,65.52,67,51.39,47.37,30.26,57.96,46.74,76.11,68.38,54.17,32.02,57.67,36.73,38.89,33.74,27.07,34.11,56.80,81.94,71.26,84.62,48.12,36.67,79.24
Algeria,DZA,2009,46.95,127,65.14,68,51.39,52.63,31.48,61.91,49.35,76.14,68.38,54.07,32.02,57.65,34.57,40.16,33.74,26.89,33.84,56.48,81.39,71.26,84.57,48.12,35.21,78.98
Algeria,DZA,2008,45.78,133,64.97,70,51.39,42.11,30.26,58.69,45.61,76.19,68.38,53.86,32.02,57.61,33.67,42.20,33.74,26.89,34.12,56.51,80.77,71.26,84.47,48.12,33.62,80.03
Algeria,DZA,2007,47.01,127,64.50,70,51.39,52.63,32.02,60.46,49.13,76.11,68.38,54.58,32.02,57.77,34.81,41.10,33.74,26.89,34.13,56.38,80.07,71.26,84.25,48.12,32.06,79.37
Algeria,DZA,2006,47.37,125,64.10,69,51.39,52.63,35.55,59.83,49.85,76.13,68.38,54.17,32.02,57.68,36.15,41.59,33.74,26.89,34.59,56.05,79.29,71.26,84.02,48.12,31.20,78.78
Algeria,DZA,2005,47.20,122,63.77,67,44.44,52.63,36.64,58.38,48.02,76.13,68.38,54.17,32.02,57.68,37.20,45.89,33.74,26.82,35.91,56.01,78.45,71.26,83.79,48.12,30.01,78.71
Algeria,DZA,2004,46.23,126,63.27,68,44.44,73.68,22.93,56.30,49.34,76.03,66.69,53.86,32.02,57.15,33.36,36.87,33.74,24.88,32.21,55.23,77.56,71.26,83.52,48.12,29.11,78.06
Algeria,DZA,2003,45.30,133,62.84,65,44.44,73.68,22.93,54.73,48.95,75.78,66.69,53.86,32.02,57.09,31.98,28.87,33.74,24.88,29.87,54.71,76.64,71.26,83.26,48.12,27.98,77.92
Algeria,DZA,2002,45.13,130,62.30,66,44.44,73.68,22.93,52.65,48.43,75.19,66.69,53.86,32.02,56.94,30.11,31.30,33.74,24.88,30.01,53.69,75.72,71.26,82.91,48.12,27.07,77.33
