Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Ecuador,ECU,2022,63.76,81,67.16,80,83.33,36.84,41.38,61.81,55.84,86.45,94.42,83.01,66.11,82.50,38.33,59.00,58.61,55.81,52.94,56.20,86.19,43.22,92.00,86.65,45.18,60.71
Ecuador,ECU,2021,63.76,81,67.16,80,83.33,36.84,41.38,61.81,55.84,86.45,94.42,83.01,66.11,82.50,38.33,59.00,58.61,55.81,52.94,56.20,86.19,43.22,92.00,86.65,45.18,60.71
Ecuador,ECU,2020,64.89,77,66.90,81,83.33,36.84,41.38,61.81,55.84,88.40,94.04,84.55,82.07,87.27,36.94,58.94,58.61,51.76,51.56,55.70,86.19,43.22,92.00,86.64,45.18,59.40
Ecuador,ECU,2019,64.39,80,66.64,81,83.33,36.84,41.11,70.45,57.93,87.30,93.87,84.65,69.12,83.74,37.93,59.68,58.61,49.75,51.49,57.44,85.80,46.96,92.00,79.29,45.09,59.92
Ecuador,ECU,2018,64.77,82,68.94,68,83.33,36.84,40.16,71.80,58.03,87.87,93.43,88.05,67.46,84.20,37.10,62.58,60.05,48.56,52.07,57.74,85.41,47.66,92.10,87.72,45.65,66.29
Ecuador,ECU,2017,59.45,97,69.06,66,83.33,36.84,37.18,70.97,57.08,85.89,92.53,76.21,37.20,72.96,36.80,62.88,60.61,32.90,48.30,57.83,85.01,49.30,92.18,87.72,45.94,65.44
Ecuador,ECU,2016,55.04,108,68.06,67,83.33,31.58,36.09,70.76,55.44,87.96,89.10,66.43,10.88,63.59,35.87,62.66,60.41,25.46,46.10,57.73,84.60,48.60,91.92,81.64,45.93,65.97
Ecuador,ECU,2015,55.01,109,67.80,68,83.33,31.58,37.18,70.76,55.71,87.65,89.10,65.29,10.36,63.10,35.88,61.48,60.41,27.12,46.22,58.26,84.19,46.26,91.72,81.64,46.36,66.16
Ecuador,ECU,2014,54.73,111,67.94,68,83.33,31.58,37.58,65.76,54.57,87.18,88.16,66.74,10.26,63.08,34.64,64.02,60.41,27.12,46.55,58.53,83.78,48.60,91.43,81.64,44.09,67.54
Ecuador,ECU,2013,54.01,113,67.03,70,83.33,21.05,34.74,67.64,51.69,87.20,88.16,68.80,10.57,63.68,36.70,60.77,60.41,28.77,46.66,58.14,83.37,44.16,91.28,81.64,43.27,67.35
Ecuador,ECU,2012,55.53,106,66.97,67,83.33,26.32,38.94,74.71,55.83,88.05,89.38,71.68,14.40,65.88,36.36,52.85,60.41,29.90,44.88,57.54,82.98,46.03,91.34,81.64,42.58,66.69
Ecuador,ECU,2011,54.93,108,66.65,66,83.33,26.32,34.87,73.88,54.60,88.16,89.38,70.75,17.93,66.55,34.29,50.49,60.41,29.42,43.65,56.82,82.59,46.50,91.61,81.64,41.11,66.29
Ecuador,ECU,2010,55.15,103,65.11,72,83.33,26.32,34.87,75.65,55.04,88.24,89.38,71.06,17.93,66.65,32.01,52.51,60.41,30.06,43.75,55.73,82.22,39.72,91.39,81.64,40.36,64.72
Ecuador,ECU,2009,56.32,101,65.56,65,83.33,31.58,34.06,74.82,55.95,88.75,90.56,77.03,20.73,69.27,30.93,50.75,61.34,31.96,43.75,55.39,81.86,40.42,91.40,87.63,39.34,62.88
Ecuador,ECU,2008,57.92,99,65.34,67,83.33,42.11,34.33,79.40,59.79,88.49,90.25,79.92,23.63,70.57,30.73,49.64,61.34,31.85,43.39,55.58,81.50,37.38,91.29,87.63,38.83,65.18
Ecuador,ECU,2007,59.16,95,63.02,81,83.33,31.58,33.11,81.69,57.43,89.37,90.70,84.86,36.89,75.45,29.63,47.87,63.96,36.96,44.60,54.77,81.15,28.97,91.33,82.36,38.35,64.19
Ecuador,ECU,2006,59.85,89,63.24,74,77.78,31.58,33.24,80.02,55.66,89.51,86.40,88.36,59.38,80.91,27.42,47.10,61.31,36.08,42.98,54.68,80.78,31.54,91.35,83.04,37.63,63.67
Ecuador,ECU,2005,60.31,84,62.68,71,77.78,31.58,34.33,80.54,56.06,89.85,85.18,87.85,64.77,81.91,28.71,48.32,61.31,33.58,42.98,54.21,80.40,29.67,91.44,83.04,36.91,63.07
Ecuador,ECU,2004,61.13,82,62.06,76,77.78,52.63,28.49,78.25,59.29,89.85,85.18,87.85,64.77,81.91,28.91,47.33,61.31,31.17,42.18,53.58,79.98,27.80,91.68,83.04,36.20,62.16
Ecuador,ECU,2003,60.99,82,61.81,77,77.78,52.63,29.44,74.92,58.69,89.85,85.18,87.85,64.77,81.91,29.12,44.93,61.31,34.15,42.38,52.46,79.52,28.74,91.69,83.04,35.49,61.76
Ecuador,ECU,2002,63.04,77,60.70,80,77.78,73.68,32.16,72.63,64.06,89.67,85.18,87.85,64.77,81.87,28.58,49.01,61.31,33.91,43.20,52.29,79.01,21.96,91.87,83.04,34.79,61.96
