Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Egypt,EGY,2022,37.59,151,64.95,93,19.44,68.42,27.00,56.30,42.79,57.68,26.73,14.73,18.55,29.42,34.77,43.66,27.88,55.90,40.55,58.59,76.73,80.14,68.16,60.87,46.26,63.86
Egypt,EGY,2021,37.59,150,64.95,93,19.44,68.42,27.00,56.30,42.79,57.68,26.73,14.73,18.55,29.42,34.77,43.66,27.88,55.90,40.55,58.59,76.73,80.14,68.16,60.87,46.26,63.86
Egypt,EGY,2020,36.76,151,64.35,98,19.44,63.16,27.00,56.30,41.47,57.27,25.93,14.21,19.07,29.12,33.69,40.78,29.05,55.24,39.69,58.34,76.73,80.14,68.16,57.47,46.26,63.34
Egypt,EGY,2019,37.25,153,63.36,99,19.44,63.16,26.46,64.93,43.50,57.04,23.40,14.52,19.69,28.66,37.55,41.83,23.82,55.16,39.59,58.05,76.44,80.14,68.16,51.41,46.26,63.07
Egypt,EGY,2018,36.90,153,63.58,99,19.44,63.16,26.73,64.93,43.57,58.26,21.82,14.93,16.06,27.77,37.11,40.50,23.82,56.07,39.38,57.43,76.13,80.14,68.28,51.41,44.34,67.35
Egypt,EGY,2017,35.56,154,63.58,97,19.44,57.89,24.83,62.33,41.13,58.25,21.14,15.35,12.95,26.92,36.52,35.55,25.03,57.46,38.64,56.87,75.81,80.14,68.26,54.22,42.18,67.61
Egypt,EGY,2016,35.07,158,62.73,100,19.44,57.89,24.02,56.19,39.39,58.64,22.32,15.45,12.12,27.13,35.41,35.28,27.85,56.19,38.68,56.51,75.49,79.44,67.24,52.42,40.42,67.61
Egypt,EGY,2015,35.64,156,62.00,105,19.44,52.63,21.17,55.98,37.31,48.98,22.17,15.45,37.82,31.10,33.66,34.09,31.16,55.16,38.52,56.13,75.15,79.44,66.57,50.85,38.71,67.15
Egypt,EGY,2014,34.69,159,63.20,95,19.44,47.37,20.62,57.13,36.14,48.30,23.12,15.45,37.82,31.17,33.11,31.37,31.35,51.19,36.75,55.75,74.81,87.62,67.92,52.94,37.03,66.36
Egypt,EGY,2013,37.35,154,63.63,94,19.44,52.63,19.40,62.33,38.45,47.21,26.22,40.89,37.82,38.04,31.99,31.21,29.53,49.51,35.56,55.64,74.45,87.62,67.86,57.18,35.94,66.69
Egypt,EGY,2012,43.86,140,63.35,96,19.44,68.42,19.54,64.62,43.01,67.52,38.93,58.08,37.82,50.59,33.41,35.31,26.30,56.89,37.98,55.66,74.09,87.62,66.59,58.63,34.01,66.82
Egypt,EGY,2011,41.83,144,62.08,95,19.44,68.42,23.07,67.64,44.64,42.70,36.62,53.86,35.34,42.13,35.32,35.30,26.30,57.97,38.72,55.66,73.73,83.18,66.81,57.85,31.73,65.57
Egypt,EGY,2010,42.10,143,61.84,95,19.44,52.63,28.77,68.78,42.41,62.19,33.95,30.48,30.36,39.25,36.98,46.20,37.20,58.20,44.65,55.73,73.37,83.18,66.25,57.85,30.53,65.97
Egypt,EGY,2009,42.93,141,61.26,97,19.44,52.63,29.85,68.89,42.70,61.83,33.88,31.10,29.64,39.11,39.66,52.10,37.20,58.89,46.96,55.18,73.02,81.07,66.21,58.98,29.04,65.31
