Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Eritrea,ERI,2022,17.11,172,46.73,169,70.83,0.00,,0.00,23.61,24.80,5.03,1.54,3.32,8.67,15.70,44.03,7.61,8.80,19.04,,66.52,,72.90,34.21,13.26,
Eritrea,ERI,2021,17.11,172,46.73,169,70.83,0.00,,0.00,23.61,24.80,5.03,1.54,3.32,8.67,15.70,44.03,7.61,8.80,19.04,,66.52,,72.90,34.21,13.26,
Eritrea,ERI,2020,17.36,171,46.73,169,70.83,0.00,,0.00,23.61,24.80,6.33,1.75,3.32,9.05,15.29,44.54,7.61,10.27,19.43,,66.52,,72.90,34.23,13.26,
Eritrea,ERI,2019,17.94,171,47.22,168,70.83,0.00,,0.00,23.61,25.20,7.93,1.44,3.32,9.47,13.00,50.25,10.55,9.15,20.74,,65.85,,72.90,36.87,13.26,
Eritrea,ERI,2018,17.46,170,48.53,165,70.83,0.00,,0.00,23.61,24.70,8.10,1.13,4.77,9.68,14.41,52.13,4.07,5.73,19.08,,65.15,,72.42,43.31,13.25,
Eritrea,ERI,2017,17.02,170,48.14,166,70.83,0.00,,0.00,23.61,24.49,6.22,0.93,2.38,8.51,15.11,49.62,5.87,5.20,18.95,,64.39,,71.81,43.31,13.05,
Eritrea,ERI,2016,16.85,169,47.70,166,70.83,0.00,,0.00,23.61,24.49,4.38,1.44,1.76,8.02,14.08,51.09,2.61,7.86,18.91,,63.60,,71.05,43.31,12.84,
Eritrea,ERI,2015,16.35,172,46.79,166,70.83,0.00,,0.00,23.61,24.60,3.08,1.54,1.76,7.75,15.21,46.64,3.94,4.95,17.68,,62.76,,70.44,41.30,12.64,
Eritrea,ERI,2014,16.94,172,46.62,166,70.83,0.00,,0.00,23.61,24.60,4.06,1.75,1.76,8.04,19.73,48.08,3.94,4.95,19.17,,61.90,,69.71,41.30,13.58,
Eritrea,ERI,2013,16.99,170,46.11,166,70.83,0.00,,0.00,23.61,24.60,2.91,1.75,1.76,7.76,20.77,48.75,3.94,4.95,19.60,,61.01,,69.04,41.30,13.09,
Eritrea,ERI,2012,16.68,172,44.56,167,70.83,0.00,,0.00,23.61,24.65,0.00,0.10,1.87,6.65,22.68,50.17,3.94,2.29,19.77,,60.10,,68.54,36.98,12.61,
Eritrea,ERI,2011,17.41,171,44.04,168,70.83,0.00,,0.00,23.61,24.65,0.07,0.21,1.87,6.70,24.43,48.87,12.05,2.29,21.91,,59.16,,67.87,36.98,12.14,
Eritrea,ERI,2010,17.39,171,43.48,168,70.83,0.00,,0.00,23.61,24.65,0.07,0.21,1.87,6.70,26.43,46.66,12.05,2.29,21.86,,58.15,,67.11,36.98,11.68,
Eritrea,ERI,2009,18.95,171,43.04,167,70.83,10.53,,0.00,27.12,24.65,0.07,0.10,1.87,6.67,27.31,50.61,12.05,2.29,23.06,,57.05,,66.54,36.90,11.67,
Eritrea,ERI,2008,19.12,171,42.44,167,70.83,10.53,,0.00,27.12,24.65,0.07,0.00,2.69,6.85,29.24,50.00,12.05,2.29,23.40,,55.83,,65.55,36.90,11.46,
Eritrea,ERI,2007,18.49,171,41.81,167,70.83,10.53,,0.00,27.12,24.65,0.07,0.00,2.69,6.85,28.56,43.14,12.05,2.29,21.51,,54.51,,64.93,36.90,10.92,
Eritrea,ERI,2006,18.93,171,41.16,168,70.83,10.53,,0.00,27.12,24.65,1.43,0.10,2.69,7.22,29.41,46.17,12.05,2.14,22.44,,53.10,,64.25,36.90,10.38,
Eritrea,ERI,2005,19.44,171,40.48,169,70.83,10.53,,0.00,27.12,24.65,1.43,0.10,2.69,7.22,33.40,48.30,12.05,2.14,23.97,,51.64,,63.54,36.90,9.84,
Eritrea,ERI,2004,19.79,171,39.82,167,70.83,10.53,,0.00,27.12,24.65,1.43,0.10,2.69,7.22,34.63,51.45,12.05,1.99,25.03,,50.20,,62.88,36.90,9.31,
Eritrea,ERI,2003,19.94,170,39.16,166,70.83,10.53,,0.00,27.12,24.65,1.43,0.10,2.69,7.22,38.09,49.82,12.05,1.99,25.49,,48.81,,62.80,36.90,8.14,
Eritrea,ERI,2002,21.40,170,38.32,163,70.83,10.53,,0.00,27.12,31.49,1.43,0.10,1.45,8.62,40.87,58.98,12.05,1.99,28.47,,47.52,,61.80,36.90,7.04,
Eritrea,ERI,2001,21.89,170,38.43,161,70.83,10.53,,0.00,27.12,36.90,2.43,5.15,1.45,11.48,40.82,48.82,12.05,6.62,27.08,,46.34,,61.15,39.20,7.04,
Eritrea,ERI,2000,23.65,167,41.10,154,70.83,10.53,,0.00,27.12,38.59,13.80,11.53,2.59,16.63,40.82,48.82,12.05,7.14,27.21,,45.23,,59.66,52.49,7.04,
Eritrea,ERI,1999,24.91,163,40.65,155,70.83,10.53,,0.00,27.12,38.59,18.82,12.98,2.59,18.24,41.64,44.74,23.56,7.49,29.36,,44.18,,58.47,52.92,7.04,
Eritrea,ERI,1998,25.32,162,40.13,153,70.83,10.53,,0.00,27.12,38.59,22.59,12.98,3.73,19.47,41.64,44.74,23.56,7.49,29.36,,43.11,,57.44,52.92,7.04,
Eritrea,ERI,1997,25.99,162,39.30,154,70.83,10.53,,0.00,27.12,41.98,28.13,13.49,3.73,21.83,41.01,45.42,23.56,6.13,29.03,,42.01,,55.69,52.46,7.04,
Eritrea,ERI,1996,24.99,163,38.61,154,70.83,10.53,,0.00,27.12,30.99,28.13,12.46,3.73,18.83,41.01,45.42,23.56,6.13,29.03,,40.88,,54.05,52.46,7.04,
Eritrea,ERI,1995,25.06,162,37.85,154,70.83,10.53,,0.00,27.12,30.99,28.90,12.46,3.73,19.02,41.01,45.42,23.56,6.13,29.03,,39.72,,52.18,52.46,7.04,
