Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Spain,ESP,2022,85.96,17,81.05,30,100.00,89.47,77.61,84.18,87.82,95.33,96.11,95.67,85.28,93.10,65.21,76.12,73.85,92.68,76.96,79.23,95.74,73.60,92.53,77.72,66.95,81.60
Spain,ESP,2021,85.50,20,81.05,30,94.44,89.47,77.61,84.18,86.43,95.33,96.11,95.67,85.28,93.10,65.21,76.12,73.85,92.68,76.96,79.23,95.74,73.60,92.53,77.72,66.95,81.60
Spain,ESP,2020,85.62,19,80.74,29,94.44,89.47,77.61,84.18,86.43,97.36,95.86,96.91,80.10,92.56,64.55,73.25,79.66,94.07,77.88,78.31,95.74,73.60,92.53,77.74,66.95,80.29
Spain,ESP,2019,86.53,19,82.24,29,94.44,89.47,77.07,87.83,87.20,97.56,98.75,96.40,87.98,95.17,65.17,70.68,79.66,93.29,77.20,80.46,98.54,73.60,92.53,84.37,65.47,80.68
Spain,ESP,2018,85.76,21,81.81,28,94.44,89.47,77.07,87.51,87.13,96.40,98.48,94.75,86.53,94.04,64.61,70.22,75.34,94.37,76.13,80.22,97.79,72.66,92.75,84.37,63.41,81.47
Spain,ESP,2017,85.05,22,81.60,27,94.44,89.47,75.71,87.41,86.76,95.41,98.48,93.92,86.11,93.48,63.79,70.12,73.15,92.59,74.91,79.89,97.51,72.66,93.10,84.37,62.49,81.14
Spain,ESP,2016,85.70,23,81.06,27,94.44,89.47,76.26,86.58,86.69,96.04,98.48,95.16,84.35,93.51,65.43,72.76,75.65,93.83,76.92,79.41,97.60,70.09,92.86,84.37,61.81,81.27
Spain,ESP,2015,84.90,27,80.47,27,94.44,89.47,75.85,86.37,86.53,96.37,98.48,95.16,77.72,91.93,66.75,69.48,75.65,93.11,76.25,78.88,96.67,69.16,92.34,84.37,60.96,80.88
Spain,ESP,2014,85.04,26,80.34,27,94.44,84.21,73.41,87.51,84.89,96.19,98.48,96.91,79.90,92.87,66.94,69.31,81.35,91.88,77.37,78.19,97.41,69.39,92.38,84.37,59.12,81.54
Spain,ESP,2013,84.60,24,80.05,27,94.44,84.21,73.68,83.14,83.87,96.73,98.48,97.01,79.90,93.03,69.59,64.64,81.35,92.02,76.90,77.89,97.13,69.16,92.36,84.37,58.07,81.41
Spain,ESP,2012,84.97,24,80.21,26,94.44,84.21,75.71,83.66,84.51,97.93,98.09,97.84,80.83,93.67,71.23,63.79,81.35,90.57,76.74,78.09,95.91,71.03,92.08,86.43,56.70,81.21
Spain,ESP,2011,86.58,20,80.42,25,94.44,84.21,75.98,84.50,84.78,98.74,98.59,98.04,86.01,95.34,70.28,64.82,88.97,94.43,79.63,78.65,96.01,70.33,92.02,88.99,55.42,81.54
Spain,ESP,2010,85.91,21,80.05,25,94.44,84.21,75.31,84.91,84.72,98.74,98.59,97.94,86.11,95.34,69.95,57.95,88.97,93.81,77.67,78.86,94.42,71.50,91.92,88.99,53.72,80.95
Spain,ESP,2009,85.56,21,79.80,25,94.44,84.21,74.76,84.50,84.48,98.74,98.59,97.94,86.11,95.34,68.73,54.78,88.97,94.90,76.85,78.91,94.14,72.20,91.56,88.99,51.95,80.81
Spain,ESP,2008,84.95,22,80.15,24,94.44,73.68,75.85,83.77,81.94,98.66,98.59,97.94,86.11,95.33,69.85,56.64,88.97,94.90,77.59,79.76,93.58,73.83,91.14,88.99,51.45,82.33
Spain,ESP,2007,85.22,21,79.95,24,94.44,73.68,77.20,84.08,82.35,98.40,98.59,97.94,86.11,95.26,69.47,58.79,88.97,94.90,78.03,79.89,93.02,74.07,90.68,88.99,50.97,82.06
Spain,ESP,2006,85.35,21,79.84,24,94.44,73.68,76.53,84.29,82.24,98.40,98.59,97.94,86.11,95.26,68.99,61.34,88.97,94.90,78.55,79.59,92.92,75.47,90.24,88.99,50.52,81.14
Spain,ESP,2005,86.58,19,79.66,24,94.44,73.68,75.44,84.91,82.12,98.40,98.59,97.73,86.11,95.21,77.59,68.30,88.97,94.74,82.40,79.17,91.70,78.04,89.55,88.99,49.69,80.49
Spain,ESP,2004,86.50,20,78.83,24,94.44,73.68,73.27,93.55,83.74,98.40,98.59,97.73,86.11,95.21,75.96,62.56,88.97,94.74,80.56,78.82,91.14,75.93,89.01,88.99,47.70,80.22
Spain,ESP,2003,86.74,19,78.86,24,94.44,73.68,73.68,95.21,84.25,98.43,98.59,97.73,80.93,93.92,81.06,63.43,88.97,94.74,82.05,78.58,90.68,79.44,88.36,88.99,46.20,79.76
Spain,ESP,2002,87.26,18,77.64,24,94.44,73.68,73.41,91.88,83.35,98.43,98.59,98.35,80.93,94.08,80.39,73.26,88.97,94.74,84.34,78.38,90.58,73.60,88.12,88.99,45.05,78.78
Spain,ESP,2001,87.10,18,77.35,23,94.44,73.68,73.27,90.63,83.01,98.43,98.59,98.35,80.93,94.08,79.49,73.69,88.97,94.74,84.22,78.15,90.21,73.60,88.04,88.99,44.16,78.32
Spain,ESP,2000,87.81,17,76.99,23,94.44,73.68,77.34,93.76,84.81,98.43,98.59,98.35,82.28,94.41,79.49,73.69,88.97,94.74,84.22,77.58,89.46,73.60,87.68,88.99,43.15,78.52
Spain,ESP,1999,86.70,18,75.81,25,94.44,73.68,73.13,89.59,82.71,98.45,98.59,98.35,84.46,94.96,78.90,67.07,88.97,94.74,82.42,76.73,88.99,67.99,87.20,88.99,41.89,78.84
Spain,ESP,1998,86.50,18,75.56,23,94.44,73.68,73.13,89.59,82.71,98.45,98.59,98.35,84.46,94.96,78.90,67.07,88.97,92.38,81.83,76.02,88.90,67.99,87.61,88.99,40.72,78.71
Spain,ESP,1997,86.49,18,75.34,23,94.44,73.68,73.13,89.59,82.71,98.45,98.59,98.35,84.46,94.96,76.54,67.93,88.97,93.73,81.79,75.32,88.78,67.99,87.97,88.99,39.75,78.58
Spain,ESP,1996,85.33,19,74.97,23,80.56,73.68,73.13,89.59,79.24,98.45,98.59,98.35,84.46,94.96,76.54,67.93,88.97,93.73,81.79,74.74,87.88,67.99,88.04,88.99,38.68,78.45
Spain,ESP,1995,84.75,18,74.65,23,75.00,73.68,73.13,89.59,77.85,98.43,97.15,98.35,84.46,94.60,76.54,67.93,88.97,93.73,81.79,74.34,87.62,67.99,88.22,88.99,37.11,78.32
