Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Estonia,EST,2022,91.26,6,84.24,21,100.00,94.74,83.45,86.68,91.22,98.82,97.66,98.35,95.34,97.54,78.75,79.69,83.11,98.52,85.02,79.28,88.30,81.78,96.12,88.01,76.14,80.03
Estonia,EST,2021,91.26,6,84.24,21,100.00,94.74,83.45,86.68,91.22,98.82,97.66,98.35,95.34,97.54,78.75,79.69,83.11,98.52,85.02,79.28,88.30,81.78,96.12,88.01,76.14,80.03
Estonia,EST,2020,90.85,8,82.65,25,100.00,94.74,83.45,86.68,91.22,98.82,97.47,97.84,94.72,97.21,79.11,78.94,83.11,95.38,84.13,77.83,88.30,81.78,96.12,78.99,76.14,79.37
Estonia,EST,2019,90.17,13,82.83,25,100.00,94.74,82.36,90.32,91.86,98.97,97.47,97.43,96.27,97.53,76.81,77.21,76.32,94.15,81.12,78.41,88.86,81.78,96.12,78.99,76.45,79.24
Estonia,EST,2018,91.53,8,83.46,23,100.00,94.74,82.50,90.32,91.89,99.23,97.47,98.04,97.20,97.99,76.33,76.29,91.05,95.22,84.72,77.75,88.11,82.94,96.33,86.30,76.67,76.15
Estonia,EST,2017,91.24,9,83.24,24,100.00,94.74,82.09,90.53,91.84,99.23,97.47,98.46,96.48,97.91,72.50,77.55,91.05,94.81,83.98,77.08,87.83,82.71,96.50,86.30,76.15,76.08
Estonia,EST,2016,91.11,11,82.69,24,100.00,94.74,82.23,89.70,91.67,99.20,97.33,98.04,95.54,97.53,72.63,78.04,91.05,94.78,84.13,76.09,86.98,80.84,96.05,86.30,76.58,76.02
Estonia,EST,2015,91.13,10,81.99,24,100.00,94.74,83.45,90.74,92.23,98.24,97.33,98.04,95.54,97.29,72.69,76.96,91.05,94.78,83.87,75.54,86.89,77.34,95.31,86.30,76.70,75.89
Estonia,EST,2014,91.14,11,81.21,24,100.00,94.74,80.60,91.16,91.62,97.99,97.33,98.04,95.54,97.23,72.25,80.19,91.05,94.78,84.57,75.22,85.85,72.90,94.21,86.30,76.94,77.07
Estonia,EST,2013,90.52,11,81.03,24,100.00,94.74,79.92,86.89,90.39,97.99,97.33,97.94,95.54,97.20,70.47,79.54,91.05,94.78,83.96,74.64,86.05,71.73,93.26,86.30,78.48,76.74
Estonia,EST,2012,90.20,11,81.24,24,100.00,94.74,79.65,87.83,90.55,98.48,97.33,97.73,94.61,97.04,69.18,77.28,91.05,94.55,83.01,74.31,84.53,76.87,91.90,86.30,78.36,76.41
Estonia,EST,2011,90.39,10,81.04,24,100.00,94.74,80.33,88.87,90.98,98.45,97.33,97.73,94.92,97.11,69.95,76.76,91.05,94.55,83.08,73.67,84.35,77.80,90.87,86.30,78.04,76.28
Estonia,EST,2010,90.49,10,80.35,24,100.00,94.74,80.73,90.01,91.37,98.35,97.33,97.01,94.92,96.90,69.41,77.78,91.05,94.55,83.20,72.36,82.85,78.97,90.36,86.30,77.13,74.51
Estonia,EST,2009,88.77,14,79.82,24,86.11,94.74,79.78,89.91,87.63,98.20,97.01,96.81,93.58,96.40,68.76,75.88,91.05,93.42,82.28,71.88,81.73,80.37,89.10,86.30,76.04,73.32
Estonia,EST,2008,87.78,16,79.78,25,86.11,94.74,74.90,89.70,86.36,98.36,97.01,96.50,93.58,96.36,69.84,75.97,83.20,93.42,80.61,74.69,79.76,79.21,88.15,86.30,75.29,75.03
