Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Ethiopia,ETH,2022,41.10,143,55.35,132,68.06,31.58,38.26,48.49,46.60,66.39,50.97,47.27,13.68,44.58,36.20,22.51,41.88,27.91,32.13,29.16,67.03,71.96,75.79,67.72,10.23,65.57
Ethiopia,ETH,2021,41.54,142,55.35,133,68.06,36.84,38.26,48.49,47.91,66.39,50.97,47.27,13.68,44.58,36.20,22.51,41.88,27.91,32.13,29.16,67.03,71.96,75.79,67.72,10.23,65.57
Ethiopia,ETH,2020,43.87,137,55.24,132,56.94,36.84,38.26,48.49,45.14,68.80,55.14,63.44,20.31,51.92,37.21,28.80,43.43,28.73,34.54,28.62,67.03,71.96,75.79,67.72,10.23,65.31
Ethiopia,ETH,2019,46.75,131,54.96,134,56.94,36.84,38.26,58.69,47.68,70.80,58.57,65.71,24.66,54.93,35.94,37.97,48.74,27.89,37.63,28.02,66.37,71.96,75.79,67.72,10.23,64.65
Ethiopia,ETH,2018,43.48,139,55.99,129,56.94,36.84,38.26,51.09,45.79,66.57,57.95,43.77,22.59,47.72,35.11,38.48,48.74,25.42,36.94,27.04,65.70,71.96,74.85,71.14,9.43,71.81
Ethiopia,ETH,2017,36.53,152,54.81,132,56.94,21.05,39.35,53.38,42.68,61.75,35.83,26.98,9.33,33.47,33.33,30.38,42.56,27.53,33.45,26.32,65.02,71.96,73.99,66.48,8.65,71.22
Ethiopia,ETH,2016,37.00,153,54.03,136,56.94,21.05,38.94,52.03,42.24,60.97,38.88,27.60,11.50,34.74,35.44,31.60,42.56,26.47,34.02,25.15,64.29,71.96,73.15,64.78,7.91,70.96
Ethiopia,ETH,2015,37.26,153,53.84,138,56.94,21.05,38.67,51.51,42.04,61.80,39.04,28.53,11.50,35.22,35.08,34.06,42.56,26.39,34.52,24.02,63.48,71.96,71.97,68.07,7.41,69.97
Ethiopia,ETH,2014,37.93,150,53.65,137,56.94,21.05,37.31,50.88,41.55,62.20,41.15,28.94,11.50,35.95,37.43,37.27,43.75,26.72,36.29,22.73,62.54,76.17,70.56,68.12,6.94,68.46
Ethiopia,ETH,2013,38.30,150,52.79,139,56.94,26.32,38.26,52.03,43.39,61.73,42.59,28.94,11.50,36.19,34.95,35.90,43.75,26.72,35.33,21.48,61.45,76.17,69.59,68.12,6.47,66.23
Ethiopia,ETH,2012,38.52,152,53.52,133,56.94,26.32,39.35,51.40,43.50,61.73,43.73,28.42,12.54,36.61,35.45,32.72,47.03,26.60,35.45,20.17,60.18,76.17,67.85,78.64,6.03,65.57
Ethiopia,ETH,2011,38.09,153,52.65,132,56.94,21.05,40.16,50.57,42.18,61.37,43.73,29.04,12.54,36.67,34.12,33.88,47.03,26.60,35.41,19.19,58.73,76.17,66.00,80.02,5.66,62.81
Ethiopia,ETH,2010,38.50,153,51.99,133,56.94,26.32,40.30,51.61,43.79,61.98,43.82,29.04,13.26,37.03,34.15,31.29,47.03,26.27,34.68,17.79,57.09,76.17,64.26,82.76,5.44,60.45
Ethiopia,ETH,2009,40.05,146,52.12,130,56.94,42.11,41.11,52.86,48.26,63.49,43.38,29.35,14.61,37.71,33.26,31.17,46.07,26.27,34.19,16.16,55.26,84.11,61.78,81.80,5.29,60.45
Ethiopia,ETH,2008,39.80,146,51.39,131,56.94,42.11,39.08,52.24,47.59,63.49,43.38,29.56,14.61,37.76,34.85,29.32,46.07,25.96,34.05,15.13,53.27,84.11,59.23,83.20,5.19,59.59
Ethiopia,ETH,2007,40.58,146,50.32,131,56.94,52.63,38.53,52.76,50.22,63.49,43.32,29.56,14.61,37.74,35.02,27.82,46.07,26.26,33.79,13.78,51.20,84.11,56.91,83.20,4.71,58.34
Ethiopia,ETH,2006,40.23,147,49.20,136,56.94,52.63,38.40,52.34,50.08,63.49,41.49,29.15,14.61,37.18,32.52,29.16,45.21,26.80,33.42,12.32,49.08,84.11,54.68,83.20,4.08,56.90
Ethiopia,ETH,2005,40.25,148,48.02,137,56.94,52.63,36.09,48.49,48.54,64.83,41.32,37.18,14.61,39.49,28.77,30.17,45.21,26.80,32.74,10.97,47.01,84.11,52.23,83.20,3.48,55.12
Ethiopia,ETH,2004,40.64,148,47.06,139,56.94,52.63,36.09,48.49,48.54,63.79,41.32,34.60,14.61,38.58,29.37,37.82,45.21,26.80,34.80,9.46,45.05,84.11,50.42,83.20,2.81,54.34
Ethiopia,ETH,2003,38.68,150,45.76,143,56.94,31.58,36.09,48.49,43.28,63.79,41.32,36.35,14.61,39.02,27.15,35.85,45.21,26.80,33.75,7.67,43.25,83.64,47.61,83.20,2.46,52.50
Ethiopia,ETH,2002,39.10,149,45.29,143,56.94,31.58,36.09,48.49,43.28,63.79,41.69,36.35,14.61,39.11,28.11,39.57,45.21,26.80,34.92,8.58,41.64,83.64,44.87,83.20,2.21,52.89
Ethiopia,ETH,2001,37.72,149,44.80,141,38.89,31.58,36.09,48.49,38.76,63.79,41.69,35.94,14.61,39.01,24.29,45.24,45.21,26.80,35.39,8.83,40.24,83.64,42.20,83.20,1.88,53.61
Ethiopia,ETH,2000,37.66,151,43.81,144,38.89,31.58,36.09,48.49,38.76,63.14,41.69,35.94,14.61,38.84,24.29,45.24,45.21,26.80,35.39,7.91,39.02,83.64,39.05,83.20,1.47,52.37
Ethiopia,ETH,1999,38.30,147,44.31,144,38.89,31.58,36.09,48.49,38.76,64.17,41.69,35.94,14.61,39.10,24.49,51.59,45.21,26.80,37.02,7.37,37.94,83.64,35.93,83.20,1.47,60.58
Ethiopia,ETH,1998,38.30,145,38.83,158,38.89,31.58,36.09,48.49,38.76,64.17,41.69,35.94,14.61,39.10,24.49,51.59,45.21,26.80,37.02,6.98,36.95,49.53,33.51,83.20,1.47,60.18
Ethiopia,ETH,1997,37.54,149,38.45,158,38.89,31.58,36.09,48.49,38.76,64.17,41.69,35.94,14.61,39.10,24.01,43.04,45.21,26.80,34.76,8.15,35.99,49.53,31.00,83.20,1.47,59.79
Ethiopia,ETH,1996,37.54,149,37.93,158,38.89,31.58,36.09,48.49,38.76,64.17,41.69,35.94,14.61,39.10,24.01,43.04,45.21,26.80,34.76,8.14,35.04,49.53,28.20,83.20,1.47,59.92
Ethiopia,ETH,1995,35.83,150,37.13,160,38.89,10.53,36.09,48.49,33.50,64.63,41.69,35.94,14.61,39.22,24.01,43.04,45.21,26.80,34.76,6.60,34.09,49.53,25.09,83.20,1.47,59.92
