Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Finland,FIN,2022,93.08,2,91.07,4,94.44,89.47,95.93,81.79,90.41,98.50,96.72,96.50,98.76,97.62,93.07,84.27,93.73,93.81,91.22,83.74,95.36,89.02,99.12,93.22,86.64,90.41
Finland,FIN,2021,93.08,2,91.07,4,94.44,89.47,95.93,81.79,90.41,98.50,96.72,96.50,98.76,97.62,93.07,84.27,93.73,93.81,91.22,83.74,95.36,89.02,99.12,93.22,86.64,90.41
Finland,FIN,2020,93.10,2,90.89,4,94.44,89.47,95.93,81.79,90.41,98.84,96.72,97.53,98.13,97.81,92.07,84.74,93.73,93.81,91.09,83.16,95.36,89.02,99.12,93.17,86.64,89.75
Finland,FIN,2019,92.97,3,89.71,7,94.44,89.47,94.57,88.45,91.74,98.94,97.88,97.22,96.99,97.76,92.09,81.64,93.73,90.17,89.41,83.61,95.09,89.02,99.12,84.73,86.64,89.75
Finland,FIN,2018,93.54,3,91.74,2,94.44,89.47,94.84,88.45,91.80,98.76,97.88,97.63,98.13,98.10,93.24,82.78,93.73,93.16,90.73,83.41,94.62,89.95,99.45,97.87,88.12,88.76
Finland,FIN,2017,93.64,3,91.55,2,94.44,89.47,95.25,88.66,91.96,98.63,97.88,96.81,98.13,97.86,92.81,86.28,93.73,91.58,91.10,83.23,94.43,89.72,99.64,97.87,87.30,88.70
Finland,FIN,2016,93.14,4,91.42,1,94.44,89.47,95.52,87.72,91.79,98.63,97.88,96.50,96.06,97.27,91.67,84.62,93.73,91.44,90.37,82.71,94.05,90.42,99.47,97.87,86.56,88.83
Finland,FIN,2015,93.69,4,91.25,1,94.44,94.74,96.20,87.20,93.15,98.66,97.88,96.50,96.06,97.27,91.98,85.46,93.73,91.44,90.65,82.26,94.15,90.42,99.13,97.87,86.21,88.70
Finland,FIN,2014,94.65,3,91.24,1,94.44,94.74,95.93,88.45,93.39,98.97,97.80,98.46,98.65,98.47,92.47,90.35,93.73,91.82,92.09,82.22,93.59,91.12,98.66,97.87,85.72,89.49
Finland,FIN,2013,94.72,2,90.89,2,94.44,94.74,96.20,84.91,92.57,98.97,97.80,98.46,98.65,98.47,94.53,92.44,93.73,91.82,93.13,82.36,93.21,90.19,98.08,97.87,85.56,88.96
Finland,FIN,2012,94.80,2,89.30,5,94.44,89.47,97.01,89.59,92.63,98.92,98.32,98.46,97.72,98.35,95.13,92.75,93.73,91.99,93.40,82.61,92.56,90.42,97.49,97.87,75.19,88.96
Finland,FIN,2011,94.84,2,89.10,4,94.44,89.47,96.88,90.53,92.83,98.89,98.32,98.46,97.72,98.35,94.99,92.61,93.73,91.99,93.33,82.95,92.26,89.25,97.04,97.87,74.95,89.36
Finland,FIN,2010,93.74,3,88.63,4,94.44,78.95,97.01,87.30,89.43,98.87,98.32,98.46,98.13,98.45,94.41,93.22,93.73,91.99,93.34,82.58,91.14,89.02,96.77,97.87,74.18,88.83
Finland,FIN,2009,93.31,3,88.42,4,94.44,73.68,96.07,86.68,87.72,98.87,98.32,98.46,98.13,98.45,95.45,93.95,93.73,91.99,93.78,82.09,90.86,89.49,96.75,97.87,73.34,88.57
Finland,FIN,2008,93.16,3,88.81,3,94.44,73.68,96.07,86.06,87.56,98.87,98.32,98.46,98.13,98.45,94.47,93.67,93.73,91.99,93.46,83.70,90.58,88.79,96.77,97.87,74.10,89.88
Finland,FIN,2007,93.48,3,88.47,5,94.44,73.68,98.37,86.78,88.32,98.87,98.32,98.46,98.13,98.45,94.50,94.53,93.73,91.99,93.69,83.64,90.01,87.62,96.69,97.87,73.99,89.49
Finland,FIN,2006,93.72,3,88.31,5,94.44,73.68,97.96,86.99,88.27,98.89,98.32,98.46,98.13,98.45,97.29,94.79,93.73,91.99,94.45,82.79,89.92,88.32,96.66,97.87,73.92,88.70
Finland,FIN,2005,93.76,3,88.12,4,94.44,73.68,97.56,88.45,88.53,98.46,98.32,98.46,98.13,98.34,95.25,96.68,93.73,91.99,94.41,82.14,89.18,89.25,96.51,97.87,73.66,88.24
Finland,FIN,2004,94.17,3,87.77,4,94.44,73.68,95.39,93.55,89.27,98.46,98.32,98.46,98.13,98.34,96.58,97.18,93.73,92.17,94.92,81.71,88.99,88.55,96.34,97.87,72.91,88.04
Finland,FIN,2003,94.57,3,88.24,3,94.44,73.68,97.15,95.11,90.10,98.48,98.32,98.46,98.13,98.35,96.64,98.55,93.73,92.17,95.27,81.06,88.34,89.02,96.04,97.87,77.91,87.45
Finland,FIN,2002,94.61,3,87.84,3,94.44,73.68,97.15,95.11,90.10,98.59,98.32,98.46,98.13,98.37,95.59,99.89,93.73,92.17,95.34,80.74,87.88,90.19,95.78,97.87,75.64,86.79
Finland,FIN,2001,94.49,2,87.49,4,94.44,73.68,97.29,94.90,90.08,98.59,98.32,98.46,98.13,98.37,94.90,99.22,93.73,92.17,95.00,80.48,87.59,90.19,95.57,97.87,73.90,86.86
Finland,FIN,2000,94.67,2,86.88,4,94.44,73.68,98.37,96.05,90.64,98.59,98.32,98.46,98.13,98.37,94.90,99.22,93.73,92.17,95.00,80.06,86.66,90.19,95.26,97.87,71.27,86.86
Finland,FIN,1999,93.85,3,87.35,2,94.44,73.68,95.93,96.36,90.10,98.56,98.32,98.46,98.13,98.37,92.15,94.22,93.73,92.17,93.07,79.09,86.33,98.83,94.98,97.87,68.17,86.20
Finland,FIN,1998,93.84,3,86.82,3,94.44,73.68,95.93,96.36,90.10,98.54,98.32,98.46,98.13,98.36,92.15,94.22,93.73,92.17,93.07,78.35,85.96,98.83,94.64,97.87,65.87,86.20
Finland,FIN,1997,93.56,4,86.20,2,94.44,73.68,95.93,96.36,90.10,98.54,98.32,98.46,98.13,98.36,89.93,93.00,93.73,92.17,92.21,77.44,85.56,98.83,94.31,97.87,63.32,86.07
Finland,FIN,1996,93.56,4,85.66,3,94.44,73.68,95.93,96.36,90.10,98.54,98.32,98.46,98.13,98.36,89.93,93.00,93.73,92.17,92.21,76.39,85.21,98.83,94.02,97.87,61.20,86.07
