Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
United Kingdom,GBR,2022,85.52,20,85.52,16,94.44,84.21,83.04,80.33,85.51,96.80,84.08,96.29,95.03,93.05,79.23,75.37,73.03,84.43,78.02,82.56,93.07,71.73,93.72,79.58,81.93,96.06
United Kingdom,GBR,2021,85.52,19,85.52,16,94.44,84.21,83.04,80.33,85.51,96.80,84.08,96.29,95.03,93.05,79.23,75.37,73.03,84.43,78.02,82.56,93.07,71.73,93.72,79.58,81.93,96.06
United Kingdom,GBR,2020,86.00,17,86.37,16,94.44,84.21,83.04,80.33,85.51,97.71,86.24,96.91,96.06,94.23,80.36,74.34,73.03,85.35,78.27,81.33,93.07,71.73,93.72,87.00,81.93,95.80
United Kingdom,GBR,2019,87.83,17,86.11,16,94.44,94.74,82.23,87.72,89.78,97.53,89.31,96.50,97.41,95.19,82.53,75.32,71.82,84.43,78.53,83.15,93.63,71.73,93.72,83.67,81.43,95.40
United Kingdom,GBR,2018,88.80,16,86.22,16,94.44,94.74,82.90,87.93,90.00,97.61,89.55,97.43,96.27,95.21,82.34,66.01,91.31,85.09,81.19,82.96,93.73,71.73,93.63,86.22,80.64,94.68
United Kingdom,GBR,2017,89.76,15,86.32,16,94.44,94.74,88.60,88.66,91.61,97.35,88.63,97.43,96.27,94.92,83.19,72.21,91.31,84.28,82.75,82.77,93.73,71.73,93.87,86.22,81.31,94.61
United Kingdom,GBR,2016,89.21,15,86.21,16,94.44,94.74,89.42,89.28,91.97,97.12,87.26,96.50,96.27,94.29,85.07,71.69,84.69,84.02,81.37,82.51,93.54,72.43,93.73,86.22,80.35,94.68
United Kingdom,GBR,2015,89.10,16,86.54,16,88.89,94.74,89.69,88.97,90.57,97.22,87.26,96.50,96.27,94.31,86.14,74.87,84.69,84.02,82.43,82.25,93.17,76.17,93.50,86.22,79.39,95.07
United Kingdom,GBR,2014,88.72,16,86.34,16,88.89,94.74,88.47,89.80,90.47,97.56,87.26,96.50,96.27,94.40,83.63,72.80,84.69,84.02,81.29,81.92,93.82,74.30,93.17,86.22,79.55,95.40
United Kingdom,GBR,2013,88.54,16,86.35,14,88.89,94.74,88.20,87.72,89.89,97.58,87.26,96.70,96.27,94.45,82.18,74.24,84.69,84.02,81.28,81.52,93.26,76.17,92.57,86.22,79.89,94.81
United Kingdom,GBR,2012,89.59,14,86.33,14,88.89,94.74,88.20,90.84,90.67,97.95,91.22,97.12,96.27,95.64,82.37,72.54,90.93,84.02,82.46,81.31,93.07,78.27,92.03,91.21,73.74,94.68
United Kingdom,GBR,2011,89.73,13,85.85,13,88.89,94.74,89.82,92.09,91.39,97.61,92.24,97.12,96.27,95.81,81.92,71.51,90.93,83.60,81.99,81.17,93.16,76.17,91.56,91.21,73.16,94.55
United Kingdom,GBR,2010,89.87,12,85.62,14,88.89,94.74,89.15,93.13,91.48,97.61,92.24,97.12,96.37,95.84,81.96,72.73,90.93,83.60,82.31,81.05,92.14,73.36,90.99,91.21,76.28,94.28
United Kingdom,GBR,2009,89.36,12,85.13,13,88.89,94.74,89.15,92.61,91.35,97.63,92.24,97.43,96.37,95.92,81.04,66.86,90.93,84.37,80.80,80.81,91.48,73.60,90.46,91.21,74.39,93.96
United Kingdom,GBR,2008,90.00,11,84.92,15,88.89,94.74,88.74,91.47,90.96,97.63,92.24,97.43,96.37,95.92,82.85,74.37,90.93,84.37,83.13,81.73,90.64,74.07,89.81,91.21,72.11,94.88
United Kingdom,GBR,2007,90.16,10,84.02,18,88.89,94.74,87.65,91.99,90.82,97.63,92.24,97.43,96.37,95.92,83.65,76.03,90.93,84.37,83.75,81.91,90.36,70.33,89.25,91.21,70.06,95.01
United Kingdom,GBR,2006,90.64,8,84.08,16,88.89,94.74,90.37,92.30,91.57,97.63,92.24,97.43,96.37,95.92,84.48,77.90,90.93,84.37,84.42,81.65,89.98,72.90,88.76,91.21,69.34,94.74
United Kingdom,GBR,2005,89.99,9,84.01,15,88.89,94.74,91.99,92.61,92.06,97.53,92.24,97.12,95.85,95.69,86.70,66.91,90.93,84.37,82.23,81.32,89.61,73.60,88.06,91.21,70.15,94.09
United Kingdom,GBR,2004,88.38,14,82.91,17,88.89,73.68,90.91,93.96,86.86,97.35,92.24,97.12,95.85,95.64,88.01,67.24,90.93,84.37,82.64,80.98,89.05,69.63,87.24,91.21,68.30,93.96
United Kingdom,GBR,2003,88.47,14,82.26,18,83.33,73.68,92.13,97.19,86.58,97.35,92.24,97.12,95.85,95.64,87.58,69.88,90.93,84.37,83.19,80.67,88.49,70.79,86.10,91.21,64.91,93.63
United Kingdom,GBR,2002,89.11,14,81.71,17,83.33,73.68,91.72,96.57,86.33,97.35,92.24,97.12,95.85,95.64,88.16,78.01,90.93,84.37,85.37,80.21,87.92,70.33,85.32,91.21,63.55,93.43
United Kingdom,GBR,2001,89.95,12,80.61,19,83.33,73.68,92.81,96.46,86.57,97.28,93.41,97.43,95.54,95.91,88.84,85.31,90.93,84.37,87.36,79.91,87.64,65.19,84.74,91.21,62.14,93.43
United Kingdom,GBR,2000,89.61,11,79.55,19,77.78,73.68,92.40,97.92,85.45,97.07,94.40,96.81,95.54,95.96,88.84,85.31,90.93,84.65,87.43,79.61,87.17,61.21,83.57,91.21,60.60,93.50
United Kingdom,GBR,1999,88.93,11,78.27,20,77.78,73.68,90.23,95.42,84.28,96.69,94.85,95.67,95.54,95.69,89.57,83.22,90.93,83.51,86.81,79.03,86.51,67.76,82.32,80.23,59.12,92.90
United Kingdom,GBR,1998,88.52,12,77.81,20,77.78,73.68,90.23,95.42,84.28,96.43,93.47,92.48,95.54,94.48,89.57,83.22,90.93,83.51,86.81,78.56,86.14,68.22,81.49,80.23,57.12,92.90
United Kingdom,GBR,1997,88.27,12,77.70,19,77.78,73.68,90.23,95.42,84.28,96.31,90.14,92.48,95.54,93.62,88.95,84.26,90.93,83.51,86.91,78.05,86.18,70.33,80.69,80.23,55.66,92.77
United Kingdom,GBR,1996,88.33,12,77.32,19,77.78,73.68,90.23,95.42,84.28,96.54,90.14,92.48,96.06,93.81,88.95,84.26,90.93,83.51,86.91,77.23,85.95,71.26,79.62,80.23,54.21,92.77
United Kingdom,GBR,1995,88.33,11,76.78,19,77.78,73.68,90.23,95.42,84.28,96.54,90.14,92.48,96.06,93.81,88.95,84.26,90.93,83.51,86.91,76.84,85.48,70.79,78.69,80.23,52.79,92.64
