Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Ghana,GHA,2022,72.52,51,60.57,113,58.33,73.68,48.85,62.02,60.72,87.82,87.37,91.56,90.36,89.28,44.28,65.74,77.39,82.89,67.57,44.76,62.17,52.10,74.38,92.75,34.99,62.81
Ghana,GHA,2021,72.52,51,60.57,113,58.33,73.68,48.85,62.02,60.72,87.82,87.37,91.56,90.36,89.28,44.28,65.74,77.39,82.89,67.57,44.76,62.17,52.10,74.38,92.75,34.99,62.81
Ghana,GHA,2020,73.36,50,60.37,114,58.33,73.68,48.85,62.02,60.72,91.04,90.15,92.89,86.74,90.21,44.13,68.12,77.39,87.01,69.16,44.19,62.17,52.10,74.38,92.75,34.99,62.02
Ghana,GHA,2019,73.21,53,60.04,116,58.33,73.68,48.58,67.33,61.98,90.49,91.35,91.35,86.74,89.98,43.30,67.11,72.87,87.35,67.66,44.49,61.66,52.10,74.38,92.75,34.45,60.45
Ghana,GHA,2018,72.68,56,59.43,118,58.33,73.68,48.30,66.60,61.73,90.75,90.34,94.85,83.94,89.97,42.66,63.88,73.64,85.15,66.33,43.74,61.11,52.10,73.73,92.75,32.75,59.86
Ghana,GHA,2017,73.41,55,58.97,118,58.33,73.68,51.15,66.60,62.44,89.90,91.50,95.37,83.94,90.18,42.74,66.25,73.64,87.84,67.62,43.05,60.52,52.10,72.58,92.75,32.15,59.66
Ghana,GHA,2016,71.28,58,58.64,119,58.33,63.16,50.75,62.64,58.72,90.45,92.80,95.26,83.94,90.61,42.97,61.74,73.64,79.68,64.51,42.04,59.89,52.10,71.81,92.75,31.74,60.18
Ghana,GHA,2015,72.01,58,58.67,119,58.33,68.42,53.32,62.33,60.60,91.51,91.08,94.54,86.22,90.84,41.94,63.74,69.55,83.07,64.58,41.85,59.23,54.67,71.17,92.75,31.27,59.72
Ghana,GHA,2014,71.56,57,58.29,117,58.33,73.68,49.39,60.25,60.41,91.98,93.02,93.82,81.24,90.01,41.60,62.23,69.55,83.59,64.24,41.88,58.57,54.67,71.00,92.75,29.71,59.46
Ghana,GHA,2013,72.59,54,58.46,117,58.33,73.68,50.07,63.68,61.44,91.98,93.27,95.57,81.24,90.52,44.52,65.62,69.55,83.59,65.82,41.78,57.91,54.67,70.49,92.88,30.36,61.10
Ghana,GHA,2012,73.30,53,57.62,116,58.33,68.42,52.10,64.00,60.71,93.18,95.03,95.67,85.49,92.34,44.63,67.04,71.56,84.14,66.84,40.93,57.27,54.67,69.84,92.88,29.63,58.08
Ghana,GHA,2011,73.95,49,56.73,118,58.33,68.42,51.29,66.39,61.11,92.63,95.59,95.67,89.43,93.33,45.74,67.78,71.56,84.56,67.41,39.76,56.63,53.74,68.98,92.88,28.77,56.37
Ghana,GHA,2010,73.90,49,56.40,119,58.33,68.42,51.70,68.05,61.63,92.63,95.59,95.67,89.43,93.33,46.11,64.92,71.56,84.37,66.74,37.83,55.98,53.74,68.36,92.88,27.61,58.41
Ghana,GHA,2009,72.22,53,55.65,119,58.33,52.63,50.47,67.95,57.35,92.63,95.41,94.23,89.43,92.92,45.60,64.96,71.56,83.43,66.39,36.90,55.26,53.74,67.57,92.88,26.32,56.90
Ghana,GHA,2008,71.98,53,55.24,119,58.33,52.63,49.25,68.47,57.17,91.02,95.13,94.34,89.43,92.48,45.80,63.79,71.56,84.04,66.30,36.51,54.46,53.74,66.65,92.88,25.76,56.70
Ghana,GHA,2007,72.32,52,54.43,119,58.33,52.63,50.07,70.03,57.77,91.07,95.13,94.34,89.43,92.49,48.34,62.91,71.56,84.04,66.71,35.40,53.57,53.74,65.42,92.88,23.97,56.04
Ghana,GHA,2006,71.93,53,53.74,119,58.33,52.63,50.20,64.62,56.45,91.07,95.13,93.82,89.43,92.36,47.12,64.52,71.56,84.77,66.99,35.10,52.63,53.74,64.83,92.88,22.06,54.93
