Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Guinea,GIN,2022,40.52,145,52.87,147,52.78,52.63,32.02,55.25,48.17,47.74,32.25,48.92,21.14,37.51,26.25,44.74,40.18,32.28,35.87,30.99,57.72,84.58,55.07,76.24,6.91,58.61
Guinea,GIN,2021,40.52,145,52.87,148,52.78,52.63,32.02,55.25,48.17,47.74,32.25,48.92,21.14,37.51,26.25,44.74,40.18,32.28,35.87,30.99,57.72,84.58,55.07,76.24,6.91,58.61
Guinea,GIN,2020,43.37,140,52.75,150,52.78,52.63,32.02,55.25,48.17,74.41,34.55,50.36,21.14,45.12,26.55,50.88,40.18,29.70,36.83,30.93,57.72,84.58,55.07,76.19,6.91,57.82
Guinea,GIN,2019,44.88,138,52.38,150,45.83,52.63,31.34,57.54,46.84,76.68,49.03,56.44,23.01,51.29,28.25,47.32,40.18,30.32,36.52,30.62,57.05,84.58,55.07,76.19,6.91,56.24
Guinea,GIN,2018,45.71,135,53.24,144,45.83,52.63,27.27,57.34,45.77,76.14,54.25,61.28,27.67,54.83,24.86,46.49,41.17,33.54,36.52,30.14,56.27,84.58,52.42,86.10,6.53,56.64
Guinea,GIN,2017,45.70,135,52.30,151,45.83,52.63,20.62,57.96,44.26,74.86,53.65,62.82,29.43,55.19,24.52,50.20,41.17,34.71,37.65,29.54,55.37,75.00,50.35,86.10,6.19,63.53
Guinea,GIN,2016,45.75,134,51.53,151,45.83,47.37,20.35,48.91,40.62,74.99,55.85,64.98,29.43,56.31,25.83,56.42,44.20,34.88,40.33,28.28,54.37,75.00,47.89,86.10,5.86,63.21
Guinea,GIN,2015,44.99,137,50.53,156,45.83,42.11,19.81,49.64,39.35,74.99,54.79,64.47,29.43,55.92,23.83,56.56,44.20,34.29,39.72,26.90,53.31,75.00,46.16,86.10,5.54,60.71
Guinea,GIN,2014,43.95,139,50.12,154,38.89,52.63,19.13,47.03,39.42,74.94,54.79,64.98,29.43,56.04,22.08,45.05,44.20,34.27,36.40,26.67,52.22,75.00,45.13,86.10,5.22,60.51
Guinea,GIN,2013,41.96,144,49.58,154,38.89,47.37,18.05,48.39,38.17,62.33,54.79,64.47,27.98,52.39,22.98,39.49,44.20,34.56,35.31,26.44,51.16,75.00,44.02,86.10,4.85,59.46
Guinea,GIN,2012,41.41,148,49.19,151,38.89,47.37,18.05,48.39,38.17,64.59,55.82,62.72,27.98,52.78,21.99,38.33,42.41,30.42,33.29,26.15,50.15,75.00,43.19,86.10,4.48,59.26
Guinea,GIN,2011,40.71,148,46.49,160,38.89,42.11,18.05,48.39,36.86,64.59,55.82,61.28,27.98,52.42,22.35,36.29,42.41,30.42,32.87,25.51,49.18,61.68,41.31,86.10,4.27,57.36
Guinea,GIN,2010,39.75,150,45.89,159,38.89,42.11,18.05,48.39,36.86,61.43,57.26,59.32,27.98,51.50,21.50,30.23,42.41,29.43,30.89,24.92,48.20,61.68,39.36,86.10,3.97,57.03
Guinea,GIN,2009,32.81,161,45.47,159,38.89,42.11,18.05,48.39,36.86,44.46,36.20,45.11,27.98,38.44,23.76,21.54,21.67,25.60,23.14,24.48,47.11,61.68,38.19,86.10,3.84,56.90
Guinea,GIN,2008,33.22,161,45.10,157,38.89,42.11,18.05,48.39,36.86,43.52,39.10,48.51,27.98,39.78,21.12,21.93,22.48,26.55,23.02,25.10,45.87,61.68,35.42,86.10,3.72,57.82
Guinea,GIN,2007,35.08,159,44.35,157,38.89,31.58,18.05,48.39,34.23,68.74,42.25,48.61,30.67,47.57,19.43,15.73,32.07,26.51,23.44,24.78,44.47,61.68,33.29,86.10,3.52,56.57
Guinea,GIN,2006,35.72,157,41.95,163,38.89,31.58,18.05,48.39,34.23,68.74,42.25,48.61,27.05,46.66,21.19,25.74,32.07,26.09,26.27,24.00,42.96,53.27,31.48,86.10,3.33,52.50
Guinea,GIN,2005,37.01,155,41.16,164,38.89,31.58,18.05,48.39,34.23,68.74,42.25,49.12,24.04,46.04,23.91,41.03,32.07,26.09,30.77,24.17,41.44,53.27,30.20,86.10,3.04,49.87
Guinea,GIN,2004,37.74,153,40.72,165,38.89,31.58,18.05,48.39,34.23,68.74,42.19,49.12,24.04,46.02,27.60,43.47,34.74,26.09,32.97,24.01,40.06,53.27,28.64,86.10,2.75,50.20
Guinea,GIN,2003,40.11,147,40.41,162,38.89,52.63,18.05,48.39,39.49,69.04,42.19,49.74,24.04,46.25,29.05,48.42,34.74,26.09,34.57,23.94,38.94,53.27,28.52,86.10,2.53,49.54
Guinea,GIN,2002,38.24,150,39.94,159,38.89,52.63,18.05,48.39,39.49,68.89,41.82,48.30,17.20,44.05,28.42,35.62,34.74,25.88,31.16,24.07,38.16,53.27,26.81,86.10,2.32,48.82
Guinea,GIN,2001,37.17,152,39.24,160,38.89,52.63,18.05,48.39,39.49,68.63,41.82,48.71,17.20,44.09,26.03,25.77,34.74,25.22,27.94,23.52,37.74,53.27,24.42,86.10,2.11,47.50
Guinea,GIN,2000,36.98,153,38.77,159,38.89,52.63,18.05,48.39,39.49,66.99,41.82,48.71,17.20,43.68,26.03,25.77,34.74,24.55,27.77,23.25,37.64,53.27,21.68,86.10,1.91,47.57
Guinea,GIN,1999,39.26,144,38.96,159,38.89,52.63,18.05,48.39,39.49,65.48,42.20,48.20,17.20,43.27,26.03,52.51,34.74,26.77,35.01,23.22,37.81,53.27,19.65,86.10,1.70,50.99
Guinea,GIN,1998,39.11,143,38.68,159,38.89,52.63,18.05,48.39,39.49,64.37,42.20,47.58,17.20,42.84,26.03,52.51,34.74,26.77,35.01,22.98,38.11,53.27,18.34,86.10,1.51,50.46
Guinea,GIN,1997,37.82,144,38.37,159,38.89,52.63,18.05,48.39,39.49,65.72,38.49,47.58,17.20,42.25,24.29,41.09,34.74,26.77,31.72,22.80,38.41,53.27,16.39,86.10,1.31,50.33
Guinea,GIN,1996,38.22,143,37.80,159,38.89,52.63,18.05,48.39,39.49,65.72,43.76,47.17,17.20,43.46,24.29,41.09,34.74,26.77,31.72,22.36,38.62,53.27,13.36,86.10,1.12,49.80
Guinea,GIN,1995,37.94,145,37.37,158,38.89,52.63,18.05,48.39,39.49,64.52,43.76,47.17,13.58,42.26,24.29,41.09,36.10,26.77,32.06,22.05,38.65,53.27,10.96,86.10,0.99,49.54
