Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Gambia,GMB,2022,67.91,67,52.61,148,70.83,68.42,46.40,69.51,63.79,78.22,91.70,82.08,61.55,78.39,36.38,67.94,57.62,84.27,61.55,27.97,58.50,69.86,69.64,76.10,14.78,51.38
Gambia,GMB,2021,67.91,67,52.61,149,70.83,68.42,46.40,69.51,63.79,78.22,91.70,82.08,61.55,78.39,36.38,67.94,57.62,84.27,61.55,27.97,58.50,69.86,69.64,76.10,14.78,51.38
Gambia,GMB,2020,67.57,64,53.27,147,70.83,68.42,46.40,69.51,63.79,79.32,87.18,82.49,61.55,77.64,34.69,69.58,57.62,83.21,61.28,27.50,58.50,69.86,69.64,83.61,14.78,49.01
Gambia,GMB,2019,67.63,65,53.31,146,70.83,68.42,45.86,69.41,63.63,80.41,87.16,84.65,61.55,78.45,35.01,68.94,57.62,81.63,60.80,28.06,57.88,69.86,69.64,83.61,14.02,50.07
Gambia,GMB,2018,67.86,66,52.95,148,70.83,78.95,45.59,76.38,67.94,82.31,86.05,84.96,52.75,76.52,34.06,62.89,57.62,81.89,59.11,27.50,57.30,69.86,69.02,83.61,13.28,50.07
Gambia,GMB,2017,66.39,73,52.89,145,70.83,78.95,48.03,77.94,68.94,80.53,81.62,79.09,50.88,73.03,32.36,62.69,54.29,79.47,57.20,26.77,56.74,69.86,68.10,82.66,12.56,53.55
Gambia,GMB,2016,45.57,135,50.87,155,70.83,68.42,43.69,80.44,65.85,62.10,35.14,25.95,17.72,35.23,28.23,55.60,26.36,32.33,35.63,26.46,56.23,69.86,68.49,69.70,11.85,53.48
Gambia,GMB,2015,46.12,131,50.70,154,70.83,68.42,41.52,79.92,65.17,61.89,34.94,26.06,15.34,34.56,28.12,64.79,30.11,31.54,38.64,26.65,55.76,69.86,68.60,69.70,11.15,53.15
Gambia,GMB,2014,45.86,131,47.78,162,70.83,68.42,40.57,81.27,65.27,61.89,35.10,26.06,15.34,34.60,31.72,61.33,26.24,31.54,37.71,26.47,55.30,51.87,67.26,69.70,10.48,53.35
Gambia,GMB,2013,46.22,129,48.09,162,70.83,68.42,40.57,81.27,65.27,61.87,34.03,25.85,15.34,34.27,31.37,63.41,29.92,31.75,39.11,27.27,54.85,51.87,67.98,69.70,9.82,55.12
Gambia,GMB,2012,47.20,128,48.27,158,70.83,63.16,41.52,80.85,64.09,61.63,38.51,30.18,15.34,36.41,33.66,64.38,33.29,33.10,41.11,27.31,54.39,51.87,67.68,74.22,9.26,53.15
Gambia,GMB,2011,45.64,131,47.91,156,54.17,57.89,43.83,80.96,59.21,61.35,38.82,30.28,15.34,36.45,34.24,64.39,33.29,33.10,41.26,26.93,53.90,51.87,67.18,74.22,8.73,52.56
Gambia,GMB,2010,45.58,133,47.73,154,54.17,57.89,43.55,81.06,59.17,61.32,38.82,30.28,15.34,36.44,32.65,65.72,33.29,32.90,41.14,29.01,53.38,51.87,64.45,74.22,8.23,52.96
Gambia,GMB,2009,45.27,134,46.14,158,54.17,52.63,43.55,81.06,57.85,61.32,38.82,30.28,15.34,36.44,33.03,66.87,33.29,32.90,41.52,28.51,52.81,43.22,63.18,74.22,7.90,53.15
Gambia,GMB,2008,44.54,136,45.87,156,48.61,52.63,43.55,81.06,56.46,61.32,38.82,30.28,15.34,36.44,30.97,65.71,33.29,32.90,40.72,27.89,52.21,43.22,62.43,74.22,7.54,53.61
Gambia,GMB,2007,44.70,135,45.33,156,48.61,52.63,43.55,81.06,56.46,61.32,39.06,30.28,15.34,36.50,32.58,65.35,33.29,33.26,41.12,27.33,51.58,43.22,60.58,74.22,7.03,53.35
Gambia,GMB,2006,44.36,135,44.85,153,48.61,52.63,43.55,81.06,56.46,62.57,38.12,28.94,15.34,36.24,31.20,63.70,33.29,33.26,40.37,27.33,50.91,43.22,59.69,74.22,6.55,52.04
Gambia,GMB,2005,44.95,131,44.55,149,48.61,52.63,43.55,81.06,56.46,63.08,39.17,29.25,15.34,36.71,31.67,68.45,33.29,33.26,41.67,27.98,50.21,43.22,58.29,74.22,6.09,51.84
Gambia,GMB,2004,45.25,131,44.46,150,48.61,52.63,43.55,81.06,56.46,63.08,39.17,29.25,15.34,36.71,34.97,67.73,33.29,34.26,42.56,28.96,49.49,43.22,58.05,74.22,5.66,51.64
Gambia,GMB,2003,46.07,129,44.23,148,48.61,52.63,43.55,81.06,56.46,63.08,39.20,29.25,15.34,36.72,40.70,70.92,33.29,35.18,45.02,28.31,48.75,43.22,60.34,74.22,5.26,49.54
Gambia,GMB,2002,46.81,124,43.40,149,48.61,52.63,43.55,81.06,56.46,63.03,39.20,29.25,15.34,36.70,38.00,81.12,33.29,36.58,47.25,27.69,48.01,40.42,60.42,74.22,4.87,48.16
Gambia,GMB,2001,46.38,126,43.24,150,48.61,52.63,43.55,81.06,56.46,62.68,39.20,29.66,15.34,36.72,37.48,75.20,33.29,37.82,45.95,28.86,47.26,40.42,60.21,74.22,4.50,47.17
Gambia,GMB,2000,44.66,132,43.19,147,48.61,31.58,43.55,81.06,51.20,62.96,39.20,29.87,15.34,36.84,37.48,75.20,33.29,37.82,45.95,28.41,46.51,40.42,58.88,74.90,4.16,49.08
Gambia,GMB,1999,45.47,127,42.47,150,48.61,31.58,43.55,81.06,51.20,62.96,40.29,31.41,15.34,37.50,37.96,78.07,37.11,37.71,47.71,28.01,45.75,40.42,56.41,74.90,3.83,47.96
Gambia,GMB,1998,45.73,124,42.27,149,48.61,31.58,43.55,81.06,51.20,62.96,43.06,31.72,15.34,38.27,37.96,78.07,37.11,37.71,47.71,27.45,44.97,40.42,57.05,74.90,3.52,47.57
Gambia,GMB,1997,45.14,126,42.06,149,48.61,31.58,43.55,81.06,51.20,62.65,43.06,28.01,15.34,37.26,36.40,75.72,37.11,38.56,46.95,27.39,44.19,40.42,57.11,74.90,3.23,47.17
Gambia,GMB,1996,42.46,133,41.72,148,48.61,31.58,43.55,81.06,51.20,45.61,43.06,16.99,19.48,31.29,36.40,75.72,33.26,34.13,44.88,27.08,43.41,40.42,56.40,74.90,2.95,46.91
Gambia,GMB,1995,41.04,136,41.04,148,48.61,31.58,43.55,81.06,51.20,32.97,43.06,13.59,19.48,27.28,36.40,75.72,33.26,33.21,44.65,27.24,42.65,40.42,53.26,74.90,2.69,46.12
