Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Guinea-Bissau,GNB,2022,52.22,116,53.85,141,31.94,31.58,16.28,59.63,34.86,83.72,85.27,78.78,48.60,74.09,17.57,58.72,64.57,49.94,47.70,24.94,51.51,72.43,63.58,88.79,12.77,62.94
Guinea-Bissau,GNB,2021,52.22,117,53.85,142,31.94,31.58,16.28,59.63,34.86,83.72,85.27,78.78,48.60,74.09,17.57,58.72,64.57,49.94,47.70,24.94,51.51,72.43,63.58,88.79,12.77,62.94
Guinea-Bissau,GNB,2020,49.87,122,53.50,146,31.94,31.58,16.28,59.63,34.86,83.72,84.40,73.84,48.60,72.64,16.80,49.52,49.83,52.32,42.12,24.70,51.51,72.43,63.58,88.79,12.77,60.71
Guinea-Bissau,GNB,2019,49.67,124,53.39,145,31.94,31.58,15.47,60.87,34.97,83.44,85.12,72.30,46.11,71.74,14.16,53.09,49.83,52.11,42.30,25.57,50.93,72.43,63.58,88.79,12.77,59.66
Guinea-Bissau,GNB,2018,47.42,129,53.10,146,31.94,31.58,10.31,53.28,31.78,82.29,73.85,73.53,44.56,68.56,13.80,50.51,48.93,54.44,41.92,25.22,50.33,72.43,62.40,88.79,12.44,60.05
Guinea-Bissau,GNB,2017,46.79,130,46.93,168,31.94,31.58,10.18,53.28,31.74,80.95,74.28,73.43,37.31,66.49,10.59,54.30,48.93,54.73,42.14,25.44,49.71,35.28,60.68,88.79,12.12,56.50
Guinea-Bissau,GNB,2016,47.53,128,46.48,168,31.94,31.58,10.04,60.15,33.43,82.31,74.45,72.91,37.72,66.85,11.92,55.43,48.93,52.93,42.30,24.86,49.07,35.28,59.36,88.79,11.80,56.18
Guinea-Bissau,GNB,2015,47.83,125,46.03,167,31.94,31.58,10.31,63.48,34.33,82.31,73.90,73.43,37.72,66.84,13.35,53.90,48.93,53.17,42.34,24.23,48.38,35.28,58.52,88.79,11.48,55.52
Guinea-Bissau,GNB,2014,47.01,126,45.39,169,31.94,31.58,8.55,62.12,33.55,78.56,71.18,73.43,41.66,66.21,12.37,50.09,48.93,53.72,41.28,23.63,47.63,35.28,57.19,88.79,11.17,54.01
Guinea-Bissau,GNB,2013,45.76,131,45.25,168,31.94,36.84,4.88,56.19,32.47,68.67,70.67,74.15,40.93,63.61,16.75,46.17,48.93,53.03,41.22,23.93,46.81,35.28,56.18,88.79,10.60,55.19
