Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Equatorial Guinea,GNQ,2022,30.21,162,57.10,122,70.83,42.11,,0.00,37.65,54.00,29.80,14.62,11.71,27.53,17.22,58.59,20.46,5.47,25.44,64.15,,,,68.30,19.73,76.22
Equatorial Guinea,GNQ,2021,30.21,162,57.10,123,70.83,42.11,,0.00,37.65,54.00,29.80,14.62,11.71,27.53,17.22,58.59,20.46,5.47,25.44,64.15,,,,68.30,19.73,76.22
Equatorial Guinea,GNQ,2020,30.26,166,61.80,106,70.83,42.11,,0.00,37.65,54.00,29.88,15.65,10.67,27.55,17.46,59.65,20.46,4.71,25.57,64.91,52.30,,89.40,68.27,19.73,76.22
Equatorial Guinea,GNQ,2019,30.53,164,62.01,105,70.83,42.11,,0.00,37.65,54.89,30.73,16.17,11.09,28.22,18.94,61.23,20.46,2.22,25.71,66.31,51.70,,89.40,68.69,19.73,76.22
Equatorial Guinea,GNQ,2018,30.55,162,61.90,106,70.83,42.11,,0.00,37.65,54.89,30.65,15.96,11.09,28.15,17.64,62.52,20.46,2.76,25.85,67.96,51.07,,89.24,68.69,18.20,76.22
Equatorial Guinea,GNQ,2017,30.25,163,61.59,106,70.83,42.11,,0.00,37.65,54.97,30.22,15.76,11.09,28.01,16.74,60.94,20.46,2.19,25.08,69.78,50.44,,89.08,66.12,17.92,76.22
Equatorial Guinea,GNQ,2016,30.58,163,61.90,104,70.83,42.11,,0.00,37.65,55.59,30.01,18.33,11.09,28.75,17.34,61.54,20.46,1.98,25.33,71.51,49.79,,88.34,67.42,17.61,76.74
Equatorial Guinea,GNQ,2015,29.73,163,62.10,103,70.83,36.84,,0.00,35.89,54.99,29.25,18.33,11.09,28.41,17.56,60.23,20.46,1.31,24.89,73.88,49.13,,87.62,67.42,17.29,77.27
Equatorial Guinea,GNQ,2014,29.75,165,62.31,101,70.83,36.84,,0.00,35.89,55.51,29.25,18.33,11.09,28.54,17.50,56.82,20.46,4.44,24.80,76.33,48.46,,87.29,67.42,16.98,77.40
Equatorial Guinea,GNQ,2013,28.00,165,62.15,100,58.33,26.32,,0.00,28.22,55.43,29.16,18.02,11.09,28.43,18.09,66.83,20.46,4.09,27.37,77.01,47.79,,86.61,67.42,16.67,77.40
Equatorial Guinea,GNQ,2012,27.97,165,62.05,100,58.33,26.32,,0.00,28.22,54.66,28.83,18.02,8.50,27.50,20.00,69.10,20.46,3.21,28.19,78.54,47.13,,85.74,67.42,16.36,77.14
Equatorial Guinea,GNQ,2011,27.25,164,61.49,99,58.33,21.05,,0.00,26.46,54.66,28.83,18.02,8.50,27.50,20.08,67.44,20.46,3.21,27.80,77.89,46.49,,85.24,67.42,16.05,75.82
Equatorial Guinea,GNQ,2010,27.48,164,61.07,100,58.33,21.05,,0.00,26.46,54.66,28.88,18.95,8.50,27.75,20.03,69.17,20.46,3.21,28.22,77.56,45.89,,85.07,67.42,15.74,74.77
Equatorial Guinea,GNQ,2009,29.43,164,61.23,98,58.33,31.58,,0.00,29.97,55.20,29.58,19.88,8.50,28.29,20.19,71.95,21.40,6.56,30.03,80.07,45.34,,84.09,68.46,15.43,73.98
Equatorial Guinea,GNQ,2008,29.18,164,60.59,99,58.33,31.58,,0.00,29.97,55.48,30.68,18.64,8.50,28.33,20.38,68.59,21.40,6.56,29.23,80.66,44.86,,82.69,68.46,15.12,71.75
Equatorial Guinea,GNQ,2007,29.25,163,59.55,100,58.33,31.58,,0.00,29.97,55.65,30.68,18.64,8.50,28.37,20.13,69.59,21.40,6.56,29.42,78.55,44.43,,81.03,68.46,14.82,70.04
