Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Greece,GRC,2022,77.25,39,78.15,37,100.00,57.89,59.02,85.02,75.48,94.32,90.72,92.07,72.54,87.41,53.94,67.52,68.25,85.72,68.86,74.58,93.42,76.40,79.95,67.81,80.67,74.24
Greece,GRC,2021,76.79,43,78.15,37,94.44,57.89,59.02,85.02,74.09,94.32,90.72,92.07,72.54,87.41,53.94,67.52,68.25,85.72,68.86,74.58,93.42,76.40,79.95,67.81,80.67,74.24
Greece,GRC,2020,77.98,39,77.87,37,94.44,57.89,59.02,85.02,74.09,94.45,95.15,93.72,81.14,91.12,52.15,67.05,69.95,85.72,68.72,73.07,93.42,76.40,79.95,67.84,80.67,73.72
Greece,GRC,2019,77.95,39,77.96,37,94.44,57.89,58.34,84.70,73.85,95.91,93.84,95.67,87.15,93.14,51.00,68.07,63.55,84.84,66.86,74.74,94.44,76.40,79.95,67.84,78.61,73.72
Greece,GRC,2018,77.59,39,78.54,36,94.44,57.89,57.94,82.10,73.09,96.01,93.45,95.26,89.64,93.59,49.63,67.75,63.55,83.44,66.09,74.40,94.72,76.87,80.48,74.93,74.50,73.85
Greece,GRC,2017,77.90,40,77.29,37,94.44,63.16,59.43,82.73,74.94,96.01,94.30,96.40,89.64,94.09,48.81,62.90,65.67,81.35,64.68,74.06,93.79,73.36,81.27,73.25,71.00,74.31
Greece,GRC,2016,77.79,43,76.19,39,94.44,63.16,59.84,82.00,74.86,95.81,95.32,97.01,89.64,94.44,47.39,61.93,65.67,81.30,64.07,73.83,93.98,71.96,80.92,70.87,67.35,74.44
Greece,GRC,2015,78.03,42,75.91,39,94.44,63.16,62.01,81.58,75.30,95.49,95.32,97.43,89.64,94.47,47.77,59.73,66.09,83.70,64.32,73.85,93.32,69.63,79.90,70.87,69.18,74.64
Greece,GRC,2014,79.47,37,75.74,39,94.44,63.16,61.19,87.20,76.50,96.84,95.32,98.04,89.95,95.04,48.53,61.55,71.00,86.44,66.88,73.76,93.97,70.09,79.41,70.22,66.82,75.89
Greece,GRC,2013,79.49,36,74.96,42,94.44,68.42,59.97,84.18,76.76,96.84,94.21,97.94,89.95,94.74,49.83,60.92,71.00,86.13,66.97,73.56,93.78,69.39,78.25,69.69,64.12,75.95
