Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Guatemala,GTM,2022,60.83,91,57.98,121,75.00,73.68,44.78,78.67,68.03,81.90,70.13,74.25,50.98,69.32,25.90,56.45,42.94,55.27,45.14,53.01,81.17,40.89,83.29,81.19,20.60,45.73
Guatemala,GTM,2021,60.83,91,57.98,121,75.00,73.68,44.78,78.67,68.03,81.90,70.13,74.25,50.98,69.32,25.90,56.45,42.94,55.27,45.14,53.01,81.17,40.89,83.29,81.19,20.60,45.73
Guatemala,GTM,2020,64.01,81,57.62,124,75.00,73.68,44.78,78.67,68.03,84.02,68.24,81.98,70.16,76.10,27.25,55.91,47.04,61.39,47.90,51.97,81.17,40.89,83.29,81.15,20.60,44.28
Guatemala,GTM,2019,64.89,78,57.68,124,75.00,73.68,43.96,86.26,69.73,83.85,70.64,81.15,74.61,77.56,29.66,52.78,47.04,60.04,47.38,52.52,80.75,40.89,83.29,81.15,20.60,44.55
Guatemala,GTM,2018,64.99,80,57.76,121,75.00,73.68,43.96,86.37,69.75,85.10,70.64,80.02,72.75,77.13,30.84,53.49,47.04,60.94,48.08,52.12,80.30,40.89,83.22,81.15,20.82,45.80
Guatemala,GTM,2017,65.99,74,57.53,123,75.00,68.42,44.23,86.68,68.58,86.79,69.92,83.11,78.45,79.57,31.46,51.22,48.55,68.06,49.82,51.82,79.83,40.89,82.96,81.15,21.03,45.01
Guatemala,GTM,2016,66.24,72,57.44,122,75.00,68.42,43.96,88.24,68.91,87.44,67.52,83.21,82.80,80.24,31.84,53.41,48.16,64.89,49.58,51.56,79.33,40.89,82.27,81.15,21.25,45.60
Guatemala,GTM,2015,65.83,73,57.31,122,75.00,68.42,44.64,88.45,69.13,86.01,67.13,82.08,82.80,79.51,30.76,51.13,47.15,66.36,48.85,51.39,78.79,40.89,81.84,81.15,21.47,45.66
Guatemala,GTM,2014,65.54,73,56.96,122,75.00,68.42,43.69,87.83,68.73,85.30,67.13,81.67,81.04,78.78,30.57,51.12,51.26,63.47,49.10,50.97,78.20,40.89,81.50,81.15,21.48,44.55
Guatemala,GTM,2013,65.16,73,53.93,132,75.00,63.16,43.01,88.76,67.48,84.99,67.13,82.49,81.04,78.91,32.27,50.74,51.26,62.01,49.07,50.50,77.57,26.17,81.15,81.15,17.79,43.17
Guatemala,GTM,2012,64.03,78,53.59,131,75.00,63.16,43.01,88.66,67.46,85.22,65.39,82.39,76.17,77.29,31.18,51.56,51.26,55.34,47.34,50.16,76.89,26.17,80.78,81.15,17.33,42.64
Guatemala,GTM,2011,64.06,79,53.36,130,75.00,63.16,41.66,88.45,67.07,85.45,65.39,83.01,77.82,77.92,33.43,49.33,51.26,54.81,47.21,49.95,76.19,26.17,80.33,81.15,16.52,43.23
Guatemala,GTM,2010,63.93,77,52.87,130,75.00,63.16,40.16,88.45,66.69,85.55,65.39,83.01,79.48,78.36,33.43,47.12,51.26,55.12,46.73,49.54,75.49,26.17,80.01,81.15,15.71,42.05
Guatemala,GTM,2009,63.01,76,52.36,129,75.00,52.63,40.03,88.87,64.13,85.53,65.39,83.01,80.10,78.51,33.63,45.65,51.26,55.06,46.40,49.36,74.79,26.17,79.83,81.15,14.91,40.34
