Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Guyana,GUY,2022,63.29,84,66.75,81,76.39,57.89,50.61,60.87,61.44,78.13,87.44,89.91,29.43,71.23,42.71,61.48,52.34,72.27,57.20,69.57,72.76,48.36,79.83,87.76,37.62,71.35
Guyana,GUY,2021,63.29,84,66.75,81,76.39,57.89,50.61,60.87,61.44,78.13,87.44,89.91,29.43,71.23,42.71,61.48,52.34,72.27,57.20,69.57,72.76,48.36,79.83,87.76,37.62,71.35
Guyana,GUY,2020,64.15,80,66.20,87,76.39,57.89,50.61,60.87,61.44,80.86,89.62,91.45,34.09,74.01,41.03,61.63,52.28,73.03,56.99,66.39,72.76,48.36,79.83,87.75,37.62,70.70
Guyana,GUY,2019,64.13,82,65.28,92,76.39,57.89,50.20,59.94,61.11,85.61,85.78,91.45,33.99,74.21,41.81,59.40,51.94,75.08,57.06,59.97,72.55,48.36,79.83,87.75,37.39,71.09
Guyana,GUY,2018,65.51,78,64.94,93,76.39,63.16,50.34,60.46,62.59,86.81,87.33,94.03,35.03,75.80,41.91,60.59,54.98,75.09,58.14,59.12,72.30,48.36,79.43,87.75,36.68,70.96
Guyana,GUY,2017,65.84,76,64.61,93,76.39,63.16,50.20,63.48,63.31,86.33,88.40,94.54,39.48,77.19,38.43,63.52,54.98,71.23,57.04,58.42,72.02,48.36,78.92,87.75,35.97,70.83
Guyana,GUY,2016,64.61,78,64.26,94,76.39,42.11,45.05,70.45,58.50,86.37,88.70,93.72,40.00,77.20,40.45,63.86,54.98,73.25,58.14,57.85,71.70,48.36,77.88,87.75,35.28,70.96
Guyana,GUY,2015,63.82,82,64.26,92,76.39,47.37,43.83,70.45,59.51,85.36,84.22,93.82,39.90,75.83,36.49,61.56,55.75,70.72,56.13,57.27,71.34,48.36,77.29,92.50,34.61,68.46
Guyana,GUY,2014,60.63,92,64.05,91,76.39,47.37,42.88,71.28,59.48,85.23,72.92,86.20,36.06,70.11,36.28,61.64,47.28,63.99,52.30,57.24,70.95,48.36,77.39,92.50,33.94,67.94
Guyana,GUY,2013,59.93,93,64.10,90,76.39,36.84,43.15,77.11,58.37,85.23,72.92,85.99,36.58,70.18,38.52,55.15,47.28,63.99,51.23,57.04,70.52,48.36,78.01,92.50,33.28,68.99
Guyana,GUY,2012,58.73,98,64.00,91,76.39,31.58,43.55,77.00,57.13,83.27,72.92,83.52,35.65,68.84,37.28,54.28,43.61,65.67,50.21,56.48,70.06,48.36,78.06,92.50,32.64,69.91
Guyana,GUY,2011,58.68,98,63.54,91,76.39,31.58,42.74,76.90,56.90,83.24,73.30,83.42,34.20,68.54,39.10,55.60,42.45,65.30,50.61,55.62,69.59,48.36,78.48,92.50,32.56,67.67
Guyana,GUY,2010,58.59,97,62.94,91,76.39,31.58,43.83,77.00,57.20,83.78,71.28,82.80,34.20,68.02,39.34,55.10,42.45,65.30,50.55,54.74,69.10,48.36,78.53,92.50,30.83,66.49
Guyana,GUY,2009,58.79,94,62.38,92,76.39,42.11,45.18,77.32,60.25,84.12,68.21,82.39,34.20,67.23,39.00,51.64,42.01,62.97,48.90,54.12,68.60,48.36,78.87,92.50,29.85,64.39
Guyana,GUY,2008,58.72,97,61.99,92,76.39,42.11,43.83,77.63,59.99,84.12,68.85,82.18,34.20,67.34,38.84,51.56,42.01,62.97,48.85,53.45,68.09,48.36,78.49,92.50,29.05,63.99
Guyana,GUY,2007,59.87,88,61.72,90,76.39,52.63,43.83,77.42,62.57,84.12,68.95,82.60,34.20,67.46,40.12,53.06,42.01,63.16,49.59,53.17,67.58,48.36,78.53,92.50,27.90,63.99
Guyana,GUY,2006,59.17,92,61.14,89,76.39,52.63,42.47,76.59,62.02,83.77,68.95,81.77,34.20,67.17,37.36,49.53,42.01,64.39,48.32,51.92,67.07,48.36,78.63,92.50,27.59,61.89
