Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Honduras,HND,2022,54.53,109,58.16,118,63.89,68.42,35.28,63.16,57.69,71.71,74.07,84.65,24.97,63.85,26.75,52.00,31.48,58.00,42.06,44.97,82.89,41.12,80.63,83.43,24.82,49.28
Honduras,HND,2021,54.53,110,58.16,118,63.89,68.42,35.28,63.16,57.69,71.71,74.07,84.65,24.97,63.85,26.75,52.00,31.48,58.00,42.06,44.97,82.89,41.12,80.63,83.43,24.82,49.28
Honduras,HND,2020,54.55,111,57.57,125,63.89,68.42,35.28,63.16,57.69,70.76,78.89,82.08,24.25,64.00,29.67,54.90,28.74,54.59,41.98,43.13,82.89,41.12,80.63,83.48,24.82,46.91
Honduras,HND,2019,55.60,106,57.94,122,63.89,68.42,34.19,71.18,59.42,69.30,77.89,82.08,26.84,64.03,31.20,52.75,36.76,52.69,43.35,45.11,82.56,41.12,80.63,83.48,24.82,47.83
Honduras,HND,2018,56.30,106,57.01,124,63.89,68.42,34.19,71.18,59.42,69.99,78.39,82.60,29.33,65.08,33.72,53.65,36.76,53.51,44.41,44.94,82.22,39.49,80.51,83.48,21.27,47.17
Honduras,HND,2017,54.61,113,57.06,124,63.89,68.42,33.11,71.59,59.25,74.30,70.51,77.03,26.42,62.07,33.65,52.95,34.80,48.59,42.50,44.56,81.86,38.32,80.28,83.48,21.62,49.28
Honduras,HND,2016,54.68,113,56.78,124,63.89,63.16,31.07,71.28,57.35,74.45,73.31,77.03,26.42,62.80,32.02,55.62,37.47,50.39,43.88,44.01,81.50,37.38,79.60,83.48,22.23,49.28
Honduras,HND,2015,54.72,110,56.77,123,63.89,63.16,35.28,72.74,58.77,74.74,74.86,77.03,26.42,63.26,32.07,54.90,35.74,45.85,42.14,43.63,81.11,38.79,79.00,83.48,21.45,49.93
Honduras,HND,2014,56.08,105,56.12,127,63.89,63.16,38.13,72.32,59.37,74.74,77.87,78.27,26.42,64.32,29.65,53.58,37.63,57.24,44.53,43.27,80.71,37.15,78.70,83.48,20.51,49.01
Honduras,HND,2013,55.13,110,55.55,128,56.94,68.42,36.09,75.13,59.15,73.51,77.87,78.27,23.94,63.40,28.76,55.51,29.90,57.24,42.85,43.04,80.28,36.92,78.46,83.48,19.78,46.91
Honduras,HND,2012,52.87,114,54.36,128,56.94,68.42,27.82,74.92,57.03,73.46,72.38,78.27,22.07,61.55,28.97,57.30,29.90,43.93,40.03,42.87,79.84,28.97,78.37,83.48,19.01,47.96
Honduras,HND,2011,53.92,113,54.84,127,56.94,63.16,33.79,75.34,57.31,73.93,70.66,77.75,22.07,61.10,32.12,56.49,29.90,54.82,43.33,42.48,79.38,30.84,79.74,83.48,19.50,48.49
Honduras,HND,2010,53.07,109,54.31,127,56.94,63.16,35.28,74.51,57.47,73.15,69.29,75.39,22.07,59.97,30.29,54.33,29.90,52.53,41.76,42.15,78.91,29.67,80.89,83.48,19.19,45.86
Honduras,HND,2009,53.97,108,53.92,126,56.94,52.63,33.51,77.63,55.18,77.61,62.85,70.03,44.66,63.79,29.68,58.15,33.83,50.09,42.94,41.86,78.43,33.88,81.50,79.21,18.46,44.09
Honduras,HND,2008,55.95,102,53.58,125,56.94,52.63,34.87,80.54,56.25,80.54,77.33,85.58,23.94,66.85,30.15,53.72,36.78,58.42,44.77,42.68,77.95,24.07,81.80,84.47,17.73,46.39
Honduras,HND,2007,55.97,102,53.15,123,56.94,52.63,37.04,78.25,56.22,80.69,77.49,85.58,19.59,65.84,32.30,55.54,36.78,58.86,45.87,42.33,77.47,23.36,81.87,84.47,16.97,45.60
Honduras,HND,2006,55.35,102,52.26,124,56.94,52.63,36.23,77.84,55.91,80.69,77.49,85.17,19.59,65.73,30.71,50.87,36.78,59.21,44.39,41.65,76.99,19.39,81.75,84.47,16.75,44.81
Honduras,HND,2005,53.05,108,51.37,125,56.94,31.58,32.29,76.69,49.38,83.59,75.39,84.55,19.59,65.78,30.67,51.77,35.01,58.53,43.99,40.92,76.50,14.72,81.60,84.47,16.53,44.88
Honduras,HND,2004,52.84,108,51.54,123,56.94,31.58,30.39,73.05,47.99,83.97,75.23,84.55,19.59,65.83,28.82,56.47,35.01,58.53,44.71,40.29,76.02,17.99,81.33,84.47,16.11,44.55
Honduras,HND,2003,54.62,103,51.03,122,56.94,52.63,28.63,75.65,53.46,83.97,75.23,84.55,19.59,65.83,28.03,56.70,35.01,58.53,44.57,39.65,75.54,17.99,81.13,84.47,15.69,42.77
Honduras,HND,2002,54.15,101,51.52,122,56.94,52.63,28.09,73.57,52.81,83.97,74.07,82.08,19.59,64.93,28.35,59.28,35.01,56.25,44.72,39.30,75.05,23.60,80.85,84.47,15.28,42.12
Honduras,HND,2001,54.59,101,51.35,120,56.94,52.63,28.22,72.53,52.58,83.89,74.07,82.08,19.59,64.91,30.00,62.80,35.01,57.38,46.30,39.10,74.54,24.30,80.46,84.47,14.87,41.72
Honduras,HND,2000,54.12,100,51.20,118,56.94,52.63,27.95,72.74,52.57,83.89,70.96,82.08,19.59,64.13,30.00,62.80,35.01,54.82,45.66,39.10,74.01,24.30,80.14,84.47,14.47,41.92
Honduras,HND,1999,54.02,99,51.55,116,56.94,52.63,26.19,79.71,53.87,83.89,70.96,82.08,14.40,62.84,29.15,64.99,31.30,55.99,45.36,38.32,73.43,24.30,79.59,84.47,14.07,46.65
Honduras,HND,1998,53.56,100,50.69,117,56.94,52.63,26.19,79.71,53.87,83.89,70.96,81.57,14.40,62.71,29.15,64.99,31.30,51.03,44.12,38.96,72.80,19.63,79.07,84.47,13.68,46.25
Honduras,HND,1997,52.22,105,51.89,112,56.94,52.63,26.19,79.71,53.87,84.50,70.96,80.74,14.40,62.65,27.07,54.87,27.66,50.95,40.14,38.84,72.12,30.61,78.46,84.47,13.30,45.47
Honduras,HND,1996,52.03,107,50.56,118,56.94,52.63,26.19,79.71,53.87,84.56,69.30,80.74,14.40,62.25,27.07,54.87,27.66,50.31,39.98,38.55,71.38,23.60,77.81,84.47,12.92,45.20
Honduras,HND,1995,51.55,109,50.53,118,56.94,52.63,26.19,79.71,53.87,84.56,69.48,78.78,14.40,61.81,27.07,54.87,27.66,46.34,38.98,38.73,70.61,24.07,78.20,84.47,12.54,45.07
