Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Croatia,HRV,2022,78.38,37,76.87,39,100.00,78.95,60.92,81.89,80.44,94.62,88.67,83.32,80.52,86.78,53.78,78.72,59.29,79.87,67.92,75.54,87.14,86.21,72.80,80.70,64.89,70.83
Croatia,HRV,2021,78.38,37,76.87,39,100.00,78.95,60.92,81.89,80.44,94.62,88.67,83.32,80.52,86.78,53.78,78.72,59.29,79.87,67.92,75.54,87.14,86.21,72.80,80.70,64.89,70.83
Croatia,HRV,2020,78.17,38,76.40,39,100.00,78.95,60.92,81.89,80.44,94.75,85.40,83.42,85.60,87.29,54.05,76.77,55.26,81.02,66.77,73.08,87.14,86.21,72.80,80.62,64.89,70.04
Croatia,HRV,2019,78.38,38,76.75,40,100.00,78.95,60.24,86.68,81.47,93.57,88.23,83.21,85.08,87.52,52.93,78.46,55.26,78.01,66.16,74.52,88.44,86.21,72.80,80.62,64.89,69.78
Croatia,HRV,2018,78.73,38,76.43,41,100.00,78.95,59.84,86.68,81.37,93.54,93.79,81.98,82.18,87.87,53.46,80.65,55.26,78.48,66.96,73.80,87.78,84.35,73.31,80.62,64.45,70.70
Croatia,HRV,2017,78.63,38,75.98,42,100.00,78.95,59.43,86.89,81.32,93.33,93.13,82.60,83.83,88.22,53.85,78.40,55.26,77.87,66.35,73.13,87.33,82.71,73.67,80.62,63.92,70.50
Croatia,HRV,2016,79.02,37,75.56,42,100.00,78.95,59.70,85.85,81.12,94.94,95.16,83.93,85.49,89.88,53.78,77.83,55.26,77.30,66.04,72.31,87.69,81.54,73.22,80.62,63.03,70.50
Croatia,HRV,2015,80.33,36,75.26,42,100.00,84.21,61.47,86.16,82.96,97.12,96.38,89.70,84.15,91.84,54.62,76.35,56.47,77.30,66.19,71.55,86.30,81.07,70.37,85.56,62.47,69.51
Croatia,HRV,2014,80.40,35,75.05,43,100.00,84.21,60.52,85.43,82.54,96.73,96.38,91.76,82.69,91.89,56.28,76.93,56.47,77.44,66.78,70.96,86.68,78.74,71.17,85.56,61.96,70.30
Croatia,HRV,2013,79.97,35,74.81,43,100.00,78.95,60.38,81.58,80.23,97.30,96.38,91.25,83.32,92.06,55.22,77.40,60.41,77.44,67.62,70.95,86.02,78.97,71.13,85.56,60.86,70.17
Croatia,HRV,2012,80.69,35,73.99,44,100.00,73.68,60.65,82.00,79.08,97.84,96.18,94.64,85.80,93.62,53.69,76.68,67.37,79.74,69.37,70.96,85.64,77.80,69.73,85.56,58.62,69.58
Croatia,HRV,2011,80.18,35,73.84,45,100.00,73.68,60.65,81.17,78.88,97.79,96.43,94.64,84.35,93.30,52.53,77.02,64.15,79.74,68.36,71.32,85.37,78.27,69.19,85.56,56.99,70.17
Croatia,HRV,2010,77.94,41,73.30,45,79.17,68.42,61.47,81.58,72.66,97.48,96.43,93.72,83.21,92.71,53.30,76.71,64.15,79.60,68.44,71.27,84.81,78.04,68.38,85.56,55.81,69.25
Croatia,HRV,2009,73.37,50,72.83,45,68.06,52.63,52.92,80.65,63.56,94.50,95.27,92.28,80.41,90.61,52.09,76.80,60.20,74.60,65.92,71.46,84.23,77.57,67.57,85.56,54.21,69.19
Croatia,HRV,2008,72.50,52,72.92,44,68.06,52.63,53.05,80.02,63.44,94.68,95.27,91.56,75.65,89.29,52.35,76.01,56.19,74.60,64.79,72.80,83.76,77.57,65.76,85.56,53.64,71.35
Croatia,HRV,2007,72.39,51,72.49,45,68.06,52.63,52.78,80.12,63.40,94.76,95.27,90.94,74.61,88.89,52.39,76.65,56.19,74.27,64.87,72.46,83.37,77.57,65.43,85.56,53.52,69.51
Croatia,HRV,2006,72.22,52,71.84,46,68.06,52.63,52.10,79.40,63.05,94.58,95.27,91.25,73.99,88.77,53.23,75.75,56.19,74.27,64.86,71.59,83.62,77.57,65.71,83.54,52.77,68.07
Croatia,HRV,2005,71.71,51,71.05,46,68.06,52.63,47.35,78.77,61.70,94.52,95.27,91.25,75.75,89.20,53.28,73.19,56.19,74.27,64.23,70.73,82.51,77.57,64.67,83.54,51.00,67.35
Croatia,HRV,2004,71.33,52,70.69,46,68.06,52.63,44.64,73.78,59.78,93.22,95.27,91.86,70.78,87.78,54.31,78.30,58.84,74.27,66.43,69.99,83.02,77.57,65.00,83.54,49.13,66.56
Croatia,HRV,2003,71.60,53,69.69,47,68.06,52.63,43.15,76.17,60.00,94.54,95.27,92.79,74.51,89.28,53.23,75.70,58.84,74.27,65.51,69.26,81.33,77.57,63.57,83.54,47.29,65.24
Croatia,HRV,2002,71.19,54,69.17,46,68.06,52.63,43.01,70.97,58.67,94.36,95.27,92.28,74.51,89.10,52.96,77.12,58.84,74.27,65.80,68.30,81.53,77.57,64.24,83.54,45.45,63.53
Croatia,HRV,2001,70.37,53,68.68,45,68.06,52.63,43.15,71.07,58.73,94.36,95.27,92.89,74.51,89.26,50.35,70.07,58.84,73.24,63.12,67.31,81.14,77.57,64.69,83.54,43.66,62.88
