Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Haiti,HTI,2022,47.25,129,50.13,159,58.33,31.58,10.58,84.39,46.22,61.89,65.88,70.34,78.34,69.11,8.33,42.21,26.21,28.94,26.42,32.49,62.11,57.71,60.70,82.31,18.42,37.19
Haiti,HTI,2021,48.57,123,50.13,159,58.33,47.37,10.58,84.39,50.17,61.89,65.88,70.34,78.34,69.11,8.33,42.21,26.21,28.94,26.42,32.49,62.11,57.71,60.70,82.31,18.42,37.19
Haiti,HTI,2020,49.86,123,50.08,160,58.33,47.37,10.58,84.39,50.17,75.70,65.64,69.52,76.17,71.76,10.43,43.50,26.21,30.46,27.65,33.03,62.11,57.71,60.70,82.32,18.42,36.27
Haiti,HTI,2019,50.83,121,49.89,160,58.33,47.37,10.58,81.17,49.36,76.84,66.00,76.21,80.73,74.94,10.82,46.34,26.21,29.38,28.19,33.87,61.52,57.71,60.70,82.32,18.42,34.69
Haiti,HTI,2018,51.43,120,49.49,160,58.33,47.37,10.45,81.17,49.33,76.84,63.81,78.99,80.41,75.01,12.72,51.44,26.21,29.44,29.95,34.40,60.89,57.71,60.00,80.05,17.76,35.61
Haiti,HTI,2017,50.80,120,48.76,163,52.78,42.11,12.75,82.83,47.62,76.37,66.63,78.37,81.04,75.60,11.28,50.74,26.21,28.55,29.19,34.33,60.20,57.71,59.35,76.91,17.51,35.35
Haiti,HTI,2016,51.58,121,49.61,158,52.78,42.11,13.16,83.14,47.80,75.69,73.26,80.33,81.04,77.58,9.91,49.33,29.55,28.73,29.38,34.12,59.46,57.71,58.46,84.72,16.68,36.14
Haiti,HTI,2015,50.84,122,49.48,158,52.78,42.11,12.62,86.37,48.47,76.65,72.37,77.65,69.64,74.08,11.76,50.81,27.39,29.93,29.97,34.04,58.70,57.71,57.84,84.72,16.31,37.06
Haiti,HTI,2014,51.97,118,49.34,157,52.78,42.11,12.75,88.76,49.10,78.22,72.37,77.65,79.38,76.91,11.42,51.36,27.39,29.47,29.91,33.83,57.92,57.71,57.40,84.72,15.87,37.98
Haiti,HTI,2013,50.72,121,48.94,157,52.78,31.58,11.94,78.98,43.82,78.22,72.37,77.65,79.38,76.91,17.71,51.62,27.39,29.02,31.44,33.78,57.15,57.71,56.98,84.72,15.42,36.79
Haiti,HTI,2012,50.52,121,48.45,157,52.78,31.58,11.40,78.67,43.61,78.64,74.73,78.68,79.38,77.86,15.78,48.44,26.29,29.88,30.10,33.28,56.41,57.71,56.57,84.72,14.98,35.48
Haiti,HTI,2011,49.84,122,48.19,155,52.78,31.58,10.04,77.11,42.88,77.82,73.18,80.54,79.38,77.73,15.43,44.34,26.29,29.63,28.92,33.45,55.70,57.71,55.86,84.72,14.55,35.35
Haiti,HTI,2010,50.40,119,47.77,153,52.78,31.58,10.18,77.00,42.88,79.38,76.01,80.64,80.31,79.08,16.44,45.35,26.29,28.80,29.22,32.83,55.01,57.71,56.09,84.72,13.86,34.17
Haiti,HTI,2009,52.21,113,47.28,154,52.78,31.58,17.77,78.36,45.12,79.95,76.01,80.54,80.31,79.20,18.97,45.01,26.29,39.02,32.32,34.15,54.33,57.71,55.58,84.72,13.46,31.01
Haiti,HTI,2008,51.52,116,46.93,152,52.78,31.58,17.77,78.88,45.25,79.95,76.01,81.57,80.31,79.46,19.65,36.39,26.29,37.13,29.86,33.40,53.65,57.71,54.97,84.72,13.06,31.01
Haiti,HTI,2007,51.43,115,45.69,153,52.78,31.58,17.77,76.48,44.65,79.92,76.01,81.77,80.31,79.50,18.67,37.67,26.29,37.94,30.14,33.21,52.95,57.71,54.40,84.72,12.67,24.18
Haiti,HTI,2006,49.40,119,44.99,152,52.78,31.58,17.64,73.99,44.00,77.44,67.02,78.27,80.31,75.76,18.47,36.22,26.29,32.84,28.46,32.67,52.24,57.71,53.88,78.39,12.28,27.73
Haiti,HTI,2005,43.25,136,44.46,150,52.78,31.58,19.00,73.36,44.18,45.53,63.72,77.34,61.45,62.01,17.32,27.86,25.05,23.99,23.56,32.65,51.54,57.71,53.30,78.39,11.89,25.76
