Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Hungary,HUN,2022,71.61,57,76.69,40,93.06,84.21,64.04,79.29,80.15,75.28,90.37,66.01,59.59,72.81,53.94,81.83,40.98,70.73,61.87,76.92,83.20,83.64,69.42,79.83,64.86,78.98
Hungary,HUN,2021,71.61,57,76.69,40,93.06,84.21,64.04,79.29,80.15,75.28,90.37,66.01,59.59,72.81,53.94,81.83,40.98,70.73,61.87,76.92,83.20,83.64,69.42,79.83,64.86,78.98
Hungary,HUN,2020,71.57,57,76.36,40,93.06,84.21,64.04,79.29,80.15,76.24,89.29,65.09,61.14,72.94,53.97,81.46,40.98,70.05,61.62,75.61,83.20,83.64,69.42,79.86,64.86,77.92
Hungary,HUN,2019,72.32,57,76.78,39,93.06,84.21,63.50,87.30,82.02,77.35,90.74,64.37,61.14,73.40,52.70,80.03,43.75,69.74,61.56,76.40,84.52,83.64,69.42,80.77,64.38,78.32
Hungary,HUN,2018,72.69,55,76.62,40,93.06,84.21,63.64,87.10,82.00,79.02,90.20,65.81,61.14,74.04,52.94,79.52,46.26,69.35,62.02,75.58,84.04,84.58,68.55,80.77,64.31,78.52
Hungary,HUN,2017,73.81,51,76.04,41,93.06,78.95,62.42,86.99,80.35,83.00,91.38,71.78,67.15,78.33,53.74,80.72,45.98,70.52,62.74,74.62,83.58,82.24,68.80,80.77,64.14,78.12
Hungary,HUN,2016,74.29,51,76.00,40,93.06,78.95,61.60,85.95,79.89,83.83,91.53,80.43,65.91,80.43,53.28,77.65,47.60,71.66,62.55,73.82,84.04,82.94,68.66,80.77,63.29,78.45
Hungary,HUN,2015,74.61,48,75.47,41,93.06,78.95,61.74,85.54,79.82,84.04,91.53,81.26,67.36,81.05,54.31,79.50,47.60,70.50,62.98,73.38,83.11,82.71,66.67,80.77,63.49,78.19
Hungary,HUN,2014,75.58,46,75.43,42,93.06,78.95,63.64,89.18,81.20,87.64,91.90,83.73,67.46,82.68,54.88,77.96,47.60,70.95,62.85,72.68,83.48,81.54,66.61,80.77,63.95,78.98
Hungary,HUN,2013,75.97,46,75.27,41,93.06,78.95,64.86,82.83,79.92,90.93,91.90,84.45,67.77,83.76,57.44,80.52,47.60,71.29,64.22,71.88,83.11,80.14,65.86,80.77,66.08,79.04
Hungary,HUN,2012,75.81,45,74.66,42,86.11,73.68,64.45,82.52,76.69,94.15,93.12,88.26,70.36,86.47,56.77,78.07,51.73,70.45,64.26,71.51,82.17,81.78,64.16,80.77,63.54,78.71
Hungary,HUN,2011,76.94,44,75.10,40,86.11,78.95,62.96,83.14,77.79,94.41,93.54,88.67,73.26,87.47,57.58,79.44,51.73,73.48,65.56,71.65,81.79,85.51,63.46,80.27,63.78,79.24
Hungary,HUN,2010,78.34,40,76.09,36,86.11,78.95,65.54,85.22,78.95,94.59,95.38,90.63,74.61,88.80,57.20,78.28,57.24,76.35,67.27,71.26,80.57,85.05,62.77,90.63,63.86,78.52
Hungary,HUN,2009,82.44,27,77.04,33,86.11,84.21,66.49,84.91,80.43,96.20,96.24,96.81,89.33,94.65,58.48,75.26,70.47,84.73,72.24,71.03,80.01,90.65,62.10,94.16,63.26,78.06
Hungary,HUN,2008,82.54,27,77.08,33,86.11,84.21,64.99,83.87,79.80,96.20,96.24,96.81,87.88,94.28,59.18,79.58,70.47,84.97,73.55,72.23,79.63,89.49,62.15,94.16,62.24,79.63
Hungary,HUN,2007,82.11,27,76.28,33,86.11,73.68,68.39,84.29,78.12,96.20,96.24,96.81,88.29,94.39,60.96,79.52,70.47,84.38,73.83,72.02,78.60,88.55,60.92,94.16,60.91,78.78
Hungary,HUN,2006,82.34,27,75.75,34,86.11,73.68,68.11,85.43,78.34,96.13,95.25,97.32,87.56,94.07,62.90,84.35,67.92,83.35,74.63,71.94,78.50,87.62,61.17,94.16,59.58,77.27
Hungary,HUN,2005,82.58,26,72.89,39,86.11,73.68,67.30,84.81,77.98,95.93,96.80,97.32,87.56,94.40,61.87,84.70,70.33,84.53,75.36,71.21,77.66,72.66,60.09,94.16,57.83,76.61
Hungary,HUN,2004,82.51,26,74.16,36,86.11,73.68,63.36,88.97,78.03,95.93,96.80,97.32,87.56,94.40,62.90,81.16,70.33,85.99,75.10,70.42,77.66,83.88,60.52,94.16,56.24,76.22
Hungary,HUN,2003,82.93,25,73.65,36,86.11,73.68,64.04,87.20,77.76,95.93,96.80,97.32,87.56,94.40,62.82,87.31,70.33,85.99,76.61,69.50,77.01,83.88,59.72,94.16,56.47,74.84
Hungary,HUN,2002,82.97,26,73.23,36,86.11,73.68,64.59,87.20,77.90,95.93,96.80,97.53,83.83,93.52,63.75,89.92,70.33,85.99,77.50,68.73,77.10,83.88,59.85,94.16,54.33,74.57
Hungary,HUN,2001,82.61,25,72.71,35,86.11,73.68,65.40,88.45,78.41,95.95,96.80,97.01,83.11,93.22,65.51,82.99,70.33,85.99,76.21,67.84,76.92,83.88,59.80,94.16,52.38,73.98
Hungary,HUN,2000,81.38,28,71.87,36,86.11,73.68,65.94,73.57,74.83,95.95,96.80,97.01,83.11,93.22,65.51,82.99,70.33,85.57,76.10,67.08,75.05,83.88,58.15,94.16,50.82,73.92
Hungary,HUN,1999,81.73,27,71.29,36,86.11,73.68,67.84,70.55,74.55,95.95,96.80,97.01,83.11,93.22,65.00,89.08,70.33,85.33,77.44,66.25,73.98,83.88,54.82,94.16,49.18,76.74
Hungary,HUN,1998,82.05,26,70.73,38,86.11,73.68,67.84,70.55,74.55,95.95,96.80,97.01,85.08,93.71,65.00,89.08,70.33,87.11,77.88,65.65,73.76,83.88,53.62,94.16,47.27,76.74
Hungary,HUN,1997,81.60,27,70.30,38,86.11,73.68,67.84,70.55,74.55,95.93,96.80,97.53,85.08,93.83,63.50,84.77,70.33,87.11,76.43,64.92,74.03,83.88,52.76,94.16,45.57,76.74
Hungary,HUN,1996,81.25,28,69.59,39,86.11,73.68,67.84,70.55,74.55,95.93,96.80,97.53,85.08,93.83,63.50,84.77,67.40,85.81,75.37,64.32,73.33,83.88,51.09,94.16,43.72,76.61
Hungary,HUN,1995,81.36,27,68.78,39,86.11,73.68,67.84,70.55,74.55,95.93,96.80,97.53,85.08,93.83,63.50,84.77,67.40,87.12,75.70,64.28,72.33,83.88,47.66,94.16,42.69,76.48
