Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Indonesia,IDN,2022,63.50,83,64.30,96,65.28,52.63,44.37,68.68,57.74,89.53,70.19,70.96,63.42,73.52,46.02,54.14,61.78,75.01,59.24,58.03,76.28,65.89,75.71,53.30,41.15,79.76
Indonesia,IDN,2021,63.50,83,64.30,96,65.28,52.63,44.37,68.68,57.74,89.53,70.19,70.96,63.42,73.52,46.02,54.14,61.78,75.01,59.24,58.03,76.28,65.89,75.71,53.30,41.15,79.76
Indonesia,IDN,2020,63.90,82,65.19,93,65.28,52.63,44.37,68.68,57.74,91.28,71.26,72.61,63.42,74.64,45.67,55.31,61.78,74.46,59.31,57.56,76.28,65.89,75.71,61.13,41.15,78.58
Indonesia,IDN,2019,64.93,77,65.28,91,65.28,47.37,44.37,73.05,57.52,90.84,72.00,77.34,71.61,77.95,43.64,54.40,61.78,77.44,59.31,58.13,75.92,65.89,75.71,62.81,40.18,78.32
Indonesia,IDN,2018,64.09,85,65.45,88,65.28,42.11,44.64,73.05,56.27,87.98,72.41,78.37,72.12,77.72,45.68,53.34,56.54,77.62,58.30,57.44,75.54,64.02,75.74,62.81,38.80,83.77
Indonesia,IDN,2017,64.26,83,65.02,91,65.28,36.84,44.78,72.42,54.83,90.74,73.27,81.26,73.78,79.76,43.96,54.31,56.54,77.90,58.18,56.74,75.11,63.08,75.73,62.81,38.13,83.51
Indonesia,IDN,2016,64.93,76,64.46,91,65.28,42.11,44.37,71.49,55.81,90.74,74.68,83.21,73.78,80.60,41.83,56.84,56.54,78.35,58.39,56.06,74.65,61.92,75.02,62.81,37.19,83.57
Indonesia,IDN,2015,64.24,80,63.67,95,65.28,42.11,40.71,71.38,54.87,90.74,75.29,84.35,75.44,81.45,38.33,51.94,56.54,78.74,56.39,55.39,74.15,59.35,74.17,62.81,36.84,82.98
Indonesia,IDN,2014,63.51,84,62.89,97,65.28,42.11,39.21,73.05,54.91,91.04,72.40,83.93,79.59,81.74,39.53,55.95,46.30,73.72,53.88,54.76,73.62,59.81,73.82,59.54,35.02,83.64
Indonesia,IDN,2013,62.23,87,62.09,101,65.28,36.84,38.81,68.89,52.45,91.83,71.97,85.38,77.62,81.70,36.98,53.88,46.30,72.99,52.54,54.12,73.06,58.41,73.33,57.67,34.70,83.31
Indonesia,IDN,2012,62.31,87,61.90,102,65.28,36.84,37.86,69.20,52.29,92.01,72.19,85.48,77.10,81.70,35.75,52.38,48.92,74.76,52.95,53.39,72.47,59.11,73.00,57.79,34.18,83.38
Indonesia,IDN,2011,61.89,85,61.49,100,65.28,36.84,37.04,68.89,52.01,92.01,72.76,85.48,77.10,81.84,35.08,48.80,48.92,74.54,51.83,52.58,71.87,59.11,72.87,57.79,32.94,83.25
Indonesia,IDN,2010,61.94,85,61.87,94,65.28,36.84,35.82,71.38,52.33,92.01,72.76,85.48,77.10,81.84,35.10,47.10,48.92,75.49,51.65,51.74,71.24,66.82,72.83,56.56,31.80,82.13
Indonesia,IDN,2009,61.11,86,61.81,95,65.28,31.58,36.36,71.90,51.28,92.35,72.56,84.96,75.23,81.28,33.46,49.18,48.92,71.52,50.77,50.89,70.58,69.63,72.87,57.34,30.84,80.49
Indonesia,IDN,2008,61.11,84,61.40,94,65.28,31.58,36.64,71.70,51.30,93.70,72.99,84.96,75.23,81.72,37.02,43.00,48.92,72.34,50.32,50.32,69.89,69.39,72.97,57.34,28.63,81.27
Indonesia,IDN,2007,60.75,83,61.16,93,65.28,31.58,33.92,72.11,50.72,93.70,73.40,85.38,75.23,81.93,36.66,40.14,48.92,72.64,49.59,49.50,69.18,67.99,73.18,59.25,28.44,80.55
Indonesia,IDN,2006,60.13,87,61.58,85,65.28,31.58,32.43,73.47,50.69,93.70,73.40,85.38,75.23,81.93,33.57,35.69,48.92,72.93,47.78,48.63,68.46,71.26,73.36,60.44,28.98,79.89
Indonesia,IDN,2005,59.56,87,61.60,83,65.28,31.58,31.61,71.49,49.99,93.70,73.40,85.38,75.23,81.93,31.51,33.65,48.92,72.93,46.75,47.91,67.75,74.07,73.53,60.44,27.78,79.70
Indonesia,IDN,2004,58.62,93,61.31,80,59.72,31.58,29.99,73.36,48.66,93.11,76.64,85.38,75.23,82.59,30.84,25.75,48.92,72.93,44.61,47.15,67.06,74.53,73.75,60.44,27.02,79.17
Indonesia,IDN,2003,59.12,91,62.14,72,45.83,52.63,32.16,75.03,51.41,91.43,76.64,86.92,75.23,82.56,29.70,21.97,48.92,72.93,43.38,46.51,66.43,76.64,73.81,67.20,25.71,78.65
Indonesia,IDN,2002,58.84,92,61.85,71,45.83,52.63,26.73,73.78,49.74,91.43,76.64,86.92,75.23,82.56,28.38,32.34,48.92,67.19,44.21,45.91,65.85,77.10,73.84,67.20,24.15,78.91
Indonesia,IDN,2001,57.75,93,62.54,65,45.83,52.63,21.57,73.88,48.48,91.43,75.03,86.92,72.75,81.53,32.89,24.00,48.92,67.19,43.25,45.36,65.32,83.64,73.82,67.20,22.83,79.63
Indonesia,IDN,2000,59.58,86,62.42,65,45.83,73.68,23.07,73.26,53.96,91.43,75.03,86.92,72.75,81.53,32.89,24.00,48.92,67.19,43.25,44.96,64.83,84.81,73.77,67.20,21.65,79.70
Indonesia,IDN,1999,56.06,94,61.75,66,45.83,73.68,22.80,64.41,51.68,84.70,73.41,79.92,56.68,73.68,26.65,29.33,50.61,64.70,42.82,44.35,64.35,78.74,73.61,66.13,20.84,84.23
Indonesia,IDN,1998,41.02,139,60.96,69,40.28,73.68,22.80,64.41,50.29,71.46,26.07,44.80,36.27,44.65,26.65,29.33,42.04,14.48,28.13,44.46,63.84,78.50,73.30,62.90,19.59,84.10
Indonesia,IDN,1997,35.17,154,58.98,79,40.28,73.68,22.80,64.41,50.29,62.83,20.04,15.55,1.55,24.99,29.92,41.49,36.94,12.49,30.21,47.25,63.30,70.56,73.02,56.40,18.47,83.84
Indonesia,IDN,1996,34.83,155,58.46,80,40.28,73.68,22.80,64.41,50.29,61.76,20.04,14.62,1.55,24.50,29.92,41.49,36.94,10.45,29.70,46.68,62.71,70.56,72.63,56.40,16.91,83.31
Indonesia,IDN,1995,33.17,154,57.90,81,40.28,52.63,22.80,64.41,45.03,61.76,21.20,14.62,1.55,24.79,29.92,41.49,36.94,10.45,29.70,45.60,62.07,70.56,72.11,56.40,15.66,82.92
