Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Ireland,IRL,2022,90.66,8,90.32,7,100.00,94.74,82.90,82.83,90.12,98.05,95.63,98.76,88.29,95.18,81.29,81.74,88.98,94.72,86.68,97.00,95.50,82.24,97.76,88.88,77.43,93.43
Ireland,IRL,2021,90.66,8,90.32,7,100.00,94.74,82.90,82.83,90.12,98.05,95.63,98.76,88.29,95.18,81.29,81.74,88.98,94.72,86.68,97.00,95.50,82.24,97.76,88.88,77.43,93.43
Ireland,IRL,2020,90.25,11,89.94,7,94.44,94.74,82.90,82.83,88.73,97.69,96.43,98.76,88.29,95.30,79.98,84.21,88.98,93.73,86.73,94.88,95.50,82.24,97.76,88.86,77.43,92.90
Ireland,IRL,2019,90.63,10,88.62,9,94.44,94.74,82.09,90.84,90.53,97.69,95.95,98.56,88.60,95.20,77.25,83.96,88.98,94.51,86.17,94.04,96.43,82.24,97.76,79.41,77.43,93.04
Ireland,IRL,2018,90.77,11,88.73,9,94.44,94.74,82.63,90.43,90.56,97.64,92.88,98.87,88.60,94.50,79.40,85.07,88.98,95.51,87.24,93.42,95.50,82.24,97.99,79.41,80.26,92.31
Ireland,IRL,2017,90.43,12,89.33,9,88.89,94.74,83.72,90.53,89.47,97.64,95.45,98.87,88.60,95.14,78.24,84.69,88.98,94.78,86.67,92.08,95.41,80.37,98.06,91.63,75.45,92.31
Ireland,IRL,2016,90.26,13,88.49,9,88.89,94.74,86.70,91.26,90.40,97.72,96.08,98.76,87.36,94.98,80.24,81.56,85.44,94.35,85.40,90.74,94.47,77.10,97.88,91.63,75.33,92.25
Ireland,IRL,2015,90.89,12,88.56,9,88.89,94.74,89.42,92.20,91.31,98.20,96.08,98.76,87.36,95.10,82.44,82.79,85.44,94.35,86.25,90.57,94.10,79.44,97.46,91.63,74.50,92.18
Ireland,IRL,2014,90.94,12,87.34,12,88.89,94.74,89.01,92.92,91.39,98.20,95.91,98.76,87.36,95.06,82.76,85.71,82.50,94.48,86.37,86.70,93.90,79.21,97.16,91.63,71.92,90.87
Ireland,IRL,2013,90.40,12,86.20,16,88.89,94.74,88.74,91.26,90.91,98.20,95.92,98.76,87.36,95.06,81.26,82.64,82.50,94.48,85.22,85.33,93.16,75.47,96.64,91.63,71.00,90.21
Ireland,IRL,2012,89.70,12,86.04,15,88.89,94.74,88.60,91.05,90.82,98.43,95.90,98.56,85.91,94.70,79.44,83.45,76.93,94.48,83.57,85.19,92.96,76.17,96.31,91.63,70.09,89.95
Ireland,IRL,2011,89.74,12,85.57,16,88.89,94.74,88.20,92.09,90.98,98.25,95.50,98.66,85.91,94.58,79.67,83.61,76.93,94.48,83.67,85.28,92.78,76.87,96.06,88.57,69.55,89.88
Ireland,IRL,2010,90.35,11,85.94,13,88.89,100.00,87.38,93.03,92.32,98.33,95.50,98.66,85.91,94.60,80.02,85.05,76.93,94.48,84.12,85.17,92.77,78.27,95.98,88.57,71.23,89.55
Ireland,IRL,2009,90.02,10,85.11,14,88.89,94.74,87.92,92.40,90.99,98.33,95.50,98.66,85.91,94.60,80.68,85.80,76.93,94.48,84.47,84.95,91.74,77.34,95.44,88.57,68.48,89.22
Ireland,IRL,2008,90.34,9,85.45,12,88.89,94.74,88.06,91.99,90.92,98.33,95.50,98.66,85.91,94.60,82.15,88.42,76.93,94.48,85.50,86.08,91.56,81.54,95.21,85.67,68.40,89.68
Ireland,IRL,2007,90.44,8,84.85,14,88.89,94.74,87.38,92.72,90.93,98.23,95.50,98.66,85.91,94.57,82.83,89.00,76.93,94.48,85.81,87.27,90.72,79.21,94.87,85.67,66.41,89.82
Ireland,IRL,2006,90.17,9,84.07,17,88.89,94.74,86.16,92.09,90.47,98.10,95.50,98.56,85.91,94.52,82.16,88.53,76.93,94.48,85.53,86.86,89.97,77.34,94.52,85.67,64.79,89.36
