Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Iran,IRN,2022,29.82,163,67.60,77,30.56,5.26,26.19,26.85,22.21,51.35,41.05,17.82,45.70,38.98,25.70,31.56,36.85,19.01,28.28,62.40,85.54,58.18,83.19,40.82,54.63,88.44
Iran,IRN,2021,29.82,163,67.60,77,30.56,5.26,26.19,26.85,22.21,51.35,41.05,17.82,45.70,38.98,25.70,31.56,36.85,19.01,28.28,62.40,85.54,58.18,83.19,40.82,54.63,88.44
Iran,IRN,2020,33.38,161,67.60,77,30.56,5.26,26.19,26.85,22.21,52.98,42.84,21.52,70.47,46.95,24.38,30.03,44.93,24.59,30.98,62.40,85.54,58.18,83.19,40.82,54.63,88.44
Iran,IRN,2019,34.62,156,67.57,77,30.56,5.26,26.73,35.48,24.51,57.32,38.21,21.22,72.23,47.24,29.30,29.83,44.93,24.35,32.10,62.32,85.18,58.18,83.19,40.82,54.88,88.44
Iran,IRN,2018,35.30,157,67.20,81,30.56,0.00,27.00,32.15,22.43,56.98,40.10,21.22,76.79,48.77,31.57,37.10,44.93,25.17,34.69,62.80,84.81,55.61,83.35,40.82,54.56,88.44
Iran,IRN,2017,38.96,147,67.58,76,30.56,0.00,29.17,58.79,29.63,56.95,37.53,24.82,75.75,48.76,35.65,45.48,47.65,25.23,38.50,63.46,84.43,58.41,83.26,40.82,54.24,88.44
Iran,IRN,2016,38.58,148,67.70,68,30.56,0.00,29.99,46.93,26.87,58.22,40.73,22.25,78.76,49.99,36.85,47.93,45.07,25.69,38.88,63.22,84.01,60.28,83.16,40.82,54.11,88.30
Iran,IRN,2015,38.12,149,67.52,70,30.56,0.00,29.31,47.03,26.72,57.57,40.73,20.49,77.20,49.00,37.90,45.65,44.46,26.59,38.65,61.95,83.54,61.45,83.09,40.82,53.39,88.44
Iran,IRN,2014,36.11,157,67.62,69,25.00,0.00,28.90,31.22,21.28,56.74,40.29,20.80,77.20,48.76,35.50,46.68,44.46,26.59,38.31,62.44,82.99,63.08,83.49,40.82,52.08,88.44
Iran,IRN,2013,35.86,158,67.86,64,25.00,0.00,26.46,42.77,23.56,55.03,40.76,20.80,77.20,48.45,32.16,39.09,44.46,26.59,35.57,61.80,82.36,66.36,83.80,40.82,51.71,88.17
Iran,IRN,2012,32.92,163,66.24,72,25.00,0.00,28.22,26.85,20.02,51.03,31.16,15.76,78.03,43.99,32.50,37.59,44.46,24.39,34.74,62.29,81.64,55.37,84.15,40.82,51.26,88.17
Iran,IRN,2011,34.93,161,65.46,75,25.00,0.00,29.99,54.11,27.27,48.22,31.16,15.76,78.03,43.29,32.47,35.61,44.46,24.39,34.23,63.20,80.84,55.37,84.21,40.82,45.72,88.04
Iran,IRN,2010,34.07,160,64.95,73,25.00,0.00,29.72,53.80,27.13,48.22,29.53,15.14,78.03,42.73,31.22,31.38,42.44,24.39,32.36,62.94,80.01,55.37,84.05,40.82,43.71,87.78
Iran,IRN,2009,35.07,159,64.47,75,25.00,10.53,29.72,53.69,29.73,48.73,28.95,16.99,75.34,42.50,32.49,32.72,42.44,24.26,32.98,62.13,79.17,55.37,84.04,40.55,42.48,87.52
