Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Iraq,IRQ,2022,37.55,153,62.72,103,26.39,10.53,19.27,45.16,25.34,80.97,37.73,47.99,72.44,59.78,19.49,15.86,35.01,39.76,27.53,54.15,74.12,84.81,79.70,50.27,33.28,
Iraq,IRQ,2021,37.55,152,62.71,103,26.39,10.53,19.27,45.16,25.34,80.97,37.73,47.99,72.44,59.78,19.49,15.86,35.01,39.76,27.53,54.15,74.12,84.81,79.70,50.20,33.28,
Iraq,IRQ,2020,36.38,154,62.71,100,26.39,10.53,19.27,45.16,25.34,79.00,32.64,43.77,75.65,57.76,18.87,14.51,35.01,35.75,26.03,54.08,74.12,84.81,79.70,50.27,33.28,
Iraq,IRQ,2019,38.16,150,63.52,98,26.39,10.53,21.03,53.90,27.96,80.97,32.84,50.98,72.33,59.28,18.13,11.67,35.01,44.15,27.24,56.66,73.85,84.81,79.70,52.83,33.28,
Iraq,IRQ,2018,39.08,147,63.91,96,26.39,10.53,16.55,51.51,26.24,80.20,39.67,57.05,76.58,63.38,17.79,13.20,37.06,42.48,27.63,56.10,73.57,84.81,80.17,56.02,32.80,
Iraq,IRQ,2017,38.92,148,62.56,101,26.39,10.53,17.10,48.49,25.63,78.70,38.27,52.42,81.35,62.68,18.54,17.68,33.85,43.68,28.44,56.05,73.27,84.81,80.46,48.43,32.35,
Iraq,IRQ,2016,38.58,149,62.20,103,6.94,10.53,18.05,57.54,23.27,80.10,37.16,56.23,81.14,63.66,18.15,17.55,35.54,43.98,28.80,56.84,72.95,84.81,80.25,46.44,31.89,
Iraq,IRQ,2015,37.77,150,62.07,104,6.94,10.53,18.05,57.54,23.27,79.34,32.73,54.17,78.86,61.28,18.81,18.63,34.06,43.62,28.78,55.03,72.59,84.81,79.99,48.57,31.44,
Iraq,IRQ,2014,37.18,154,61.81,102,6.94,10.53,18.05,57.54,23.27,80.32,32.07,54.17,78.45,61.25,20.62,14.17,31.49,41.85,27.03,54.80,72.16,84.81,79.89,48.18,30.98,
Iraq,IRQ,2013,37.94,152,62.42,99,6.94,10.53,18.05,57.54,23.27,81.21,38.98,53.55,70.57,61.08,21.25,23.67,31.49,41.49,29.47,55.43,71.67,84.81,79.59,52.49,30.53,
Iraq,IRQ,2012,39.42,151,62.31,99,6.94,10.53,18.05,57.54,23.27,80.47,41.24,57.16,78.45,64.33,21.93,25.23,31.49,43.98,30.66,54.81,71.13,84.81,79.07,54.89,29.15,
Iraq,IRQ,2011,39.58,150,61.94,96,6.94,10.53,18.05,57.54,23.27,80.47,41.24,57.98,78.45,64.54,21.64,27.00,31.49,43.66,30.95,53.13,70.57,86.92,78.37,54.89,27.79,
Iraq,IRQ,2010,38.89,151,61.40,97,6.94,10.53,18.05,57.54,23.27,80.75,40.97,59.01,78.55,64.82,20.13,19.05,31.49,43.66,28.59,52.40,70.05,86.92,77.69,54.89,26.47,
Iraq,IRQ,2009,39.16,151,61.03,100,6.94,10.53,18.05,57.54,23.27,81.67,41.34,59.53,78.13,65.17,19.67,20.36,31.49,44.67,29.05,51.76,69.62,86.92,77.32,54.89,25.69,
